gene,base_mean,log2fc,pvalue
G260,20.4,0.671,0.243
G261,81.73,-0.14,0.724
G262,0.53,-4.33,0.0733
G263,49.84,-0.227,0.611
G264,68.31,-0.408,0.324
G265,27.67,0.829,0.114
G266,32.39,0.475,0.343
G267,33.28,1.282,0.00995
G268,75.6,-0.511,0.206
G269,206.9,-0.255,0.441
G270,26.78,-0.63,0.234
G271,1226.86,0.178,0.503
G272,4.92,1.363,0.148
G273,41.3,-0.603,0.199
G274,17.47,-0.147,0.807
G275,35.39,0.443,0.365
G276,377.99,0.033,0.913
G277,287.52,0.232,0.461
G278,164.67,0.287,0.405
G279,19.34,0.873,0.135
G280,614.9,-0.004,0.989
G281,8.09,0.739,0.345
G282,77.93,0.617,0.124
G283,15.21,-0.32,0.612
G284,5.86,-0.086,0.922
G285,1520.81,0.523,0.0451
G286,19.1,0.245,0.676
G287,26.72,0.175,0.741
G288,1271.29,-0.64,0.0157
G289,16.37,-0.743,0.227
G290,63.89,-0.176,0.675
G291,35.9,0.205,0.674
G292,28.84,-0.685,0.186
G293,3494.89,0.398,0.107
G294,34.59,0.233,0.636
G295,31.63,0.944,0.0613
G296,93.25,-0.337,0.382
G297,33.3,-0.161,0.746
G298,18.94,-0.197,0.737
G299,32.06,0.553,0.271
G300,10.63,0.721,0.31
G301,208.87,-0.223,0.5
G302,7.2,-0.882,0.28
G303,20.4,0.309,0.591
G304,199.5,-0.369,0.268
G305,141.91,-0.082,0.817
G306,1305.61,-0.016,0.952
G307,201.15,-2.28,7.35e-12
G308,5.4,-0.919,0.312
G309,735.52,0.097,0.728
G310,28.87,0.096,0.853
G311,241.75,0.157,0.627
G312,150.6,-0.041,0.907
G313,7.66,-0.994,0.213
G314,266.34,0.155,0.626
G315,140.8,-0.122,0.731
G316,16.73,0.117,0.848
G317,13.01,-1.053,0.113
G318,113.94,-0.267,0.47
G319,59.97,-0.258,0.545
G320,24.54,-0.448,0.409
G321,6.55,-0.071,0.933
G322,6.17,-0.187,0.829
G323,70.54,0.296,0.471
G324,12.56,-1.9,0.00466
G325,7.94,-1.435,0.0685
G326,68.72,-0.288,0.486
G327,23.22,-0.199,0.718
G328,69.01,-0.035,0.932
G329,401.68,0.148,0.622
G330,11.17,1.162,0.0963
G331,419.48,0.019,0.949
G332,10.12,-0.203,0.779
G333,75.62,0.203,0.615
G334,71.55,-0.258,0.528
G335,75.12,-0.42,0.299
G336,20.55,0.05,0.93
G337,75.46,-0.071,0.861
G338,7.62,-0.064,0.936
G339,197.48,0.142,0.671
G340,1192.09,-0.082,0.758
G341,0.6,2.699,0.238
G342,29.3,-0.446,0.387
G343,28.81,1.072,0.0385
G344,31.65,-0.61,0.227
G345,239.6,0.338,0.296
G346,5.84,-0.254,0.773
G347,187.33,-0.151,0.654
G348,15.62,1.694,0.00671
G349,13.21,0.415,0.53
G350,39.42,0.547,0.249
G351,39.6,0.174,0.714
G352,222.27,0.133,0.684
G353,55.64,-0.855,0.0491
G354,3.34,-0.815,0.457
G355,74.27,-0.121,0.765
G356,34.24,0.444,0.368
G357,5.73,0.321,0.718
G358,7.06,0.338,0.681
G359,176.6,-0.368,0.28
G360,26.55,-0.373,0.482
G361,20.84,-0.864,0.13
G362,1.92,-1.306,0.342
G363,747,-0.078,0.779
G364,57.34,-0.259,0.548
G365,546.84,0.201,0.486
G366,1.11,-0.358,0.837
G367,7.82,-0.178,0.822
G368,83.65,-0.685,0.0828
G369,1169.6,0.175,0.512
G370,18.36,-0.883,0.137
G371,8.44,0.912,0.237
G372,2.02,-0.017,0.99
G373,226,0.047,0.886
G374,37.68,-0.207,0.667
G375,521.52,2.021,3.23e-12
G376,1023.55,-0.106,0.695
G377,26.5,-0.436,0.411
G378,18.22,0.484,0.416
G379,36.41,0.08,0.869
G380,359.36,0.294,0.334
G381,176.56,0.41,0.228
G382,89.77,0.099,0.799
G383,37.72,0.68,0.157
G384,143.86,0.237,0.502
G385,746.94,0.432,0.121
G386,20.72,0.48,0.401
G387,65.19,-0.172,0.681
G388,9.82,0.486,0.506
G389,24.92,-0.134,0.804
G390,176.55,0.122,0.72
G391,273.8,0.402,0.204
G392,199.42,-0.252,0.45
G393,9.05,0.275,0.715
G394,78.8,-0.527,0.188
G395,5.01,-0.876,0.349
G396,10.68,0.11,0.877
G397,27.05,0.105,0.842
G398,146.79,0.491,0.163
G399,11.32,-0.272,0.696
G400,8.76,-1.187,0.119
G401,560.93,0.181,0.529
G402,41.54,0.046,0.922
G403,162.6,-0.061,0.86
G404,46.96,0.256,0.572
G405,420.63,-0.453,0.128
G406,224.9,0.53,0.105
G407,553.64,0.379,0.188
G408,11.04,-0.532,0.448
G409,31.02,0.196,0.699
G410,5.87,0.858,0.33
G411,9.02,0.33,0.661
G412,10.44,-0.489,0.494
G413,19.35,0.083,0.887
G414,2.83,0.263,0.822
G415,8.95,-0.132,0.861
G416,602.64,-0.178,0.533
G417,25.64,-0.079,0.883
G418,52.35,0.145,0.742
G419,100.85,0.305,0.421
G420,18.1,0.546,0.36
G421,15.53,-0.296,0.636
G422,6.46,0.116,0.891
G423,2.63,-2.232,0.0643
G424,17.26,0.765,0.206
G425,8.53,-0.618,0.421
G426,79.85,0.82,0.0399
G427,260,-0.362,0.257
G428,2.17,-1.545,0.237
G429,18.68,-1.28,0.0301
G430,94.61,0.04,0.917
G431,52.9,0.272,0.536
G432,9.99,0.025,0.973
G433,1834.22,0.413,0.109
G434,14.39,-0.738,0.25
G435,276.3,0.22,0.487
G436,65.31,-0.563,0.178
G437,55.15,-0.111,0.799
G438,24.32,0.214,0.694
G439,111.19,-0.127,0.733
G440,9.57,-0.268,0.716
G441,518.91,0.469,0.106
G442,29.84,-0.672,0.19
G443,48.31,0.064,0.887
G444,88.81,0.028,0.943
G445,24.32,-0.362,0.506
G446,159.07,0.399,0.25
G447,17.45,-0.465,0.441
G448,10.22,-1.283,0.075
G449,277.32,0.425,0.179
G450,96.24,-0.291,0.447
G451,15.58,0.07,0.911
G452,548.54,-0.015,0.959
G453,285.72,0.112,0.722
G454,157.79,0.228,0.512
G455,640.19,-0.403,0.155
G456,54.72,-0.392,0.369
G457,11.27,-2.065,0.00303
G458,40.22,-0.453,0.337
G459,2541.62,-0.243,0.334
G460,5.12,-0.534,0.565
G461,144.08,-0.053,0.881
G462,3.3,-0.423,0.701
G463,89.45,-0.333,0.392
G464,3.43,-0.514,0.635
G465,34.83,0.115,0.815
G466,1329.87,-0.452,0.0867
G467,20.65,1.033,0.071
G468,37.41,0.606,0.208
G469,37.68,0.425,0.377
G470,13.9,-0.096,0.882
G471,189.61,0.279,0.407
G472,330.62,-0.348,0.259
G473,23.98,0,1
G474,447.89,0.097,0.743
G475,46.16,-0.845,0.0636
G476,43.74,0.711,0.124
G477,14.95,0.664,0.295
G478,161.43,-0.789,0.0226
G479,37.2,-0.347,0.472
G480,93.24,0.292,0.449
G481,27.93,1.081,0.0386
G482,17.37,1.137,0.0597
G483,3710.2,-0.168,0.495
G484,5.89,0.534,0.544
G485,171.57,-0.469,0.17
G486,93.33,-0.341,0.377
G487,39.24,-0.216,0.65
G488,60.42,0.074,0.862
G489,3.87,0.789,0.445
G490,7.73,0.14,0.86
G491,146.77,0.386,0.273
G492,15.92,-0.25,0.687
G493,381.35,0.277,0.359
G494,6.8,-0.26,0.755
G495,12.93,0.382,0.566
G496,10.15,-0.303,0.675
G497,17.82,-0.829,0.166
G498,230.07,0.05,0.878
G499,13.46,0.847,0.197
G500,3.69,1.795,0.0882
G501,59.05,0.669,0.118
G502,22.91,1.406,0.0112
G503,30.79,-0.644,0.205
G504,57.91,0.59,0.17
G505,118.17,0.115,0.754
G506,39.57,-0.386,0.416
G507,26.12,0.424,0.426
G508,156.94,-0.195,0.575
G509,82.35,0.218,0.582
G510,212.45,-0.217,0.511
G511,29.28,0.162,0.753
G512,8.01,-0.307,0.696
G513,97.92,0.449,0.239
G514,21,-0.646,0.256
G515,1.54,-1.491,0.323
G516,127.74,0.431,0.233
G517,40.42,0.266,0.573
G518,67.29,0.462,0.266
G519,230.96,0.439,0.177
G520,10.92,0.73,0.3
G521,27.15,0.058,0.912
G522,337.37,-0.005,0.987
G523,23.27,-0.263,0.634
G524,54.47,0.253,0.562
G525,90.08,0.065,0.867
G526,77.01,0.067,0.868
G527,81.37,1.218,0.00218
G528,96.16,0.116,0.762
G529,30.53,1.667,0.00107
G530,26.25,-0.197,0.711
G531,1153.24,-0.121,0.651
G532,196.26,0.597,0.0741
G533,90.09,-0.164,0.673
G534,81.54,-0.174,0.661
G535,3007.41,-0.137,0.582
G536,138.23,-0.159,0.655
G537,9.55,-0.733,0.32
G538,106.99,-0.084,0.823
G539,31.72,0.109,0.829
G540,40.44,-0.155,0.742
G541,51.53,0.239,0.589
G542,9.49,-0.021,0.977
G543,9.92,-0.382,0.6
G544,706.83,0.102,0.716
G545,20.31,0.595,0.301
G546,81.19,0.366,0.357
G547,39.74,-0.354,0.455
G548,33.59,1.033,0.0373
G549,199.26,0.484,0.147
G550,18.72,0.414,0.483
G551,321.09,0.217,0.483
G552,176.99,0.193,0.571
G553,212.63,0.303,0.358
G554,80.53,-0.412,0.301
G555,136.94,1.067,0.00278
G556,136.08,-0.193,0.589
G557,28.21,-0.118,0.821
G558,393.93,0.453,0.132
G559,18.36,0.025,0.966
G560,19.16,-0.02,0.973
G561,17.03,0.777,0.201
G562,23.16,-0.101,0.855
G563,8.38,0.865,0.263
G564,32.94,-0.137,0.784
G565,39.8,0.097,0.838
G566,102.28,-0.241,0.524
G567,79.15,-0.56,0.161
G568,1246.31,0.465,0.0797
G569,182.59,0.396,0.242
G570,225.1,-0.111,0.734
G571,11.71,1.087,0.114
G572,2.49,-0.886,0.473
G573,1.64,-1.136,0.439
G574,724.41,-0.083,0.766
G575,8.32,0.181,0.815
G576,14.73,0.537,0.399
G577,53.87,0.525,0.231
G578,7.57,0.148,0.854
G579,55.46,0.02,0.963
G580,370.96,0.343,0.258
G581,115.07,-0.694,0.0601
G582,166.19,-0.045,0.896
G583,49.48,0.106,0.813
G584,1573.73,0.235,0.367
G585,127.06,0.116,0.749
G586,50.47,0.545,0.221
G587,59.78,-0.297,0.487
G588,33.87,0.569,0.25
G589,331.89,0.064,0.835
G590,365.18,-0.057,0.851
G591,2.62,-0.561,0.642
G592,582.02,-0.054,0.85
G593,321.13,1.121,0.00029
G594,250.32,-0.749,0.0197
G595,21.87,0.04,0.943
G596,20.44,-0.614,0.285
G597,89.16,0.771,0.0477
G598,39.9,0.375,0.428
G599,279.77,0.384,0.224
G600,1292.16,0.099,0.708
G601,58.97,0.478,0.264
G602,118.82,-0.543,0.139
G603,0.99,-0.01,0.996
G604,26.36,-0.406,0.445
G605,103.61,0.09,0.811
G606,29.42,1,0.0522
G607,17.03,1.892,0.00185
G608,2.68,1.033,0.388
G609,120.89,0.006,0.987
G610,107.41,0.613,0.102
G611,42.83,0.682,0.142
G612,0.49,-2.053,0.408
G613,8.55,-0.402,0.6
G614,17.09,0.013,0.983
G615,15.51,0.528,0.399
G616,84.84,-0.555,0.159
G617,318.07,-0.08,0.796
G618,198.6,0.351,0.293
G619,52.54,-0.128,0.771
G620,28.47,0.998,0.0549
G621,2.58,0.112,0.927
G622,145.22,0.218,0.537
G623,33.92,-0.69,0.163
G624,283.33,0.051,0.871
G625,160.88,0.193,0.577
G626,627.03,-0.632,0.026
G627,2.56,-2.956,0.0154
G628,133.07,-0.56,0.118
G629,115.48,0.325,0.378
G630,81.69,-0.157,0.693
G631,256.45,0.018,0.955
G632,142.87,0.233,0.51
G633,233.35,-0.388,0.232
G634,1601.87,0.032,0.902
G635,187.87,-0.092,0.785
G636,82.32,0.116,0.77
G637,6.12,0.54,0.533
G638,20.37,0.473,0.41
G639,0.1,2.968,0.232
G640,300.31,-0.254,0.416
G641,19.97,0.818,0.157
G642,1.57,-0.77,0.607
G643,288.78,0.141,0.654
G644,2.02,0.53,0.694
G645,74.41,-0.539,0.184
G646,46.28,-0.554,0.224
G647,75.49,0.081,0.841
G648,2070.93,0.156,0.541
G649,318.2,0.084,0.786
G650,4.3,0.694,0.484
G651,226.78,-0.321,0.325
G652,37.39,-0.314,0.514
G653,284.65,-0.353,0.262
G654,33.08,0.05,0.92
G655,61.05,0.125,0.769
G656,276.6,0.453,0.152
G657,14.44,0.162,0.8
G658,10.1,-0.252,0.728
G659,4597.37,0.035,0.886
G660,327.07,0.103,0.738
G661,198.6,-0.251,0.452
G662,104.77,-0.527,0.161
G663,693.24,0.407,0.147
G664,6.8,-1.497,0.0725
G665,17.66,-0.707,0.239
G666,90.3,-0.964,0.0131
G667,107.59,1.811,1.31e-06
G668,7.02,-0.231,0.779
G669,705.35,0.01,0.972
G670,220.32,0.002,0.995
G671,16.92,2.906,1.82e-06
G672,18.29,0.093,0.876
G673,13.82,0.031,0.962
G674,215.98,-0.399,0.225
G675,76.23,-1.168,0.00377
G676,53.55,0.614,0.162
G677,5.46,1.641,0.0697
G678,1691.96,0.061,0.814
G679,394.61,0.177,0.556
G680,412.86,0.116,0.698
G681,406.52,0.718,0.0165
G682,63.74,0.067,0.873
G683,29.39,0.197,0.702
G684,67.48,-0.289,0.486
G685,237.27,-0.343,0.29
G686,15.27,0.375,0.551
G687,193.58,-0.915,0.00631
G688,2.84,-0.638,0.585
G689,7.48,-1.401,0.0818
G690,157.52,-0.239,0.492
G691,16.09,-0.396,0.522
G692,58,0.605,0.16
G693,40.48,-0.649,0.169
G694,86.61,-0.328,0.403
G695,654.58,-0.085,0.764
G696,60.17,-0.961,0.0242
G697,19.99,-0.088,0.879
G698,9.66,-0.098,0.894
G699,187.42,0.396,0.24
G700,14.82,0.211,0.74
G701,4241.09,0.144,0.556
G702,29.15,-0.158,0.76
G703,178.48,0.396,0.244
G704,330.48,-0.148,0.631
G705,857.54,-1.033,0.000169
G706,163.42,0.065,0.851
G707,35.21,0.103,0.833
G708,64.49,0.211,0.615
G709,161.09,0.595,0.0856
G710,124.11,-0.189,0.603
G711,13.38,-0.765,0.245
G712,33.33,0.003,0.995
G713,145.44,-0.535,0.129
G714,188.47,-0.22,0.513
G715,3.52,-1.043,0.331
G716,15.41,-0.029,0.963
G717,47.6,0.077,0.865
G718,7.96,0.253,0.748
G719,103.23,-0.423,0.262
G720,274.31,-0.018,0.955
G721,141.22,0.006,0.987
G722,102.89,0.922,0.0147
G723,4.26,-1.427,0.152
G724,398.66,0.029,0.923
G725,9.87,1.078,0.139
G726,57.71,0.614,0.154
G727,0.93,0.954,0.612
G728,14.12,0.179,0.782
G729,19.33,-0.213,0.715
G730,651.72,0.182,0.52
G731,5.29,-0.623,0.496
G732,19.98,0.036,0.95
G733,30.63,-0.479,0.347
G734,3.9,0.76,0.461
G735,137.39,-0.679,0.0568
G736,1093.5,0.294,0.273
G737,280.08,-0.075,0.812
G738,100.03,0.181,0.634
G739,0.71,2.062,0.33
G740,17.5,-0.265,0.66
G741,2.97,-0.867,0.45
G742,13.09,0.277,0.676
G743,15.16,-0.025,0.968
G744,56.08,0.811,0.0615
G745,781.36,-0.006,0.983
G746,94.29,-0.415,0.281
G747,20.34,0.131,0.82
G748,5.6,-0.953,0.288
G749,111.12,-0.596,0.109
G750,188.1,0.603,0.0733
G751,470.23,-2.87,1e-12
G752,142.78,0.313,0.376
G753,285.01,-0.22,0.485
G754,525.74,-0.152,0.6
G755,42.86,0.546,0.24
G756,77.84,0.106,0.792
G757,17.87,1.229,0.04
G758,241.1,-0.271,0.402
G759,2.66,1.021,0.395
G760,133.31,0.365,0.309
G761,123.31,-0.2,0.583
G762,261.34,-0.044,0.89
G763,14.83,-0.354,0.577
G764,50.58,-0.851,0.0558
G765,2.43,1.582,0.204
G766,465.46,0.333,0.258
G767,104.62,-0.753,0.0455
G768,62.98,0.226,0.592
G769,78.84,-0.027,0.946
G770,6.8,-0.043,0.959
G771,18.75,0.135,0.819
G772,19.9,-0.303,0.601
G773,11.45,0.827,0.233
G774,215.39,0.019,0.954
G775,57.59,0.216,0.616
G776,83.83,0.204,0.605
G777,24.71,0.561,0.301
G778,124.52,0.142,0.696
G779,475.98,0.372,0.205
G780,54.27,-0.224,0.608
G781,6.47,-0.632,0.457
G782,85.28,0.198,0.615
G783,27.25,-0.126,0.811
G784,13.75,0.5,0.443
G785,31.08,-0.033,0.948
G786,6.33,-0.657,0.443
G787,183.63,0.362,0.284
G788,196.02,-2.198,4.85e-11
G789,37.92,0.128,0.79
G790,291.05,0.162,0.606
G791,22.16,-0.048,0.932
G792,0.89,-3.676,0.055
G793,205.11,-0.099,0.765
G794,259.63,-0.267,0.403
G795,153.18,0.844,0.0157
G796,133.92,-0.063,0.86
G797,10.95,0.819,0.244
G798,69.58,-0.097,0.814
G799,58.95,0.234,0.585
G800,7.41,-0.824,0.308
G801,412.67,0.478,0.11
G802,4.19,-0.367,0.714
G803,89.63,0.09,0.817
G804,544.7,-0.259,0.369
G805,124.36,-0.284,0.435
G806,4.8,-0.751,0.429
G807,6.44,-1.496,0.0786
G808,248.19,0.438,0.173
G809,14.98,-0.322,0.611
G810,7.51,0.033,0.967
G811,72.29,0.161,0.693
G812,8.57,-0.48,0.531
G813,23.63,-0.556,0.311
G814,318.24,0.537,0.0829
G815,70.02,-0.687,0.0948
G816,8.1,-0.703,0.369
G817,9.88,0.535,0.463
G818,337.83,2.72,1e-12
G819,99.3,-0.143,0.707
G820,9.46,0.489,0.509
G821,532.23,0.345,0.233
G822,248.85,0.156,0.627
G823,0.26,1.308,0.598
G824,84.27,0.038,0.923
G825,98.04,-0.332,0.384
G826,7.48,0.204,0.8
G827,77,-0.574,0.154
G828,5.68,0.067,0.94
G829,1231.34,0.235,0.376
G830,26.25,-0.074,0.889
G831,31.59,-0.639,0.205
G832,19.92,-0.713,0.218
G833,16.27,0.628,0.308
G834,7.89,-0.402,0.611
G835,3.66,0.719,0.496
G836,183.43,0.733,0.0302
G837,292.29,-0.131,0.676
G838,7.34,0.13,0.873
G839,223.34,-0.222,0.497
G840,113.77,0.302,0.414
G841,514.44,-0.235,0.419
G842,15.79,0.169,0.786
G843,149.74,-0.012,0.973
G844,16.09,-0.434,0.483
G845,34.24,0.026,0.958
G846,5.51,0.194,0.83
G847,283.55,0.177,0.574
G848,58.1,-0.192,0.655
G849,126.03,0.233,0.52
G850,107.03,-0.527,0.16
G851,19.13,-0.094,0.873
G852,1403.24,-0.181,0.491
G853,15.94,-0.911,0.142
G854,23.54,-0.006,0.991
G855,8.3,1.234,0.111
G856,54.53,0.509,0.244
G857,79.49,-0.243,0.543
G858,490.02,0.62,0.0339
G859,105.89,0.422,0.261
G860,63.08,-0.3,0.477
G861,107.75,-0.717,0.0553
G862,6.35,-0.826,0.334
G863,272.7,0.273,0.389
G864,431.74,0.046,0.877
G865,51.68,0.472,0.286
G866,26.28,0.241,0.651
G867,3.64,1.566,0.139
G868,292.69,-0.03,0.924
G869,51.29,-0.395,0.373
G870,23.5,0.242,0.66
G871,261.24,0.046,0.885
G872,3.4,1.096,0.314
G873,6.29,-0.758,0.377
G874,25.81,-0.119,0.824
G875,63.46,-1.495,0.000382
G876,90.56,-0.338,0.384
G877,6.15,0.799,0.356
G878,337.14,-0.027,0.93
G879,27.81,0.684,0.191
G880,4.67,0.586,0.542
G881,211.57,-0.066,0.841
G882,51.31,0.187,0.673
G883,15.07,-0.164,0.795
G884,181.72,-0.197,0.561
G885,1378.89,-0.092,0.727
G886,57.95,-0.218,0.612
G887,39.4,-0.079,0.868
G888,149.09,-0.194,0.581
G889,53.24,0.637,0.147
G890,18.37,-0.804,0.175
G891,256.81,-0.144,0.653
G892,37.92,0.52,0.278
G893,30.89,0.558,0.272
