"element","set","present"
"E44","H3K4me3",1
"E45","H3K4me3",1
"E46","H3K4me3",0
"E47","H3K4me3",0
"E48","H3K4me3",1
"E49","H3K4me3",1
"E50","H3K4me3",1
"E51","H3K4me3",0
"E52","H3K4me3",0
"E53","H3K4me3",1
"E54","H3K4me3",1
"E55","H3K4me3",0
"E56","H3K4me3",1
"E57","H3K4me3",1
"E58","H3K4me3",0
"E59","H3K4me3",1
"E60","H3K4me3",0
"E61","H3K4me3",0
"E62","H3K4me3",0
"E63","H3K4me3",0
"E64","H3K4me3",0
"E65","H3K4me3",1
"E66","H3K4me3",1
"E67","H3K4me3",0
"E68","H3K4me3",1
"E69","H3K4me3",1
"E70","H3K4me3",0
"E71","H3K4me3",1
"E72","H3K4me3",0
"E73","H3K4me3",0
"E74","H3K4me3",1
"E75","H3K4me3",1
"E76","H3K4me3",1
"E77","H3K4me3",0
"E78","H3K4me3",0
"E79","H3K4me3",0
"E80","H3K4me3",1
"E01","CTCF",1
"E02","CTCF",1
"E03","CTCF",0
"E04","CTCF",0
"E05","CTCF",0
"E06","CTCF",1
"E07","CTCF",0
"E08","CTCF",0
"E09","CTCF",0
"E10","CTCF",0
"E11","CTCF",0
"E12","CTCF",0
"E13","CTCF",1
"E14","CTCF",0
"E15","CTCF",0
"E16","CTCF",0
"E17","CTCF",1
"E18","CTCF",0
"E19","CTCF",0
"E20","CTCF",0
"E21","CTCF",0
"E22","CTCF",0
"E23","CTCF",0
"E24","CTCF",0
"E25","CTCF",1
"E26","CTCF",1
"E27","CTCF",0
"E28","CTCF",1
"E29","CTCF",0
"E30","CTCF",0
"E31","CTCF",0
"E32","CTCF",0
"E33","CTCF",0
"E34","CTCF",0
"E35","CTCF",0
"E36","CTCF",1
"E37","CTCF",1
"E38","CTCF",0
"E39","CTCF",0
"E40","CTCF",0
"E41","CTCF",0
"E42","CTCF",1
"E43","CTCF",1
"E44","CTCF",1
"E45","CTCF",0
"E46","CTCF",0
"E47","CTCF",1
"E48","CTCF",0
"E49","CTCF",1
"E50","CTCF",1
"E51","CTCF",1
"E52","CTCF",0
"E53","CTCF",0
"E54","CTCF",0
"E55","CTCF",0
"E56","CTCF",0
"E57","CTCF",0
"E58","CTCF",0
"E59","CTCF",0
"E60","CTCF",0
"E61","CTCF",0
"E62","CTCF",1
"E63","CTCF",0
"E64","CTCF",1
"E65","CTCF",1
"E66","CTCF",0
"E67","CTCF",0
"E68","CTCF",0
"E69","CTCF",1
"E70","CTCF",1
"E71","CTCF",0
"E72","CTCF",1
"E73","CTCF",0
"E74","CTCF",0
"E75","CTCF",1
"E76","CTCF",1
"E77","CTCF",0
"E78","CTCF",1
"E79","CTCF",1
"E80","CTCF",0
"E01","RNA",0
"E02","RNA",1
"E03","RNA",0
"E04","RNA",1
"E05","RNA",1
"E06","RNA",0
"E07","RNA",1
"E08","RNA",0
"E09","RNA",0
"E10","RNA",1
"E11","RNA",1
"E12","RNA",1
"E13","RNA",1
"E14","RNA",0
"E15","RNA",1
"E16","RNA",0
"E17","RNA",0
"E18","RNA",0
"E19","RNA",0
"E20","RNA",1
"E21","RNA",0
"E22","RNA",0
"E23","RNA",1
"E24","RNA",0
"E25","RNA",0
"E26","RNA",1
"E27","RNA",1
"E28","RNA",1
"E29","RNA",0
"E30","RNA",1
"E31","RNA",1
"E32","RNA",1
"E33","RNA",1
"E34","RNA",0
"E35","RNA",0
"E36","RNA",1
"E37","RNA",1
"E38","RNA",0
"E39","RNA",0
"E40","RNA",1
"E41","RNA",0
"E42","RNA",0
"E43","RNA",1
"E44","RNA",0
"E45","RNA",1
"E46","RNA",0
"E47","RNA",1
"E48","RNA",0
"E49","RNA",0
"E50","RNA",1
"E51","RNA",0
"E52","RNA",0
"E53","RNA",0
"E54","RNA",0
"E55","RNA",1
"E56","RNA",1
"E57","RNA",1
"E58","RNA",0
"E59","RNA",0
"E60","RNA",0
"E61","RNA",1
"E62","RNA",1
"E63","RNA",0
"E64","RNA",0
"E65","RNA",1
"E66","RNA",0
"E67","RNA",0
"E68","RNA",1
"E69","RNA",1
"E70","RNA",1
"E71","RNA",1
"E72","RNA",0
"E73","RNA",1
"E74","RNA",0
"E75","RNA",1
"E76","RNA",0
"E77","RNA",1
"E78","RNA",0
"E79","RNA",0
"E80","RNA",0
