"sample","group","taxon","abundance","tip"
"S11","Skin","Cutibacterium",85.94,"S11"
"S11","Skin","Haemophilus",1.317,"S11"
"S11","Skin","Neisseria",2.603,"S11"
"S11","Skin","Bifidobacterium",4.17,"S11"
"S11","Skin","Rothia",9.164,"S11"
"S12","Skin","Bacteroides",3.278,"S12"
"S12","Skin","Prevotella",2.39,"S12"
"S12","Skin","Streptococcus",20.568,"S12"
"S12","Skin","Staphylococcus",23.604,"S12"
"S12","Skin","Corynebacterium",43.865,"S12"
"S12","Skin","Lactobacillus",3.768,"S12"
"S12","Skin","Faecalibacterium",0.933,"S12"
"S12","Skin","Veillonella",3.287,"S12"
"S12","Skin","Pseudomonas",3.837,"S12"
"S12","Skin","Bacillus",3.661,"S12"
"S12","Skin","Cutibacterium",58.607,"S12"
"S12","Skin","Haemophilus",1.832,"S12"
"S12","Skin","Neisseria",3.2,"S12"
"S12","Skin","Bifidobacterium",3.193,"S12"
"S12","Skin","Rothia",6.106,"S12"
"S13","Skin","Bacteroides",5.768,"S13"
"S13","Skin","Prevotella",0.847,"S13"
"S13","Skin","Streptococcus",2.349,"S13"
"S13","Skin","Staphylococcus",23.857,"S13"
"S13","Skin","Corynebacterium",24.262,"S13"
"S13","Skin","Lactobacillus",5.212,"S13"
"S13","Skin","Faecalibacterium",1.5,"S13"
"S13","Skin","Veillonella",2.216,"S13"
"S13","Skin","Pseudomonas",3.332,"S13"
"S13","Skin","Bacillus",4.052,"S13"
"S13","Skin","Cutibacterium",16.647,"S13"
"S13","Skin","Haemophilus",2.734,"S13"
"S13","Skin","Neisseria",2.674,"S13"
"S13","Skin","Bifidobacterium",3.863,"S13"
"S13","Skin","Rothia",3.751,"S13"
"S14","Skin","Bacteroides",1.619,"S14"
"S14","Skin","Prevotella",0.472,"S14"
"S14","Skin","Streptococcus",9.496,"S14"
"S14","Skin","Staphylococcus",17.611,"S14"
"S14","Skin","Corynebacterium",18.317,"S14"
"S14","Skin","Lactobacillus",4.562,"S14"
"S14","Skin","Faecalibacterium",1.029,"S14"
"S14","Skin","Veillonella",2.889,"S14"
"S14","Skin","Pseudomonas",3.976,"S14"
"S14","Skin","Bacillus",6.283,"S14"
"S14","Skin","Cutibacterium",46.12,"S14"
"S14","Skin","Haemophilus",1.595,"S14"
"S14","Skin","Neisseria",1.535,"S14"
"S14","Skin","Bifidobacterium",8.886,"S14"
"S14","Skin","Rothia",9.907,"S14"
"S15","Skin","Bacteroides",3.152,"S15"
"S15","Skin","Prevotella",3.042,"S15"
"S15","Skin","Streptococcus",3.104,"S15"
"S15","Skin","Staphylococcus",36.153,"S15"
"S15","Skin","Corynebacterium",22.082,"S15"
"S15","Skin","Lactobacillus",9.467,"S15"
"S15","Skin","Faecalibacterium",1.319,"S15"
"S15","Skin","Veillonella",1.182,"S15"
"S15","Skin","Pseudomonas",11.305,"S15"
"S15","Skin","Bacillus",3.831,"S15"
"S15","Skin","Cutibacterium",18.965,"S15"
"S15","Skin","Haemophilus",2.663,"S15"
"S15","Skin","Neisseria",1.16,"S15"
"S15","Skin","Bifidobacterium",3.647,"S15"
"S15","Skin","Rothia",4.014,"S15"
"S16","Soil","Bacteroides",10.474,"S16"
"S16","Soil","Prevotella",9.846,"S16"
"S16","Soil","Streptococcus",2.554,"S16"
"S16","Soil","Staphylococcus",9.193,"S16"
"S16","Soil","Corynebacterium",3.94,"S16"
"S16","Soil","Lactobacillus",2.241,"S16"
"S16","Soil","Faecalibacterium",5.124,"S16"
"S16","Soil","Veillonella",1.035,"S16"
"S16","Soil","Pseudomonas",25.405,"S16"
"S16","Soil","Bacillus",77.597,"S16"
"S16","Soil","Cutibacterium",3.274,"S16"
"S16","Soil","Haemophilus",2.942,"S16"
"S16","Soil","Neisseria",2.762,"S16"
"S16","Soil","Bifidobacterium",2.099,"S16"
"S16","Soil","Rothia",3.225,"S16"
"S17","Soil","Bacteroides",0.869,"S17"
"S17","Soil","Prevotella",5.555,"S17"
"S17","Soil","Streptococcus",5.124,"S17"
"S17","Soil","Staphylococcus",4.354,"S17"
"S17","Soil","Corynebacterium",17.284,"S17"
"S17","Soil","Lactobacillus",3.535,"S17"
"S17","Soil","Faecalibacterium",1.763,"S17"
"S17","Soil","Veillonella",1.674,"S17"
"S17","Soil","Pseudomonas",74.343,"S17"
"S17","Soil","Bacillus",6.551,"S17"
"S17","Soil","Cutibacterium",5.353,"S17"
"S17","Soil","Haemophilus",1.455,"S17"
"S17","Soil","Neisseria",1.673,"S17"
"S17","Soil","Bifidobacterium",2.34,"S17"
"S17","Soil","Rothia",6.86,"S17"
"S18","Soil","Bacteroides",6.266,"S18"
"S18","Soil","Prevotella",2.68,"S18"
"S18","Soil","Streptococcus",7.244,"S18"
"S18","Soil","Staphylococcus",2.325,"S18"
"S18","Soil","Corynebacterium",7.881,"S18"
"S18","Soil","Lactobacillus",1.232,"S18"
"S18","Soil","Faecalibacterium",13.919,"S18"
"S18","Soil","Veillonella",3.381,"S18"
"S18","Soil","Pseudomonas",24.171,"S18"
"S18","Soil","Bacillus",43.959,"S18"
"S18","Soil","Cutibacterium",4.858,"S18"
"S18","Soil","Haemophilus",4.831,"S18"
"S18","Soil","Neisseria",4.931,"S18"
"S18","Soil","Bifidobacterium",7.341,"S18"
"S18","Soil","Rothia",3.968,"S18"
"S19","Soil","Bacteroides",4.134,"S19"
"S19","Soil","Prevotella",5.863,"S19"
"S19","Soil","Streptococcus",5.117,"S19"
"S19","Soil","Staphylococcus",4.725,"S19"
"S19","Soil","Corynebacterium",13.152,"S19"
"S19","Soil","Lactobacillus",8.579,"S19"
"S19","Soil","Faecalibacterium",2.408,"S19"
"S19","Soil","Veillonella",2.852,"S19"
"S19","Soil","Pseudomonas",43.317,"S19"
"S19","Soil","Bacillus",48.202,"S19"
"S19","Soil","Cutibacterium",5.822,"S19"
"S19","Soil","Haemophilus",1.79,"S19"
"S19","Soil","Neisseria",3.093,"S19"
"S19","Soil","Bifidobacterium",1.322,"S19"
"S19","Soil","Rothia",2.829,"S19"
"S20","Soil","Bacteroides",1.683,"S20"
"S20","Soil","Prevotella",1.328,"S20"
"S20","Soil","Streptococcus",19.078,"S20"
"S20","Soil","Staphylococcus",8.575,"S20"
"S20","Soil","Corynebacterium",8.306,"S20"
"S20","Soil","Lactobacillus",7.771,"S20"
"S20","Soil","Faecalibacterium",4.969,"S20"
"S20","Soil","Veillonella",2.082,"S20"
"S20","Soil","Pseudomonas",12.191,"S20"
"S20","Soil","Bacillus",61.171,"S20"
"S20","Soil","Cutibacterium",12.862,"S20"
"S20","Soil","Haemophilus",3.161,"S20"
"S20","Soil","Neisseria",3.419,"S20"
"S20","Soil","Bifidobacterium",6.798,"S20"
"S20","Soil","Rothia",9.166,"S20"
