"sample","pop","PC1","PC2","PC3","var_explained"
"CA_11","Cultivar A",-4.01021670475291,0.551651381208147,-0.742648020446732,26.3
"CA_12","Cultivar A",-4.40548392336896,1.04866177995581,-0.164476395470684,26.3
"CA_13","Cultivar A",-4.41222703766467,0.560982603010163,-0.552956451703415,26.3
"CB_01","Cultivar B",-3.03702254539439,-0.687443241011057,1.07697064535767,26.3
"CB_02","Cultivar B",-3.13164496926785,-0.843462486784311,0.744774214648143,26.3
"CB_03","Cultivar B",-3.43035956235476,-0.772665604470956,1.13083904598626,26.3
"CB_04","Cultivar B",-3.31086322916282,-0.4903832579797,1.14059092231349,26.3
"CB_05","Cultivar B",-3.34081068303282,-0.502791911021017,0.690941956693856,26.3
"CB_06","Cultivar B",-3.44709512338628,-0.833352477908149,1.2533559534918,26.3
"CB_07","Cultivar B",-2.93902869652294,-0.7978718369882,1.07575357744971,26.3
"CB_08","Cultivar B",-4.05030090422742,-0.856508866069098,0.759931834977786,26.3
"CB_09","Cultivar B",-3.22046555458591,-1.00034795958569,1.01569489109526,26.3
"CB_10","Cultivar B",-3.38706629215851,-1.01809792786506,0.739618324613095,26.3
"CB_11","Cultivar B",-3.01149184272285,-0.417531859122121,1.21700052040989,26.3
"CB_12","Cultivar B",-3.18810911927877,-0.811319324709861,0.838172019109133,26.3
