"genome","family","present","compartment"
"G11","F006",1,"core"
"G12","F006",1,"core"
"G13","F006",1,"core"
"G14","F006",1,"core"
"G15","F006",1,"core"
"G16","F006",1,"core"
"G17","F006",1,"core"
"G18","F006",1,"core"
"G19","F006",1,"core"
"G20","F006",1,"core"
"G01","F007",0,"cloud"
"G02","F007",0,"cloud"
"G03","F007",0,"cloud"
"G04","F007",0,"cloud"
"G05","F007",0,"cloud"
"G06","F007",0,"cloud"
"G07","F007",0,"cloud"
"G08","F007",0,"cloud"
"G09","F007",0,"cloud"
"G10","F007",1,"cloud"
"G11","F007",0,"cloud"
"G12","F007",1,"cloud"
"G13","F007",0,"cloud"
"G14","F007",0,"cloud"
"G15","F007",0,"cloud"
"G16","F007",0,"cloud"
"G17","F007",1,"cloud"
"G18","F007",0,"cloud"
"G19","F007",0,"cloud"
"G20","F007",0,"cloud"
"G01","F008",0,"cloud"
"G02","F008",1,"cloud"
"G03","F008",0,"cloud"
"G04","F008",0,"cloud"
"G05","F008",1,"cloud"
"G06","F008",1,"cloud"
"G07","F008",1,"cloud"
"G08","F008",0,"cloud"
"G09","F008",0,"cloud"
"G10","F008",0,"cloud"
"G11","F008",0,"cloud"
"G12","F008",0,"cloud"
"G13","F008",0,"cloud"
"G14","F008",0,"cloud"
"G15","F008",0,"cloud"
"G16","F008",0,"cloud"
"G17","F008",0,"cloud"
"G18","F008",0,"cloud"
"G19","F008",0,"cloud"
"G20","F008",0,"cloud"
"G01","F009",0,"shell"
"G02","F009",0,"shell"
"G03","F009",1,"shell"
"G04","F009",1,"shell"
"G05","F009",0,"shell"
"G06","F009",1,"shell"
"G07","F009",1,"shell"
"G08","F009",1,"shell"
"G09","F009",0,"shell"
"G10","F009",0,"shell"
"G11","F009",0,"shell"
"G12","F009",0,"shell"
"G13","F009",1,"shell"
"G14","F009",0,"shell"
"G15","F009",0,"shell"
"G16","F009",0,"shell"
"G17","F009",0,"shell"
"G18","F009",0,"shell"
"G19","F009",0,"shell"
"G20","F009",0,"shell"
"G01","F010",0,"shell"
"G02","F010",0,"shell"
"G03","F010",1,"shell"
"G04","F010",0,"shell"
"G05","F010",0,"shell"
"G06","F010",0,"shell"
"G07","F010",0,"shell"
"G08","F010",0,"shell"
"G09","F010",0,"shell"
"G10","F010",1,"shell"
"G11","F010",0,"shell"
"G12","F010",0,"shell"
"G13","F010",0,"shell"
"G14","F010",1,"shell"
"G15","F010",1,"shell"
"G16","F010",0,"shell"
"G17","F010",1,"shell"
"G18","F010",1,"shell"
"G19","F010",1,"shell"
"G20","F010",1,"shell"
"G01","F011",1,"core"
"G02","F011",1,"core"
"G03","F011",1,"core"
"G04","F011",0,"core"
"G05","F011",1,"core"
"G06","F011",1,"core"
"G07","F011",1,"core"
"G08","F011",1,"core"
"G09","F011",1,"core"
"G10","F011",0,"core"
"G11","F011",1,"core"
"G12","F011",1,"core"
"G13","F011",0,"core"
"G14","F011",1,"core"
"G15","F011",1,"core"
"G16","F011",1,"core"
"G17","F011",1,"core"
"G18","F011",1,"core"
"G19","F011",1,"core"
"G20","F011",1,"core"
"G01","F012",1,"core"
"G02","F012",1,"core"
"G03","F012",1,"core"
"G04","F012",0,"core"
"G05","F012",1,"core"
"G06","F012",1,"core"
"G07","F012",1,"core"
"G08","F012",1,"core"
"G09","F012",1,"core"
"G10","F012",1,"core"
"G11","F012",1,"core"
"G12","F012",0,"core"
"G13","F012",1,"core"
"G14","F012",1,"core"
"G15","F012",0,"core"
"G16","F012",1,"core"
"G17","F012",1,"core"
"G18","F012",1,"core"
"G19","F012",1,"core"
"G20","F012",1,"core"
"G01","F013",0,"shell"
"G02","F013",1,"shell"
"G03","F013",1,"shell"
"G04","F013",0,"shell"
"G05","F013",0,"shell"
"G06","F013",1,"shell"
"G07","F013",0,"shell"
"G08","F013",1,"shell"
"G09","F013",1,"shell"
"G10","F013",1,"shell"
"G11","F013",0,"shell"
"G12","F013",0,"shell"
"G13","F013",0,"shell"
"G14","F013",1,"shell"
"G15","F013",0,"shell"
"G16","F013",0,"shell"
"G17","F013",0,"shell"
"G18","F013",1,"shell"
"G19","F013",1,"shell"
"G20","F013",0,"shell"
"G01","F014",0,"shell"
"G02","F014",0,"shell"
"G03","F014",0,"shell"
"G04","F014",0,"shell"
"G05","F014",0,"shell"
"G06","F014",1,"shell"
"G07","F014",1,"shell"
"G08","F014",0,"shell"
"G09","F014",1,"shell"
"G10","F014",0,"shell"
"G11","F014",1,"shell"
"G12","F014",1,"shell"
"G13","F014",0,"shell"
"G14","F014",0,"shell"
"G15","F014",0,"shell"
"G16","F014",0,"shell"
"G17","F014",0,"shell"
"G18","F014",0,"shell"
"G19","F014",0,"shell"
"G20","F014",0,"shell"
"G01","F015",0,"shell"
"G02","F015",0,"shell"
"G03","F015",0,"shell"
"G04","F015",0,"shell"
"G05","F015",1,"shell"
"G06","F015",0,"shell"
"G07","F015",0,"shell"
"G08","F015",1,"shell"
"G09","F015",1,"shell"
"G10","F015",0,"shell"
"G11","F015",0,"shell"
"G12","F015",1,"shell"
"G13","F015",1,"shell"
"G14","F015",0,"shell"
"G15","F015",0,"shell"
"G16","F015",1,"shell"
"G17","F015",0,"shell"
"G18","F015",1,"shell"
"G19","F015",1,"shell"
"G20","F015",0,"shell"
"G01","F016",1,"shell"
"G02","F016",0,"shell"
"G03","F016",0,"shell"
"G04","F016",1,"shell"
"G05","F016",1,"shell"
"G06","F016",1,"shell"
"G07","F016",1,"shell"
"G08","F016",0,"shell"
"G09","F016",0,"shell"
"G10","F016",1,"shell"
"G11","F016",0,"shell"
"G12","F016",0,"shell"
"G13","F016",0,"shell"
"G14","F016",1,"shell"
"G15","F016",1,"shell"
"G16","F016",1,"shell"
"G17","F016",1,"shell"
"G18","F016",1,"shell"
"G19","F016",1,"shell"
"G20","F016",1,"shell"
"G01","F017",1,"shell"
"G02","F017",1,"shell"
"G03","F017",1,"shell"
"G04","F017",1,"shell"
"G05","F017",1,"shell"
"G06","F017",0,"shell"
"G07","F017",0,"shell"
"G08","F017",0,"shell"
"G09","F017",0,"shell"
"G10","F017",0,"shell"
"G11","F017",1,"shell"
"G12","F017",0,"shell"
"G13","F017",0,"shell"
"G14","F017",0,"shell"
"G15","F017",0,"shell"
"G16","F017",0,"shell"
"G17","F017",0,"shell"
"G18","F017",0,"shell"
"G19","F017",0,"shell"
"G20","F017",0,"shell"
"G01","F018",0,"shell"
"G02","F018",0,"shell"
"G03","F018",0,"shell"
"G04","F018",1,"shell"
"G05","F018",1,"shell"
"G06","F018",1,"shell"
"G07","F018",1,"shell"
"G08","F018",1,"shell"
"G09","F018",1,"shell"
"G10","F018",1,"shell"
"G11","F018",0,"shell"
"G12","F018",0,"shell"
"G13","F018",0,"shell"
"G14","F018",0,"shell"
"G15","F018",0,"shell"
"G16","F018",0,"shell"
"G17","F018",0,"shell"
"G18","F018",1,"shell"
"G19","F018",0,"shell"
"G20","F018",0,"shell"
"G01","F019",1,"core"
"G02","F019",1,"core"
"G03","F019",0,"core"
"G04","F019",1,"core"
"G05","F019",1,"core"
"G06","F019",0,"core"
"G07","F019",1,"core"
"G08","F019",1,"core"
"G09","F019",1,"core"
"G10","F019",1,"core"
"G11","F019",0,"core"
"G12","F019",0,"core"
"G13","F019",1,"core"
"G14","F019",1,"core"
"G15","F019",1,"core"
"G16","F019",1,"core"
"G17","F019",1,"core"
"G18","F019",0,"core"
"G19","F019",1,"core"
"G20","F019",0,"core"
"G01","F020",0,"cloud"
"G02","F020",0,"cloud"
"G03","F020",0,"cloud"
"G04","F020",0,"cloud"
"G05","F020",1,"cloud"
"G06","F020",0,"cloud"
"G07","F020",0,"cloud"
"G08","F020",0,"cloud"
"G09","F020",0,"cloud"
"G10","F020",0,"cloud"
"G11","F020",0,"cloud"
"G12","F020",0,"cloud"
"G13","F020",0,"cloud"
"G14","F020",1,"cloud"
"G15","F020",0,"cloud"
"G16","F020",0,"cloud"
"G17","F020",0,"cloud"
"G18","F020",0,"cloud"
"G19","F020",0,"cloud"
"G20","F020",0,"cloud"
"G01","F021",1,"core"
"G02","F021",0,"core"
"G03","F021",1,"core"
"G04","F021",1,"core"
"G05","F021",1,"core"
"G06","F021",1,"core"
"G07","F021",1,"core"
"G08","F021",1,"core"
"G09","F021",1,"core"
"G10","F021",0,"core"
"G11","F021",1,"core"
"G12","F021",1,"core"
"G13","F021",1,"core"
"G14","F021",0,"core"
"G15","F021",1,"core"
"G16","F021",1,"core"
"G17","F021",1,"core"
"G18","F021",1,"core"
"G19","F021",1,"core"
"G20","F021",1,"core"
"G01","F022",0,"cloud"
"G02","F022",0,"cloud"
"G03","F022",0,"cloud"
"G04","F022",0,"cloud"
"G05","F022",0,"cloud"
"G06","F022",0,"cloud"
"G07","F022",0,"cloud"
"G08","F022",0,"cloud"
"G09","F022",0,"cloud"
"G10","F022",0,"cloud"
"G11","F022",1,"cloud"
"G12","F022",1,"cloud"
"G13","F022",1,"cloud"
"G14","F022",1,"cloud"
"G15","F022",1,"cloud"
"G16","F022",0,"cloud"
"G17","F022",0,"cloud"
"G18","F022",0,"cloud"
"G19","F022",0,"cloud"
"G20","F022",0,"cloud"
"G01","F023",1,"core"
"G02","F023",1,"core"
"G03","F023",1,"core"
"G04","F023",1,"core"
"G05","F023",1,"core"
"G06","F023",0,"core"
"G07","F023",1,"core"
"G08","F023",1,"core"
"G09","F023",1,"core"
"G10","F023",1,"core"
"G11","F023",1,"core"
"G12","F023",0,"core"
"G13","F023",1,"core"
"G14","F023",1,"core"
"G15","F023",1,"core"
"G16","F023",1,"core"
"G17","F023",1,"core"
"G18","F023",1,"core"
"G19","F023",1,"core"
"G20","F023",1,"core"
"G01","F024",1,"shell"
"G02","F024",0,"shell"
"G03","F024",1,"shell"
"G04","F024",1,"shell"
"G05","F024",0,"shell"
"G06","F024",0,"shell"
"G07","F024",1,"shell"
"G08","F024",0,"shell"
"G09","F024",0,"shell"
"G10","F024",0,"shell"
"G11","F024",1,"shell"
"G12","F024",1,"shell"
"G13","F024",0,"shell"
"G14","F024",1,"shell"
"G15","F024",0,"shell"
"G16","F024",0,"shell"
"G17","F024",1,"shell"
"G18","F024",0,"shell"
"G19","F024",1,"shell"
"G20","F024",0,"shell"
"G01","F025",1,"core"
"G02","F025",1,"core"
"G03","F025",1,"core"
"G04","F025",0,"core"
"G05","F025",1,"core"
"G06","F025",1,"core"
"G07","F025",1,"core"
"G08","F025",1,"core"
"G09","F025",1,"core"
"G10","F025",0,"core"
"G11","F025",1,"core"
"G12","F025",1,"core"
"G13","F025",0,"core"
"G14","F025",1,"core"
"G15","F025",1,"core"
"G16","F025",1,"core"
"G17","F025",0,"core"
"G18","F025",1,"core"
"G19","F025",1,"core"
"G20","F025",1,"core"
"G01","F026",0,"cloud"
"G02","F026",0,"cloud"
"G03","F026",0,"cloud"
"G04","F026",0,"cloud"
"G05","F026",0,"cloud"
"G06","F026",0,"cloud"
"G07","F026",0,"cloud"
"G08","F026",0,"cloud"
"G09","F026",0,"cloud"
"G10","F026",0,"cloud"
"G11","F026",1,"cloud"
"G12","F026",0,"cloud"
"G13","F026",0,"cloud"
"G14","F026",0,"cloud"
"G15","F026",0,"cloud"
"G16","F026",0,"cloud"
"G17","F026",0,"cloud"
"G18","F026",0,"cloud"
"G19","F026",0,"cloud"
"G20","F026",0,"cloud"
"G01","F027",1,"core"
"G02","F027",1,"core"
"G03","F027",1,"core"
"G04","F027",1,"core"
"G05","F027",1,"core"
"G06","F027",1,"core"
"G07","F027",1,"core"
"G08","F027",1,"core"
"G09","F027",1,"core"
"G10","F027",1,"core"
"G11","F027",1,"core"
"G12","F027",1,"core"
"G13","F027",1,"core"
"G14","F027",0,"core"
"G15","F027",1,"core"
"G16","F027",0,"core"
"G17","F027",1,"core"
"G18","F027",1,"core"
"G19","F027",1,"core"
"G20","F027",1,"core"
"G01","F028",1,"shell"
"G02","F028",0,"shell"
"G03","F028",0,"shell"
"G04","F028",0,"shell"
"G05","F028",0,"shell"
"G06","F028",0,"shell"
"G07","F028",1,"shell"
"G08","F028",1,"shell"
"G09","F028",1,"shell"
"G10","F028",1,"shell"
"G11","F028",0,"shell"
"G12","F028",0,"shell"
"G13","F028",1,"shell"
"G14","F028",0,"shell"
"G15","F028",1,"shell"
"G16","F028",0,"shell"
"G17","F028",0,"shell"
"G18","F028",1,"shell"
"G19","F028",0,"shell"
"G20","F028",1,"shell"
"G01","F029",1,"shell"
"G02","F029",0,"shell"
"G03","F029",0,"shell"
"G04","F029",0,"shell"
"G05","F029",0,"shell"
"G06","F029",1,"shell"
"G07","F029",1,"shell"
"G08","F029",1,"shell"
"G09","F029",1,"shell"
"G10","F029",1,"shell"
"G11","F029",1,"shell"
"G12","F029",0,"shell"
"G13","F029",1,"shell"
"G14","F029",0,"shell"
"G15","F029",0,"shell"
"G16","F029",1,"shell"
"G17","F029",0,"shell"
"G18","F029",0,"shell"
"G19","F029",1,"shell"
"G20","F029",0,"shell"
"G01","F030",1,"shell"
"G02","F030",1,"shell"
"G03","F030",1,"shell"
"G04","F030",0,"shell"
"G05","F030",1,"shell"
"G06","F030",1,"shell"
"G07","F030",0,"shell"
"G08","F030",0,"shell"
"G09","F030",0,"shell"
"G10","F030",0,"shell"
"G11","F030",0,"shell"
"G12","F030",0,"shell"
"G13","F030",0,"shell"
"G14","F030",0,"shell"
"G15","F030",0,"shell"
"G16","F030",0,"shell"
"G17","F030",0,"shell"
"G18","F030",0,"shell"
"G19","F030",0,"shell"
"G20","F030",0,"shell"
"G01","F031",1,"shell"
"G02","F031",0,"shell"
"G03","F031",0,"shell"
"G04","F031",1,"shell"
"G05","F031",0,"shell"
"G06","F031",1,"shell"
"G07","F031",1,"shell"
"G08","F031",1,"shell"
"G09","F031",1,"shell"
"G10","F031",0,"shell"
"G11","F031",0,"shell"
"G12","F031",1,"shell"
"G13","F031",0,"shell"
"G14","F031",1,"shell"
"G15","F031",1,"shell"
"G16","F031",1,"shell"
"G17","F031",1,"shell"
"G18","F031",1,"shell"
"G19","F031",0,"shell"
"G20","F031",1,"shell"
"G01","F032",0,"shell"
"G02","F032",1,"shell"
"G03","F032",1,"shell"
"G04","F032",1,"shell"
"G05","F032",0,"shell"
"G06","F032",1,"shell"
"G07","F032",1,"shell"
"G08","F032",0,"shell"
"G09","F032",0,"shell"
"G10","F032",0,"shell"
"G11","F032",1,"shell"
"G12","F032",0,"shell"
"G13","F032",0,"shell"
"G14","F032",1,"shell"
"G15","F032",1,"shell"
"G16","F032",1,"shell"
"G17","F032",1,"shell"
"G18","F032",0,"shell"
"G19","F032",0,"shell"
"G20","F032",0,"shell"
"G01","F033",1,"core"
"G02","F033",0,"core"
"G03","F033",1,"core"
"G04","F033",1,"core"
"G05","F033",1,"core"
"G06","F033",1,"core"
"G07","F033",1,"core"
"G08","F033",1,"core"
"G09","F033",1,"core"
"G10","F033",1,"core"
"G11","F033",1,"core"
"G12","F033",1,"core"
"G13","F033",1,"core"
"G14","F033",1,"core"
"G15","F033",1,"core"
"G16","F033",1,"core"
"G17","F033",1,"core"
"G18","F033",1,"core"
"G19","F033",1,"core"
"G20","F033",1,"core"
"G01","F034",0,"shell"
"G02","F034",0,"shell"
"G03","F034",0,"shell"
"G04","F034",0,"shell"
"G05","F034",0,"shell"
"G06","F034",1,"shell"
"G07","F034",0,"shell"
"G08","F034",1,"shell"
"G09","F034",1,"shell"
"G10","F034",0,"shell"
"G11","F034",0,"shell"
"G12","F034",0,"shell"
"G13","F034",0,"shell"
"G14","F034",0,"shell"
"G15","F034",1,"shell"
"G16","F034",1,"shell"
"G17","F034",0,"shell"
"G18","F034",0,"shell"
"G19","F034",1,"shell"
"G20","F034",0,"shell"
"G01","F035",1,"shell"
"G02","F035",1,"shell"
"G03","F035",1,"shell"
"G04","F035",0,"shell"
"G05","F035",1,"shell"
"G06","F035",1,"shell"
"G07","F035",0,"shell"
"G08","F035",1,"shell"
"G09","F035",1,"shell"
"G10","F035",0,"shell"
"G11","F035",0,"shell"
"G12","F035",0,"shell"
"G13","F035",1,"shell"
"G14","F035",1,"shell"
"G15","F035",1,"shell"
"G16","F035",0,"shell"
"G17","F035",0,"shell"
"G18","F035",0,"shell"
"G19","F035",1,"shell"
"G20","F035",1,"shell"
"G01","F036",0,"shell"
"G02","F036",0,"shell"
"G03","F036",0,"shell"
"G04","F036",0,"shell"
"G05","F036",0,"shell"
"G06","F036",0,"shell"
"G07","F036",0,"shell"
"G08","F036",0,"shell"
"G09","F036",0,"shell"
"G10","F036",0,"shell"
"G11","F036",0,"shell"
"G12","F036",1,"shell"
"G13","F036",0,"shell"
"G14","F036",0,"shell"
"G15","F036",0,"shell"
"G16","F036",1,"shell"
"G17","F036",1,"shell"
"G18","F036",1,"shell"
"G19","F036",1,"shell"
"G20","F036",1,"shell"
"G01","F037",1,"shell"
"G02","F037",0,"shell"
"G03","F037",1,"shell"
"G04","F037",0,"shell"
"G05","F037",1,"shell"
"G06","F037",0,"shell"
"G07","F037",1,"shell"
"G08","F037",1,"shell"
"G09","F037",0,"shell"
"G10","F037",0,"shell"
"G11","F037",0,"shell"
"G12","F037",0,"shell"
"G13","F037",1,"shell"
"G14","F037",0,"shell"
"G15","F037",0,"shell"
"G16","F037",0,"shell"
"G17","F037",0,"shell"
"G18","F037",1,"shell"
"G19","F037",0,"shell"
"G20","F037",0,"shell"
"G01","F038",0,"cloud"
"G02","F038",0,"cloud"
"G03","F038",1,"cloud"
"G04","F038",0,"cloud"
"G05","F038",0,"cloud"
"G06","F038",0,"cloud"
"G07","F038",0,"cloud"
"G08","F038",0,"cloud"
"G09","F038",0,"cloud"
"G10","F038",0,"cloud"
"G11","F038",0,"cloud"
"G12","F038",0,"cloud"
"G13","F038",0,"cloud"
"G14","F038",0,"cloud"
"G15","F038",0,"cloud"
"G16","F038",0,"cloud"
"G17","F038",1,"cloud"
"G18","F038",1,"cloud"
"G19","F038",0,"cloud"
"G20","F038",1,"cloud"
"G01","F039",0,"cloud"
"G02","F039",1,"cloud"
"G03","F039",0,"cloud"
"G04","F039",0,"cloud"
"G05","F039",1,"cloud"
"G06","F039",0,"cloud"
"G07","F039",0,"cloud"
"G08","F039",0,"cloud"
"G09","F039",0,"cloud"
"G10","F039",0,"cloud"
"G11","F039",0,"cloud"
"G12","F039",1,"cloud"
"G13","F039",0,"cloud"
"G14","F039",0,"cloud"
"G15","F039",0,"cloud"
"G16","F039",0,"cloud"
"G17","F039",0,"cloud"
"G18","F039",0,"cloud"
"G19","F039",0,"cloud"
"G20","F039",0,"cloud"
"G01","F040",1,"core"
"G02","F040",1,"core"
"G03","F040",1,"core"
"G04","F040",1,"core"
"G05","F040",0,"core"
"G06","F040",1,"core"
"G07","F040",1,"core"
"G08","F040",1,"core"
"G09","F040",0,"core"
"G10","F040",1,"core"
"G11","F040",1,"core"
"G12","F040",0,"core"
"G13","F040",1,"core"
"G14","F040",1,"core"
"G15","F040",1,"core"
"G16","F040",1,"core"
"G17","F040",1,"core"
"G18","F040",1,"core"
"G19","F040",1,"core"
"G20","F040",0,"core"
"G01","F041",0,"cloud"
"G02","F041",0,"cloud"
"G03","F041",0,"cloud"
"G04","F041",0,"cloud"
"G05","F041",0,"cloud"
"G06","F041",0,"cloud"
"G07","F041",0,"cloud"
"G08","F041",0,"cloud"
"G09","F041",1,"cloud"
"G10","F041",0,"cloud"
"G11","F041",0,"cloud"
"G12","F041",1,"cloud"
"G13","F041",0,"cloud"
"G14","F041",0,"cloud"
"G15","F041",0,"cloud"
"G16","F041",0,"cloud"
"G17","F041",0,"cloud"
"G18","F041",0,"cloud"
"G19","F041",0,"cloud"
"G20","F041",0,"cloud"
"G01","F042",0,"shell"
"G02","F042",1,"shell"
"G03","F042",1,"shell"
"G04","F042",1,"shell"
"G05","F042",0,"shell"
"G06","F042",0,"shell"
"G07","F042",1,"shell"
"G08","F042",1,"shell"
"G09","F042",0,"shell"
"G10","F042",0,"shell"
"G11","F042",0,"shell"
"G12","F042",0,"shell"
"G13","F042",0,"shell"
"G14","F042",0,"shell"
"G15","F042",1,"shell"
"G16","F042",1,"shell"
"G17","F042",1,"shell"
"G18","F042",1,"shell"
"G19","F042",0,"shell"
"G20","F042",0,"shell"
"G01","F043",0,"cloud"
"G02","F043",1,"cloud"
"G03","F043",0,"cloud"
"G04","F043",0,"cloud"
"G05","F043",0,"cloud"
"G06","F043",0,"cloud"
"G07","F043",0,"cloud"
"G08","F043",1,"cloud"
"G09","F043",0,"cloud"
"G10","F043",0,"cloud"
"G11","F043",0,"cloud"
"G12","F043",1,"cloud"
"G13","F043",1,"cloud"
"G14","F043",0,"cloud"
"G15","F043",0,"cloud"
"G16","F043",0,"cloud"
"G17","F043",0,"cloud"
"G18","F043",0,"cloud"
"G19","F043",0,"cloud"
"G20","F043",0,"cloud"
"G01","F044",0,"cloud"
"G02","F044",0,"cloud"
"G03","F044",0,"cloud"
"G04","F044",0,"cloud"
"G05","F044",0,"cloud"
"G06","F044",0,"cloud"
"G07","F044",0,"cloud"
"G08","F044",0,"cloud"
"G09","F044",0,"cloud"
"G10","F044",0,"cloud"
"G11","F044",1,"cloud"
"G12","F044",1,"cloud"
"G13","F044",0,"cloud"
"G14","F044",0,"cloud"
"G15","F044",0,"cloud"
"G16","F044",0,"cloud"
"G17","F044",0,"cloud"
"G18","F044",0,"cloud"
"G19","F044",0,"cloud"
"G20","F044",0,"cloud"
"G01","F045",0,"shell"
"G02","F045",0,"shell"
"G03","F045",0,"shell"
"G04","F045",1,"shell"
"G05","F045",0,"shell"
"G06","F045",0,"shell"
"G07","F045",0,"shell"
"G08","F045",0,"shell"
"G09","F045",1,"shell"
"G10","F045",1,"shell"
"G11","F045",1,"shell"
"G12","F045",1,"shell"
"G13","F045",1,"shell"
"G14","F045",1,"shell"
"G15","F045",0,"shell"
"G16","F045",0,"shell"
"G17","F045",0,"shell"
"G18","F045",0,"shell"
"G19","F045",1,"shell"
"G20","F045",1,"shell"
"G01","F046",1,"core"
"G02","F046",1,"core"
"G03","F046",1,"core"
"G04","F046",1,"core"
"G05","F046",0,"core"
"G06","F046",0,"core"
"G07","F046",1,"core"
"G08","F046",1,"core"
"G09","F046",1,"core"
"G10","F046",1,"core"
"G11","F046",0,"core"
"G12","F046",1,"core"
"G13","F046",1,"core"
"G14","F046",1,"core"
"G15","F046",1,"core"
"G16","F046",1,"core"
"G17","F046",0,"core"
"G18","F046",1,"core"
"G19","F046",1,"core"
"G20","F046",1,"core"
"G01","F047",1,"shell"
"G02","F047",1,"shell"
"G03","F047",0,"shell"
"G04","F047",0,"shell"
"G05","F047",0,"shell"
"G06","F047",0,"shell"
"G07","F047",0,"shell"
"G08","F047",1,"shell"
"G09","F047",0,"shell"
"G10","F047",1,"shell"
"G11","F047",0,"shell"
"G12","F047",0,"shell"
"G13","F047",0,"shell"
"G14","F047",0,"shell"
"G15","F047",0,"shell"
"G16","F047",1,"shell"
"G17","F047",0,"shell"
"G18","F047",1,"shell"
"G19","F047",1,"shell"
"G20","F047",1,"shell"
"G01","F048",0,"shell"
"G02","F048",1,"shell"
"G03","F048",1,"shell"
"G04","F048",0,"shell"
"G05","F048",1,"shell"
"G06","F048",0,"shell"
"G07","F048",1,"shell"
"G08","F048",1,"shell"
"G09","F048",0,"shell"
"G10","F048",1,"shell"
"G11","F048",1,"shell"
"G12","F048",0,"shell"
"G13","F048",1,"shell"
"G14","F048",1,"shell"
"G15","F048",1,"shell"
"G16","F048",0,"shell"
"G17","F048",0,"shell"
"G18","F048",1,"shell"
"G19","F048",0,"shell"
"G20","F048",0,"shell"
"G01","F049",1,"core"
"G02","F049",1,"core"
"G03","F049",1,"core"
"G04","F049",1,"core"
"G05","F049",1,"core"
"G06","F049",1,"core"
"G07","F049",0,"core"
"G08","F049",1,"core"
"G09","F049",1,"core"
"G10","F049",1,"core"
"G11","F049",1,"core"
"G12","F049",0,"core"
"G13","F049",0,"core"
"G14","F049",0,"core"
"G15","F049",1,"core"
"G16","F049",1,"core"
"G17","F049",1,"core"
"G18","F049",1,"core"
"G19","F049",1,"core"
"G20","F049",1,"core"
"G01","F050",1,"shell"
"G02","F050",0,"shell"
"G03","F050",0,"shell"
"G04","F050",1,"shell"
"G05","F050",1,"shell"
"G06","F050",0,"shell"
"G07","F050",0,"shell"
"G08","F050",0,"shell"
"G09","F050",0,"shell"
"G10","F050",1,"shell"
"G11","F050",0,"shell"
"G12","F050",0,"shell"
"G13","F050",0,"shell"
"G14","F050",0,"shell"
"G15","F050",0,"shell"
"G16","F050",1,"shell"
"G17","F050",0,"shell"
"G18","F050",0,"shell"
"G19","F050",0,"shell"
"G20","F050",0,"shell"
