gene,cluster,time,value
late-peak-g8,late-peak,24,-0.117
late-peak-g8,late-peak,48,0.852
late-peak-g8,late-peak,72,-0.067
dip-g1,dip,0,-0.153
dip-g1,dip,6,-0.166
dip-g1,dip,12,-0.317
dip-g1,dip,24,-0.958
dip-g1,dip,48,-0.198
dip-g1,dip,72,-0.287
dip-g2,dip,0,0.673
dip-g2,dip,6,0.615
dip-g2,dip,12,0.671
dip-g2,dip,24,-0.391
dip-g2,dip,48,0.452
dip-g2,dip,72,0.636
dip-g3,dip,0,0.547
dip-g3,dip,6,0.604
dip-g3,dip,12,0.233
dip-g3,dip,24,-0.292
dip-g3,dip,48,-0.142
dip-g3,dip,72,0.666
dip-g4,dip,0,0.518
dip-g4,dip,6,0.599
dip-g4,dip,12,0.687
dip-g4,dip,24,-0.336
dip-g4,dip,48,0.224
dip-g4,dip,72,0.378
dip-g5,dip,0,0.751
dip-g5,dip,6,0.972
dip-g5,dip,12,0.422
dip-g5,dip,24,-0.126
dip-g5,dip,48,0.538
dip-g5,dip,72,0.695
dip-g6,dip,0,0.65
dip-g6,dip,6,0.774
dip-g6,dip,12,0.382
dip-g6,dip,24,-0.135
dip-g6,dip,48,0.308
dip-g6,dip,72,0.709
dip-g7,dip,0,-0.274
dip-g7,dip,6,-0.436
dip-g7,dip,12,-0.198
dip-g7,dip,24,-0.833
dip-g7,dip,48,-0.524
dip-g7,dip,72,-0.159
dip-g8,dip,0,0.07
dip-g8,dip,6,0.176
dip-g8,dip,12,-0.102
dip-g8,dip,24,-0.632
dip-g8,dip,48,-0.47
dip-g8,dip,72,0.004
step-g1,step,0,-0.427
step-g1,step,6,-0.594
step-g1,step,12,-0.585
step-g1,step,24,-0.351
step-g1,step,48,0.527
step-g1,step,72,0.486
step-g2,step,0,-0.529
step-g2,step,6,-0.221
step-g2,step,12,-0.307
step-g2,step,24,0.072
step-g2,step,48,1.049
step-g2,step,72,1.082
step-g3,step,0,-0.552
step-g3,step,6,-0.404
step-g3,step,12,-0.169
step-g3,step,24,-0.22
step-g3,step,48,0.911
step-g3,step,72,0.886
step-g4,step,0,-0.328
step-g4,step,6,-0.193
step-g4,step,12,-0.21
step-g4,step,24,-0.237
step-g4,step,48,0.993
step-g4,step,72,1.064
step-g5,step,0,-0.405
step-g5,step,6,-0.261
step-g5,step,12,-0.54
step-g5,step,24,-0.249
step-g5,step,48,0.693
step-g5,step,72,0.595
step-g6,step,0,-0.493
step-g6,step,6,-0.008
step-g6,step,12,-0.08
step-g6,step,24,0.314
step-g6,step,48,0.881
step-g6,step,72,0.82
step-g7,step,0,-0.069
step-g7,step,6,-0.233
step-g7,step,12,-0.177
step-g7,step,24,0.172
step-g7,step,48,1.034
step-g7,step,72,1.005
step-g8,step,0,-0.74
step-g8,step,6,-0.457
step-g8,step,12,-0.433
step-g8,step,24,-0.105
step-g8,step,48,0.858
step-g8,step,72,0.911
