"genome","te_class","divergence","fraction"
"320 Mb","Copia",21,4.2e-05
"320 Mb","Copia",22,1.9e-05
"320 Mb","Copia",23,7e-06
"320 Mb","Copia",24,3e-06
"320 Mb","Copia",25,1e-06
"320 Mb","Copia",26,0
"320 Mb","Copia",27,0
"320 Mb","Copia",28,0
"320 Mb","Copia",29,0
"320 Mb","LINE",0,2.9e-05
"320 Mb","LINE",1,4.5e-05
"320 Mb","LINE",2,7.5e-05
"320 Mb","LINE",3,0.000122
"320 Mb","LINE",4,0.000178
"320 Mb","LINE",5,0.000244
"320 Mb","LINE",6,0.000378
"320 Mb","LINE",7,0.000536
"320 Mb","LINE",8,0.000678
"320 Mb","LINE",9,0.000985
"320 Mb","LINE",10,0.001174
"320 Mb","LINE",11,0.001381
"320 Mb","LINE",12,0.001554
"320 Mb","LINE",13,0.002033
"320 Mb","LINE",14,0.002159
"320 Mb","LINE",15,0.002291
"320 Mb","LINE",16,0.00259
"320 Mb","LINE",17,0.002834
"320 Mb","LINE",18,0.00288
"320 Mb","LINE",19,0.002571
"320 Mb","LINE",20,0.002709
"320 Mb","LINE",21,0.002538
"320 Mb","LINE",22,0.00213
"320 Mb","LINE",23,0.002023
"320 Mb","LINE",24,0.001715
"320 Mb","LINE",25,0.001324
"320 Mb","LINE",26,0.001085
"320 Mb","LINE",27,0.000858
"320 Mb","LINE",28,0.000672
"320 Mb","LINE",29,0.00051
"320 Mb","TIR",0,0.000135
"320 Mb","TIR",1,0.000384
"320 Mb","TIR",2,0.001054
"320 Mb","TIR",3,0.002066
"320 Mb","TIR",4,0.00361
"320 Mb","TIR",5,0.005066
"320 Mb","TIR",6,0.005521
"320 Mb","TIR",7,0.005297
"320 Mb","TIR",8,0.004975
"320 Mb","TIR",9,0.004259
"320 Mb","TIR",10,0.003872
"320 Mb","TIR",11,0.003798
"320 Mb","TIR",12,0.003742
"320 Mb","TIR",13,0.003835
"320 Mb","TIR",14,0.003695
"320 Mb","TIR",15,0.003389
"320 Mb","TIR",16,0.00305
"320 Mb","TIR",17,0.002463
"320 Mb","TIR",18,0.00175
"320 Mb","TIR",19,0.001173
"320 Mb","TIR",20,0.000811
"320 Mb","TIR",21,0.00053
"320 Mb","TIR",22,3e-04
"320 Mb","TIR",23,0.000166
"320 Mb","TIR",24,8.4e-05
"320 Mb","TIR",25,4.5e-05
"320 Mb","TIR",26,2e-05
"320 Mb","TIR",27,8e-06
"320 Mb","TIR",28,3e-06
"320 Mb","TIR",29,1e-06
"320 Mb","Helitron",0,0.000287
"320 Mb","Helitron",1,0.000413
"320 Mb","Helitron",2,0.000582
"320 Mb","Helitron",3,0.000805
"320 Mb","Helitron",4,0.001007
"320 Mb","Helitron",5,0.001232
"320 Mb","Helitron",6,0.001498
"320 Mb","Helitron",7,0.001703
"320 Mb","Helitron",8,0.001857
"320 Mb","Helitron",9,0.00211
"320 Mb","Helitron",10,0.001901
"320 Mb","Helitron",11,0.001786
"320 Mb","Helitron",12,0.001977
"320 Mb","Helitron",13,0.001739
"320 Mb","Helitron",14,0.001446
"320 Mb","Helitron",15,0.001193
"320 Mb","Helitron",16,0.000895
"320 Mb","Helitron",17,0.000694
"320 Mb","Helitron",18,0.000581
"320 Mb","Helitron",19,0.000367
"320 Mb","Helitron",20,0.000291
"320 Mb","Helitron",21,0.000171
"320 Mb","Helitron",22,0.000115
"320 Mb","Helitron",23,6.7e-05
"320 Mb","Helitron",24,3.9e-05
"320 Mb","Helitron",25,2.3e-05
"320 Mb","Helitron",26,1.2e-05
"320 Mb","Helitron",27,6e-06
"320 Mb","Helitron",28,3e-06
"320 Mb","Helitron",29,1e-06
"480 Mb","Gypsy",0,0.000677
"480 Mb","Gypsy",1,0.002625
"480 Mb","Gypsy",2,0.00756
"480 Mb","Gypsy",3,0.015524
"480 Mb","Gypsy",4,0.022859
"480 Mb","Gypsy",5,0.020926
"480 Mb","Gypsy",6,0.01566
"480 Mb","Gypsy",7,0.008852
"480 Mb","Gypsy",8,0.004932
"480 Mb","Gypsy",9,0.002868
"480 Mb","Gypsy",10,0.003395
"480 Mb","Gypsy",11,0.004865
"480 Mb","Gypsy",12,0.00585
"480 Mb","Gypsy",13,0.006582
"480 Mb","Gypsy",14,0.007066
"480 Mb","Gypsy",15,0.007115
"480 Mb","Gypsy",16,0.006896
"480 Mb","Gypsy",17,0.00659
"480 Mb","Gypsy",18,0.00592
"480 Mb","Gypsy",19,0.00492
"480 Mb","Gypsy",20,0.003416
"480 Mb","Gypsy",21,0.002625
"480 Mb","Gypsy",22,0.001765
"480 Mb","Gypsy",23,0.001149
"480 Mb","Gypsy",24,0.000711
"480 Mb","Gypsy",25,0.00041
"480 Mb","Gypsy",26,0.000233
"480 Mb","Gypsy",27,0.000116
"480 Mb","Gypsy",28,6.3e-05
"480 Mb","Gypsy",29,2.8e-05
"480 Mb","Copia",0,0.003706
"480 Mb","Copia",1,0.01046
"480 Mb","Copia",2,0.016837
"480 Mb","Copia",3,0.018121
"480 Mb","Copia",4,0.011225
"480 Mb","Copia",5,0.004495
"480 Mb","Copia",6,0.001983
"480 Mb","Copia",7,0.00175
"480 Mb","Copia",8,0.00209
"480 Mb","Copia",9,0.002819
"480 Mb","Copia",10,0.003144
"480 Mb","Copia",11,0.003287
"480 Mb","Copia",12,0.003097
"480 Mb","Copia",13,0.002541
"480 Mb","Copia",14,0.002282
"480 Mb","Copia",15,0.001763
"480 Mb","Copia",16,0.001134
"480 Mb","Copia",17,0.000771
"480 Mb","Copia",18,0.000458
"480 Mb","Copia",19,0.00023
"480 Mb","Copia",20,0.00012
"480 Mb","Copia",21,5.1e-05
"480 Mb","Copia",22,2.4e-05
"480 Mb","Copia",23,8e-06
"480 Mb","Copia",24,3e-06
"480 Mb","Copia",25,1e-06
"480 Mb","Copia",26,0
"480 Mb","Copia",27,0
"480 Mb","Copia",28,0
"480 Mb","Copia",29,0
"480 Mb","LINE",0,3.9e-05
"480 Mb","LINE",1,6.4e-05
"480 Mb","LINE",2,9.3e-05
"480 Mb","LINE",3,0.000145
"480 Mb","LINE",4,0.000235
"480 Mb","LINE",5,0.000307
"480 Mb","LINE",6,0.000431
"480 Mb","LINE",7,0.000654
"480 Mb","LINE",8,0.000847
"480 Mb","LINE",9,0.001039
"480 Mb","LINE",10,0.001331
"480 Mb","LINE",11,0.001755
"480 Mb","LINE",12,0.002077
"480 Mb","LINE",13,0.002372
"480 Mb","LINE",14,0.002763
"480 Mb","LINE",15,0.002902
"480 Mb","LINE",16,0.003153
"480 Mb","LINE",17,0.003493
"480 Mb","LINE",18,0.003312
"480 Mb","LINE",19,0.003699
"480 Mb","LINE",20,0.003239
"480 Mb","LINE",21,0.003171
"480 Mb","LINE",22,0.002885
"480 Mb","LINE",23,0.002409
"480 Mb","LINE",24,0.002223
"480 Mb","LINE",25,0.00175
"480 Mb","LINE",26,0.001443
"480 Mb","LINE",27,0.001114
"480 Mb","LINE",28,0.000847
"480 Mb","LINE",29,0.000603
"480 Mb","TIR",0,0.00016
"480 Mb","TIR",1,0.000472
"480 Mb","TIR",2,0.00119
"480 Mb","TIR",3,0.00236
"480 Mb","TIR",4,0.0039
"480 Mb","TIR",5,0.005686
"480 Mb","TIR",6,0.00656
"480 Mb","TIR",7,0.005909
"480 Mb","TIR",8,0.005671
"480 Mb","TIR",9,0.004848
"480 Mb","TIR",10,0.004398
"480 Mb","TIR",11,0.004522
"480 Mb","TIR",12,0.004507
"480 Mb","TIR",13,0.004737
"480 Mb","TIR",14,0.00468
"480 Mb","TIR",15,0.003868
"480 Mb","TIR",16,0.003534
"480 Mb","TIR",17,0.002749
"480 Mb","TIR",18,0.002039
"480 Mb","TIR",19,0.001484
"480 Mb","TIR",20,0.000961
"480 Mb","TIR",21,0.000622
"480 Mb","TIR",22,0.00035
"480 Mb","TIR",23,0.000196
"480 Mb","TIR",24,0.000104
"480 Mb","TIR",25,5.2e-05
"480 Mb","TIR",26,2.2e-05
"480 Mb","TIR",27,1e-05
"480 Mb","TIR",28,4e-06
"480 Mb","TIR",29,2e-06
"480 Mb","Helitron",0,0.000314
"480 Mb","Helitron",1,0.000459
"480 Mb","Helitron",2,0.000674
"480 Mb","Helitron",3,0.000898
"480 Mb","Helitron",4,0.00117
"480 Mb","Helitron",5,0.001403
"480 Mb","Helitron",6,0.001687
"480 Mb","Helitron",7,0.001972
"480 Mb","Helitron",8,0.002193
"480 Mb","Helitron",9,0.002485
"480 Mb","Helitron",10,0.002542
"480 Mb","Helitron",11,0.002248
"480 Mb","Helitron",12,0.002232
"480 Mb","Helitron",13,0.00198
"480 Mb","Helitron",14,0.001735
"480 Mb","Helitron",15,0.001417
"480 Mb","Helitron",16,0.00112
"480 Mb","Helitron",17,0.000835
"480 Mb","Helitron",18,0.000725
"480 Mb","Helitron",19,0.000482
"480 Mb","Helitron",20,0.000312
"480 Mb","Helitron",21,0.00021
"480 Mb","Helitron",22,0.000129
"480 Mb","Helitron",23,8.1e-05
"480 Mb","Helitron",24,4.6e-05
"480 Mb","Helitron",25,2.5e-05
"480 Mb","Helitron",26,1.4e-05
"480 Mb","Helitron",27,8e-06
"480 Mb","Helitron",28,4e-06
"480 Mb","Helitron",29,2e-06
"750 Mb","Gypsy",0,0.001104
"750 Mb","Gypsy",1,0.004391
"750 Mb","Gypsy",2,0.012011
"750 Mb","Gypsy",3,0.02268
"750 Mb","Gypsy",4,0.035155
"750 Mb","Gypsy",5,0.03435
"750 Mb","Gypsy",6,0.024653
"750 Mb","Gypsy",7,0.013517
"750 Mb","Gypsy",8,0.007005
"750 Mb","Gypsy",9,0.00534
"750 Mb","Gypsy",10,0.005884
"750 Mb","Gypsy",11,0.007906
"750 Mb","Gypsy",12,0.008713
"750 Mb","Gypsy",13,0.01026
"750 Mb","Gypsy",14,0.01052
"750 Mb","Gypsy",15,0.011805
"750 Mb","Gypsy",16,0.010978
"750 Mb","Gypsy",17,0.009633
"750 Mb","Gypsy",18,0.009243
"750 Mb","Gypsy",19,0.007236
"750 Mb","Gypsy",20,0.005349
"750 Mb","Gypsy",21,0.0042
"750 Mb","Gypsy",22,0.002991
"750 Mb","Gypsy",23,0.001851
"750 Mb","Gypsy",24,0.001301
"750 Mb","Gypsy",25,0.000711
"750 Mb","Gypsy",26,0.000381
"750 Mb","Gypsy",27,0.000194
"750 Mb","Gypsy",28,9.8e-05
"750 Mb","Gypsy",29,4.2e-05
"750 Mb","Copia",0,0.003943
"750 Mb","Copia",1,0.011371
"750 Mb","Copia",2,0.018649
"750 Mb","Copia",3,0.01951
"750 Mb","Copia",4,0.01187
"750 Mb","Copia",5,0.005032
"750 Mb","Copia",6,0.002118
"750 Mb","Copia",7,0.001887
"750 Mb","Copia",8,0.002358
"750 Mb","Copia",9,0.002732
"750 Mb","Copia",10,0.00323
"750 Mb","Copia",11,0.003219
"750 Mb","Copia",12,0.003052
"750 Mb","Copia",13,0.003053
"750 Mb","Copia",14,0.002298
"750 Mb","Copia",15,0.00175
"750 Mb","Copia",16,0.001252
"750 Mb","Copia",17,0.000784
"750 Mb","Copia",18,0.000451
"750 Mb","Copia",19,0.000231
"750 Mb","Copia",20,0.000117
"750 Mb","Copia",21,5.5e-05
"750 Mb","Copia",22,2.5e-05
"750 Mb","Copia",23,1e-05
"750 Mb","Copia",24,3e-06
"750 Mb","Copia",25,1e-06
"750 Mb","Copia",26,0
"750 Mb","Copia",27,0
"750 Mb","Copia",28,0
"750 Mb","Copia",29,0
"750 Mb","LINE",0,4.3e-05
"750 Mb","LINE",1,7.1e-05
"750 Mb","LINE",2,0.000103
"750 Mb","LINE",3,0.000161
"750 Mb","LINE",4,0.000237
"750 Mb","LINE",5,0.000341
"750 Mb","LINE",6,0.000467
"750 Mb","LINE",7,0.000687
"750 Mb","LINE",8,0.000916
"750 Mb","LINE",9,0.001195
"750 Mb","LINE",10,0.001558
"750 Mb","LINE",11,0.001952
"750 Mb","LINE",12,0.002088
"750 Mb","LINE",13,0.002645
"750 Mb","LINE",14,0.003254
"750 Mb","LINE",15,0.003161
"750 Mb","LINE",16,0.003646
"750 Mb","LINE",17,0.003739
"750 Mb","LINE",18,0.003843
"750 Mb","LINE",19,0.003639
"750 Mb","LINE",20,0.0034
"750 Mb","LINE",21,0.003554
"750 Mb","LINE",22,0.003124
"750 Mb","LINE",23,0.002513
"750 Mb","LINE",24,0.002384
"750 Mb","LINE",25,0.001922
"750 Mb","LINE",26,0.001488
"750 Mb","LINE",27,0.001228
"750 Mb","LINE",28,0.000974
"750 Mb","LINE",29,0.000666
"750 Mb","TIR",0,0.00019
"750 Mb","TIR",1,0.000624
"750 Mb","TIR",2,0.001356
"750 Mb","TIR",3,0.002996
"750 Mb","TIR",4,0.004771
"750 Mb","TIR",5,0.006977
"750 Mb","TIR",6,0.008266
"750 Mb","TIR",7,0.007791
"750 Mb","TIR",8,0.006958
"750 Mb","TIR",9,0.00597
"750 Mb","TIR",10,0.005742
"750 Mb","TIR",11,0.005389
"750 Mb","TIR",12,0.00562
"750 Mb","TIR",13,0.005455
"750 Mb","TIR",14,0.005496
"750 Mb","TIR",15,0.005091
"750 Mb","TIR",16,0.004399
"750 Mb","TIR",17,0.003383
"750 Mb","TIR",18,0.002461
"750 Mb","TIR",19,0.001727
"750 Mb","TIR",20,0.001186
"750 Mb","TIR",21,0.000753
"750 Mb","TIR",22,0.00042
"750 Mb","TIR",23,0.000246
"750 Mb","TIR",24,0.000124
"750 Mb","TIR",25,6.2e-05
"750 Mb","TIR",26,2.7e-05
"750 Mb","TIR",27,1.3e-05
"750 Mb","TIR",28,5e-06
"750 Mb","TIR",29,2e-06
"750 Mb","Helitron",0,0.000367
"750 Mb","Helitron",1,0.000566
"750 Mb","Helitron",2,0.000807
"750 Mb","Helitron",3,0.000986
"750 Mb","Helitron",4,0.001366
"750 Mb","Helitron",5,0.001635
"750 Mb","Helitron",6,0.001976
"750 Mb","Helitron",7,0.002215
"750 Mb","Helitron",8,0.002454
"750 Mb","Helitron",9,0.002439
"750 Mb","Helitron",10,0.002619
"750 Mb","Helitron",11,0.002696
"750 Mb","Helitron",12,0.002638
"750 Mb","Helitron",13,0.002173
"750 Mb","Helitron",14,0.001937
"750 Mb","Helitron",15,0.001658
"750 Mb","Helitron",16,0.001295
"750 Mb","Helitron",17,0.001047
"750 Mb","Helitron",18,0.000674
"750 Mb","Helitron",19,0.000507
"750 Mb","Helitron",20,0.000348
"750 Mb","Helitron",21,0.000232
"750 Mb","Helitron",22,0.000156
"750 Mb","Helitron",23,9.5e-05
"750 Mb","Helitron",24,5.3e-05
"750 Mb","Helitron",25,3.1e-05
"750 Mb","Helitron",26,1.5e-05
"750 Mb","Helitron",27,8e-06
"750 Mb","Helitron",28,4e-06
"750 Mb","Helitron",29,2e-06
"1.2 Gb","Gypsy",0,0.001449
"1.2 Gb","Gypsy",1,0.005396
"1.2 Gb","Gypsy",2,0.015743
"1.2 Gb","Gypsy",3,0.032233
"1.2 Gb","Gypsy",4,0.047484
"1.2 Gb","Gypsy",5,0.048043
"1.2 Gb","Gypsy",6,0.033498
"1.2 Gb","Gypsy",7,0.018846
"1.2 Gb","Gypsy",8,0.010781
"1.2 Gb","Gypsy",9,0.00773
"1.2 Gb","Gypsy",10,0.008242
"1.2 Gb","Gypsy",11,0.010544
"1.2 Gb","Gypsy",12,0.012479
"1.2 Gb","Gypsy",13,0.014432
"1.2 Gb","Gypsy",14,0.01634
"1.2 Gb","Gypsy",15,0.016402
"1.2 Gb","Gypsy",16,0.01558
"1.2 Gb","Gypsy",17,0.013503
"1.2 Gb","Gypsy",18,0.012146
"1.2 Gb","Gypsy",19,0.010156
"1.2 Gb","Gypsy",20,0.007992
"1.2 Gb","Gypsy",21,0.005673
"1.2 Gb","Gypsy",22,0.00429
"1.2 Gb","Gypsy",23,0.002602
"1.2 Gb","Gypsy",24,0.001706
"1.2 Gb","Gypsy",25,0.000934
"1.2 Gb","Gypsy",26,0.000514
"1.2 Gb","Gypsy",27,0.000268
"1.2 Gb","Gypsy",28,0.000133
"1.2 Gb","Gypsy",29,5.9e-05
"1.2 Gb","Copia",0,0.004381
"1.2 Gb","Copia",1,0.012006
"1.2 Gb","Copia",2,0.020701
"1.2 Gb","Copia",3,0.019944
"1.2 Gb","Copia",4,0.012745
"1.2 Gb","Copia",5,0.005207
"1.2 Gb","Copia",6,0.002374
"1.2 Gb","Copia",7,0.002088
"1.2 Gb","Copia",8,0.002522
"1.2 Gb","Copia",9,0.00313
"1.2 Gb","Copia",10,0.003847
"1.2 Gb","Copia",11,0.003639
"1.2 Gb","Copia",12,0.003623
"1.2 Gb","Copia",13,0.002985
"1.2 Gb","Copia",14,0.002836
"1.2 Gb","Copia",15,0.001912
"1.2 Gb","Copia",16,0.001377
"1.2 Gb","Copia",17,0.000854
"1.2 Gb","Copia",18,0.000515
"1.2 Gb","Copia",19,0.000273
"1.2 Gb","Copia",20,0.000141
"1.2 Gb","Copia",21,6.4e-05
"1.2 Gb","Copia",22,2.5e-05
"1.2 Gb","Copia",23,1e-05
"1.2 Gb","Copia",24,4e-06
"1.2 Gb","Copia",25,1e-06
"1.2 Gb","Copia",26,0
"1.2 Gb","Copia",27,0
"1.2 Gb","Copia",28,0
"1.2 Gb","Copia",29,0
"1.2 Gb","LINE",0,4.8e-05
"1.2 Gb","LINE",1,7.5e-05
"1.2 Gb","LINE",2,0.000125
"1.2 Gb","LINE",3,0.000182
"1.2 Gb","LINE",4,0.000275
"1.2 Gb","LINE",5,0.000422
"1.2 Gb","LINE",6,0.00059
"1.2 Gb","LINE",7,0.000782
"1.2 Gb","LINE",8,0.001105
"1.2 Gb","LINE",9,0.001327
"1.2 Gb","LINE",10,0.001738
"1.2 Gb","LINE",11,0.002078
"1.2 Gb","LINE",12,0.002552
"1.2 Gb","LINE",13,0.002773
"1.2 Gb","LINE",14,0.003198
"1.2 Gb","LINE",15,0.003567
"1.2 Gb","LINE",16,0.003986
"1.2 Gb","LINE",17,0.00391
"1.2 Gb","LINE",18,0.003803
"1.2 Gb","LINE",19,0.004388
"1.2 Gb","LINE",20,0.003838
"1.2 Gb","LINE",21,0.003797
"1.2 Gb","LINE",22,0.00321
"1.2 Gb","LINE",23,0.002937
"1.2 Gb","LINE",24,0.002621
"1.2 Gb","LINE",25,0.002045
"1.2 Gb","LINE",26,0.001787
"1.2 Gb","LINE",27,0.001391
"1.2 Gb","LINE",28,0.000973
"1.2 Gb","LINE",29,0.000777
"1.2 Gb","TIR",0,0.000186
"1.2 Gb","TIR",1,0.00061
"1.2 Gb","TIR",2,0.00145
"1.2 Gb","TIR",3,0.002905
"1.2 Gb","TIR",4,0.004869
"1.2 Gb","TIR",5,0.007254
"1.2 Gb","TIR",6,0.008168
"1.2 Gb","TIR",7,0.007936
"1.2 Gb","TIR",8,0.006846
"1.2 Gb","TIR",9,0.006164
"1.2 Gb","TIR",10,0.005261
"1.2 Gb","TIR",11,0.005644
"1.2 Gb","TIR",12,0.005394
"1.2 Gb","TIR",13,0.005953
"1.2 Gb","TIR",14,0.005399
"1.2 Gb","TIR",15,0.004817
"1.2 Gb","TIR",16,0.004081
"1.2 Gb","TIR",17,0.003465
"1.2 Gb","TIR",18,0.002723
"1.2 Gb","TIR",19,0.001784
"1.2 Gb","TIR",20,0.001194
"1.2 Gb","TIR",21,0.000773
"1.2 Gb","TIR",22,0.00045
"1.2 Gb","TIR",23,0.000236
"1.2 Gb","TIR",24,0.00013
"1.2 Gb","TIR",25,5.9e-05
"1.2 Gb","TIR",26,2.9e-05
"1.2 Gb","TIR",27,1.2e-05
"1.2 Gb","TIR",28,5e-06
"1.2 Gb","TIR",29,2e-06
"1.2 Gb","Helitron",0,0.000365
"1.2 Gb","Helitron",1,0.000541
"1.2 Gb","Helitron",2,0.000773
"1.2 Gb","Helitron",3,0.000969
"1.2 Gb","Helitron",4,0.001317
"1.2 Gb","Helitron",5,0.001749
"1.2 Gb","Helitron",6,0.002019
"1.2 Gb","Helitron",7,0.002266
"1.2 Gb","Helitron",8,0.002438
"1.2 Gb","Helitron",9,0.002757
"1.2 Gb","Helitron",10,0.002699
"1.2 Gb","Helitron",11,0.002719
