"tip","parent","length","trait","value"
"S13","",NA,"T01",1.499
"S04","",NA,"T01",1.201
"S09","",NA,"T02",-0.135
"S26","",NA,"T02",-0.097
"S10","",NA,"T02",0.252
"S20","",NA,"T02",-0.213
"S18","",NA,"T02",0.909
"S28","",NA,"T02",0.924
"S19","",NA,"T02",1.119
"S12","",NA,"T02",0.093
"S27","",NA,"T02",-0.103
"S15","",NA,"T02",0.494
"S17","",NA,"T02",-0.367
"S07","",NA,"T02",-0.198
"S25","",NA,"T02",-0.368
"S29","",NA,"T02",-0.388
"S11","",NA,"T02",1.139
"S30","",NA,"T02",1.398
"S02","",NA,"T02",1.428
"S16","",NA,"T02",1.457
"S03","",NA,"T02",1.45
"S08","",NA,"T02",1.136
"S01","",NA,"T02",-0.382
"S05","",NA,"T02",-1.217
"S23","",NA,"T02",-1.246
"S24","",NA,"T02",-1.499
"S22","",NA,"T02",-1.094
"S06","",NA,"T02",-1.399
"S14","",NA,"T02",-1.1
"S21","",NA,"T02",-1.159
"S13","",NA,"T02",-1.4
"S04","",NA,"T02",-1.049
"S09","",NA,"T03",1.256
"S26","",NA,"T03",1.366
"S10","",NA,"T03",0.973
"S20","",NA,"T03",0.797
"S18","",NA,"T03",1.081
"S28","",NA,"T03",0.952
"S19","",NA,"T03",0.765
"S12","",NA,"T03",0.845
"S27","",NA,"T03",0.905
"S15","",NA,"T03",0.595
"S17","",NA,"T03",0.94
"S07","",NA,"T03",0.782
"S25","",NA,"T03",1
"S29","",NA,"T03",1.239
"S11","",NA,"T03",0.694
"S30","",NA,"T03",0.144
"S02","",NA,"T03",-0.229
"S16","",NA,"T03",-0.948
"S03","",NA,"T03",-0.974
"S08","",NA,"T03",-0.932
"S01","",NA,"T03",-2.166
"S05","",NA,"T03",-1.396
"S23","",NA,"T03",-1.558
"S24","",NA,"T03",-0.968
"S22","",NA,"T03",-1.078
"S06","",NA,"T03",-1.314
"S14","",NA,"T03",-1.157
"S21","",NA,"T03",-0.693
"S13","",NA,"T03",-0.86
"S04","",NA,"T03",-0.604
"S09","",NA,"T04",0.23
"S26","",NA,"T04",0.167
"S10","",NA,"T04",0.105
"S20","",NA,"T04",0.562
"S18","",NA,"T04",0.535
"S28","",NA,"T04",0.473
"S19","",NA,"T04",0.251
"S12","",NA,"T04",0.641
"S27","",NA,"T04",0.943
"S15","",NA,"T04",1.157
"S17","",NA,"T04",0.908
"S07","",NA,"T04",0.985
"S25","",NA,"T04",1.186
"S29","",NA,"T04",0.865
"S11","",NA,"T04",0.496
"S30","",NA,"T04",0.999
"S02","",NA,"T04",0.918
"S16","",NA,"T04",0.591
"S03","",NA,"T04",0.558
"S08","",NA,"T04",0.557
"S01","",NA,"T04",-1.408
"S05","",NA,"T04",-1.257
"S23","",NA,"T04",-0.917
"S24","",NA,"T04",-1.328
"S22","",NA,"T04",-1.421
"S06","",NA,"T04",-1.297
"S14","",NA,"T04",-1.442
"S21","",NA,"T04",-1.56
"S13","",NA,"T04",-1.267
"S04","",NA,"T04",-1.694
"S09","",NA,"T05",-0.291
"S26","",NA,"T05",-0.589
"S10","",NA,"T05",-0.688
"S20","",NA,"T05",-0.596
"S18","",NA,"T05",-0.486
"S28","",NA,"T05",-1.123
"S19","",NA,"T05",-1.613
"S12","",NA,"T05",0.129
"S27","",NA,"T05",0.036
"S15","",NA,"T05",0.803
"S17","",NA,"T05",0.301
"S07","",NA,"T05",0.314
"S25","",NA,"T05",0.015
"S29","",NA,"T05",0.546
"S11","",NA,"T05",2.756
"S30","",NA,"T05",1.37
"S02","",NA,"T05",1.382
"S16","",NA,"T05",1.634
"S03","",NA,"T05",1.305
"S08","",NA,"T05",1.452
"S01","",NA,"T05",-0.089
"S05","",NA,"T05",-1.383
"S23","",NA,"T05",-0.383
"S24","",NA,"T05",-0.871
"S22","",NA,"T05",-0.684
"S06","",NA,"T05",-0.518
"S14","",NA,"T05",-0.674
"S21","",NA,"T05",-0.05
"S13","",NA,"T05",0.308
"S04","",NA,"T05",-0.257
"S09","",NA,"T06",-0.572
"S26","",NA,"T06",-0.409
"S10","",NA,"T06",-0.953
"S20","",NA,"T06",-0.86
"S18","",NA,"T06",-0.222
"S28","",NA,"T06",-0.062
"S19","",NA,"T06",0.4
"S12","",NA,"T06",1
"S27","",NA,"T06",1.129
"S15","",NA,"T06",0.057
"S17","",NA,"T06",0.362
"S07","",NA,"T06",0.552
"S25","",NA,"T06",0.562
"S29","",NA,"T06",0.148
"S11","",NA,"T06",0.967
"S30","",NA,"T06",2.108
"S02","",NA,"T06",1.684
"S16","",NA,"T06",1.6
"S03","",NA,"T06",1.063
"S08","",NA,"T06",1.25
"S01","",NA,"T06",-1.464
"S05","",NA,"T06",-0.969
"S23","",NA,"T06",-0.104
"S24","",NA,"T06",-0.909
"S22","",NA,"T06",-0.564
"S06","",NA,"T06",-0.541
"S14","",NA,"T06",-0.707
"S21","",NA,"T06",-1.4
"S13","",NA,"T06",-1.545
"S04","",NA,"T06",-1.111
"S09","",NA,"T07",1.117
"S26","",NA,"T07",1.304
"S10","",NA,"T07",0.918
"S20","",NA,"T07",1.534
"S18","",NA,"T07",0.653
"S28","",NA,"T07",1.205
"S19","",NA,"T07",1.626
"S12","",NA,"T07",-1.636
"S27","",NA,"T07",-1.111
"S15","",NA,"T07",0.072
"S17","",NA,"T07",-1.213
"S07","",NA,"T07",-1.463
"S25","",NA,"T07",-1.207
"S29","",NA,"T07",-1.995
"S11","",NA,"T07",0.697
"S30","",NA,"T07",1.076
"S02","",NA,"T07",1.242
"S16","",NA,"T07",0.376
"S03","",NA,"T07",0.521
"S08","",NA,"T07",0.482
"S01","",NA,"T07",-1.128
"S05","",NA,"T07",-0.145
"S23","",NA,"T07",0.182
"S24","",NA,"T07",-0.406
"S22","",NA,"T07",-0.86
"S06","",NA,"T07",-0.752
"S14","",NA,"T07",-0.902
"S21","",NA,"T07",-0.113
"S13","",NA,"T07",-0.549
"S04","",NA,"T07",-0.49
"S09","",NA,"T08",-0.586
"S26","",NA,"T08",0.194
"S10","",NA,"T08",-0.018
"S20","",NA,"T08",-0.301
"S18","",NA,"T08",-1.986
"S28","",NA,"T08",-2.362
"S19","",NA,"T08",-2.628
"S12","",NA,"T08",-0.586
"S27","",NA,"T08",-0.757
"S15","",NA,"T08",-0.105
"S17","",NA,"T08",-0.196
"S07","",NA,"T08",-0.281
"S25","",NA,"T08",-0.322
"S29","",NA,"T08",-0.208
"S11","",NA,"T08",0.037
"S30","",NA,"T08",0.357
"S02","",NA,"T08",0.006
"S16","",NA,"T08",0.722
"S03","",NA,"T08",0.389
"S08","",NA,"T08",0.746
"S01","",NA,"T08",0.88
"S05","",NA,"T08",-1.088
"S23","",NA,"T08",0.226
"S24","",NA,"T08",1.194
"S22","",NA,"T08",1.23
"S06","",NA,"T08",1.003
"S14","",NA,"T08",0.847
"S21","",NA,"T08",1.264
"S13","",NA,"T08",1.201
"S04","",NA,"T08",1.156
"S09","",NA,"T09",-0.451
"S26","",NA,"T09",-1.533
"S10","",NA,"T09",-1.922
"S20","",NA,"T09",-0.502
"S18","",NA,"T09",0.412
"S28","",NA,"T09",0.746
"S19","",NA,"T09",-1.63
"S12","",NA,"T09",0.481
"S27","",NA,"T09",0.125
"S15","",NA,"T09",0.052
"S17","",NA,"T09",-0.725
"S07","",NA,"T09",-0.709
"S25","",NA,"T09",-0.749
"S29","",NA,"T09",0.05
"S11","",NA,"T09",1.005
"S30","",NA,"T09",0.865
"S02","",NA,"T09",1.142
"S16","",NA,"T09",0.804
"S03","",NA,"T09",0.4
"S08","",NA,"T09",0.598
"S01","",NA,"T09",-2.77
"S05","",NA,"T09",-1.032
"S23","",NA,"T09",0.721
"S24","",NA,"T09",1.039
"S22","",NA,"T09",0.945
"S06","",NA,"T09",0.484
"S14","",NA,"T09",0.639
"S21","",NA,"T09",1.232
"S13","",NA,"T09",0.77
"S04","",NA,"T09",0.958
"S09","",NA,"T10",-0.044
"S26","",NA,"T10",-0.285
"S10","",NA,"T10",-0.076
"S20","",NA,"T10",-0.286
"S18","",NA,"T10",-1.695
"S28","",NA,"T10",-1.263
"S19","",NA,"T10",-0.658
"S12","",NA,"T10",-1.691
"S27","",NA,"T10",-1.96
"S15","",NA,"T10",-1.687
"S17","",NA,"T10",-1.205
"S07","",NA,"T10",-1.385
"S25","",NA,"T10",-1.183
"S29","",NA,"T10",-1.238
"S11","",NA,"T10",0.712
"S30","",NA,"T10",0.695
"S02","",NA,"T10",0.657
"S16","",NA,"T10",0.607
"S03","",NA,"T10",0.957
"S08","",NA,"T10",0.75
"S01","",NA,"T10",0.978
"S05","",NA,"T10",0.411
"S23","",NA,"T10",1.332
"S24","",NA,"T10",1.018
"S22","",NA,"T10",1.08
"S06","",NA,"T10",0.967
"S14","",NA,"T10",1.249
"S21","",NA,"T10",0.932
"S13","",NA,"T10",0.731
"S04","",NA,"T10",0.681
"S09","",NA,"T11",-0.915
"S26","",NA,"T11",-0.442
"S10","",NA,"T11",-0.461
"S20","",NA,"T11",-1.1
"S18","",NA,"T11",-0.441
"S28","",NA,"T11",-0.162
"S19","",NA,"T11",0.642
"S12","",NA,"T11",-0.8
"S27","",NA,"T11",-1.194
"S15","",NA,"T11",-1.897
"S17","",NA,"T11",-1.506
"S07","",NA,"T11",-1.347
"S25","",NA,"T11",-1.45
"S29","",NA,"T11",-1.426
"S11","",NA,"T11",1.741
"S30","",NA,"T11",1.38
"S02","",NA,"T11",1.284
"S16","",NA,"T11",0.932
"S03","",NA,"T11",1.348
"S08","",NA,"T11",1.4
"S01","",NA,"T11",0.256
"S05","",NA,"T11",0.762
"S23","",NA,"T11",0.672
"S24","",NA,"T11",0.179
"S22","",NA,"T11",0.618
"S06","",NA,"T11",0.262
"S14","",NA,"T11",0.321
"S21","",NA,"T11",0.528
"S13","",NA,"T11",0.394
"S04","",NA,"T11",0.478
"S09","",NA,"T12",1.005
"S26","",NA,"T12",0.916
"S10","",NA,"T12",1.209
"S20","",NA,"T12",0.558
"S18","",NA,"T12",1.005
"S28","",NA,"T12",1.149
"S19","",NA,"T12",0.196
"S12","",NA,"T12",1.067
"S27","",NA,"T12",0.265
"S15","",NA,"T12",0.452
"S17","",NA,"T12",0.387
"S07","",NA,"T12",0.262
"S25","",NA,"T12",0.382
"S29","",NA,"T12",0.396
"S11","",NA,"T12",1.5
"S30","",NA,"T12",0.571
"S02","",NA,"T12",0.37
"S16","",NA,"T12",0.817
"S03","",NA,"T12",0.866
"S08","",NA,"T12",0.618
"S01","",NA,"T12",-1.882
"S05","",NA,"T12",-1.418
"S23","",NA,"T12",-0.813
"S24","",NA,"T12",-1.381
"S22","",NA,"T12",-1.448
"S06","",NA,"T12",-1.234
"S14","",NA,"T12",-1.282
"S21","",NA,"T12",-1.673
"S13","",NA,"T12",-1.281
"S04","",NA,"T12",-0.873
