"sv_type","size_bp"
"DEL",11928
"DEL",189
"DEL",153
"DEL",8281
"DEL",558
"DEL",321
"DEL",385
"DEL",362
"DEL",114
"DEL",4621
"DEL",191
"DEL",199
"DEL",180
"DEL",9378
"DEL",267
"DEL",9716
"DEL",787
"DEL",455
"DEL",5850
"DEL",489
"DEL",11476
"DEL",143
"DEL",173
"DEL",15288
"DEL",2776
"DEL",8512
"DEL",455
"DEL",14870
"DEL",371
"DEL",3960
"DEL",678
"DEL",491
"DEL",743
"DEL",5532
"DEL",11120
"DEL",538
"DEL",146
"DEL",283
"DEL",267
"DEL",191
"DEL",378
"DEL",861
"DEL",134
"DEL",8685
"DEL",4310
"DEL",479
"DEL",204
"DEL",194
"DEL",550
"DEL",1630
"DEL",7077
"DEL",116
"DEL",627
"DEL",220
"DEL",948
"DEL",561
"DEL",9170
"DEL",158
"DEL",65
"DEL",492
"DEL",770
"DEL",681
"DEL",200
"DEL",182
"DEL",168
"DEL",6333
"DEL",172
"DEL",426
"DEL",14568
"DEL",453
"DEL",631
"DEL",183
"DEL",219
"DEL",328
"DEL",108
"DEL",112
"DEL",837
"DEL",7291
"DEL",1534
"DEL",1017
"DEL",198
"DEL",156
"DEL",5425
"DEL",216
"DEL",225
"DEL",206
"DEL",6925
"DEL",1238
"DEL",303
"DEL",346
"DEL",8373
"DEL",10818
"DEL",567
"DEL",169
"DEL",12678
"DEL",824
"DEL",704
"DEL",533
"DEL",232
"DEL",245
"DEL",123
"DEL",7938
"DEL",330
"DEL",218
"DEL",382
"DEL",8037
"DEL",743
"DEL",515
"DEL",581
"DEL",10257
"DEL",532
"DEL",4097
"DEL",369
"DEL",234
"DEL",370
"DEL",278
"DEL",149
"DEL",161
"DEL",185
"DEL",294
"DEL",7684
"DEL",7084
"DEL",486
"DEL",309
"DEL",953
"DEL",450
"DEL",137
"DEL",1652
"DEL",10147
"DEL",272
"DEL",351
"DEL",484
"DEL",531
"DEL",527
"DEL",10333
"DEL",406
"DEL",114
"DEL",184
"DEL",7939
"DEL",8539
"DEL",5769
"DEL",633
"DEL",485
"DEL",202
"DEL",337
"DEL",202
"DEL",196
"DEL",248
"DEL",9148
"DEL",8095
"DEL",237
"DEL",142
"DEL",8206
"DEL",7332
"DEL",166
"DEL",279
"DEL",205
"DEL",846
"DEL",8146
"DEL",1467
"DEL",6773
"DEL",96
"DEL",176
"DEL",12803
"DEL",4656
"DEL",6805
"DEL",1014
"DEL",526
"DEL",14509
"DEL",321
"DEL",6620
"DEL",574
"DEL",3794
"DEL",14833
"DEL",130
"DEL",7302
"DEL",228
"DEL",238
"DEL",10297
"DEL",269
"DEL",428
"DEL",3503
"DEL",62
"DEL",5708
"DEL",322
"DEL",355
"DEL",561
"DEL",241
"DEL",229
"DEL",146
"DEL",294
"DEL",6516
"DEL",117
"DEL",891
"DEL",12700
"DEL",184
"DEL",6559
"DEL",176
"DEL",328
"DEL",7022
"DEL",6088
"DEL",156
"DEL",221
"DEL",295
"DEL",3506
"DEL",7059
"DEL",566
"DEL",79
"DEL",1986
"DEL",12289
"DEL",622
"DEL",1434
"DEL",675
"DEL",791
"DEL",514
"DEL",423
"DEL",14500
"DEL",7842
"DEL",244
"DEL",324
"DEL",110
"DEL",425
"DEL",7937
"DEL",1610
"DEL",8691
"DEL",1022
"DEL",152
"DEL",5288
"DEL",425
"DEL",7180
"DEL",158
"DEL",544
"DEL",366
"DEL",74
"DEL",8748
"DEL",313
"DEL",117
"DEL",595
"DEL",6758
"DEL",7556
"DEL",8781
"DEL",20284
"DEL",168
"DEL",181
"DEL",416
"DEL",10032
"DEL",133
"DEL",437
"DEL",8200
"DEL",154
"DEL",236
"DEL",221
"DEL",9342
"DEL",704
"DEL",137
"DEL",353
"DEL",265
"DEL",99
"DEL",163
"DEL",522
"DEL",762
"DEL",234
"DEL",203
"DEL",167
"INS",9896
"INS",12735
"INS",519
"INS",11101
"INS",11920
"INS",137
"INS",6731
"INS",69
"INS",10215
"INS",307
"INS",15440
"INS",852
"INS",171
"INS",187
"INS",217
"INS",9034
"INS",7561
"INS",10847
"INS",367
"INS",16219
"INS",156
"INS",189
"INS",262
"INS",519
"INS",10277
"INS",7565
"INS",12655
"INS",13168
"INS",369
"INS",6437
"INS",11204
"INS",228
"INS",521
"INS",11014
"INS",4997
"INS",11095
"INS",12632
"INS",186
"INS",9563
"INS",7145
"INS",10370
"INS",312
"INS",11001
"INS",10333
"INS",10858
"INS",106
"INS",151
"INS",138
"INS",480
"INS",222
"INS",7686
"INS",289
"INS",327
"INS",172
"INS",10213
"INS",150
"INS",127
"INS",204
"INS",244
"INS",162
"INS",106
"INS",7222
"INS",8455
"INS",10195
"INS",6833
"INS",13791
"INS",7885
"INS",94
"INS",228
"INS",11892
"INS",8295
"INS",8124
"INS",10318
"INS",283
"INS",6613
"INS",10344
"INS",7149
"INS",9154
"INS",4741
"INS",13268
"INS",98
"INS",9127
"INS",12234
"INS",11037
"INS",6937
"INS",7252
"INS",10220
"INS",212
"INS",491
"INS",8253
"INS",9758
"INS",174
"INS",10036
"INS",246
"INS",406
"INS",17434
"INS",14064
"INS",14678
"INS",14214
"INS",13906
"INS",7393
"INS",241
"INS",142
"INS",215
"INS",466
"INS",6066
"INS",5796
"INS",163
"INS",258
"INS",8332
"INS",152
"INS",7641
"INS",11073
"INS",269
"INS",127
"INS",458
"INS",11605
"INS",502
"INS",387
"INS",9984
"INS",273
"INS",9497
"INS",6232
"INS",17057
"INS",8711
"INS",266
"INS",7014
"INS",5774
"INS",10773
"INS",8547
"INS",9500
"INS",426
"INS",9953
"INS",12673
"INS",346
"INS",8593
"INS",6866
"INS",195
"INS",13770
"INS",6640
"INS",8277
"INS",9136
"INS",178
"INS",192
"INS",10343
"INS",10987
"INS",215
"INS",7363
"INS",324
"INS",114
"INS",8990
"INS",11033
"INS",272
"INS",10060
"INS",8414
"INS",366
"INS",219
"INS",9665
"INS",14975
"INS",14894
"INS",12105
"INS",6733
"INS",5950
"INS",156
"INS",9675
"INS",8953
"INS",10506
"INS",10649
"INS",344
"INS",5219
"INS",12152
"INS",7239
"INS",9370
"INS",8753
"INS",8824
"INS",10774
"INS",12947
"INS",9905
"INS",4617
"INS",8108
"INS",366
"INS",12868
"INS",144
"INS",6093
"INS",9500
"INS",7658
"INS",7615
"INS",13773
"INS",9690
"INS",14969
"INS",580
"INS",126
"INS",12291
"INS",142
"INS",10402
"INS",14991
"INS",223
"INS",203
"INS",10560
"INS",15132
"INS",748
"INS",10131
"INS",7030
"INS",14037
"INS",13648
"INS",9949
"INS",340
"INS",8852
"INS",279
"INS",227
"INS",8230
"INS",14236
"INS",99
"INS",75
"INS",173
"INS",191
"INS",7785
"INS",11917
"INS",7763
"INS",248
"INS",7204
"INS",267
"INS",8761
"INS",102
"INS",175
"INS",96
"INS",13985
"INS",195
"INS",9206
"INS",411
"INS",110
"INS",6561
"INS",133
"INS",13376
"INS",7156
"INS",6228
"INS",629
"INS",117
"INS",9875
"INS",8731
"INS",131
"INS",14489
"INS",490
"INS",536
"INS",120
"INS",11762
"INS",136
"INS",238
"INS",14256
"INS",190
"INS",16607
"INS",7375
"INS",90
"INS",222
"INS",9692
"INS",14389
"INS",8914
"INS",6763
"INS",9275
"INS",9129
"INS",172
"INS",331
"INS",6893
"INS",5828
"INS",282
"INS",172
"INS",9757
"INS",7466
"INS",8855
"INS",159
"INS",211
"INS",9460
"INS",162
"INS",321
"INS",250
"INS",257
"INS",8460
"INS",6526
"INS",10681
"INS",14165
"INS",10259
"INS",7556
"INS",161
"INS",292
"INS",162
"INS",321
"INS",7507
"INS",7860
"INS",142
"INS",163
"INS",445
"INS",6429
"INS",8556
"INS",13512
"INS",6092
"INS",237
"INS",206
"INS",233
"INS",310
"INS",10948
"INS",11407
"INS",152
"INS",7939
"INS",10435
"INS",97
"INS",9532
"INS",9062
"INS",8723
"INS",5310
"INS",12730
"INS",10431
"INS",12899
"INS",123
"INS",7036
"INS",124
"INS",203
"INS",8818
"INS",10657
"INS",5994
"INS",429
"INS",227
"INS",10773
"INS",12162
"INS",11427
"INS",12213
"INS",7054
"INS",121
"INS",6347
"INS",8170
"INS",16370
"INS",293
"INS",9276
"INS",7202
"INS",13083
"INS",9207
"INS",14409
"INS",159
"INS",8997
"INS",5171
"INS",7897
"INS",9523
"INS",8232
"INS",142
"INS",9644
"INS",6110
"INS",8651
"INS",7714
"INS",8712
"INS",177
"INS",183
"INS",12053
"INS",7836
"INS",7862
"INS",230
"INS",7567
"INS",10250
"INS",10782
"INS",8359
"INS",7939
"INS",8705
"INS",14902
"INS",7926
"INS",10697
"INS",10176
"INS",188
"INS",7216
"INS",4994
"INS",398
"INS",11569
"INS",9202
"INS",15363
"INS",7228
"INS",153
"INS",9375
"INS",4371
"INS",264
"INS",18054
"INS",9400
"INS",265
"INS",9291
"INS",8429
"INS",11434
"INS",8558
"INS",7989
"INS",354
"INS",227
"INS",753
"INS",5796
"INS",11258
"INS",10284
"INS",13477
"INS",6867
"INS",190
"INS",8458
"INS",97
"INS",232
"INS",309
"INS",14215
"INS",781
"INS",6133
"DUP",54459
"DUP",42835
"DUP",25767
"DUP",10204
"DUP",2663
"DUP",51887
"DUP",56821
"DUP",20173
"DUP",15243
"DUP",9664
"DUP",77430
"DUP",19699
"DUP",71331
"DUP",27873
"DUP",23258
"DUP",17684
"DUP",5567
"DUP",385367
"DUP",14931
"DUP",41765
"DUP",26749
"DUP",26000
"DUP",71408
"DUP",42309
"DUP",16939
"DUP",26340
"DUP",18817
"DUP",33501
"DUP",18794
"DUP",4484
"DUP",10436
"DUP",17302
"DUP",6089
"DUP",24793
"DUP",58896
"DUP",82598
"DUP",47013
"DUP",29055
"DUP",16096
"DUP",15358
"DUP",25076
"DUP",9894
"DUP",23563
"DUP",28072
"DUP",195514
"DUP",45540
"DUP",37995
"DUP",21814
"DUP",6331
"DUP",23522
"DUP",12749
"DUP",13756
"DUP",9348
"DUP",15552
"DUP",26566
"DUP",78073
"DUP",55659
"DUP",58490
"DUP",51953
"DUP",16566
"DUP",30078
"DUP",50354
"DUP",79581
"DUP",97140
"DUP",32109
"DUP",23294
"DUP",51272
"DUP",28436
"DUP",13900
"DUP",11306
"DUP",29500
"DUP",24922
"DUP",108301
"DUP",2465
"DUP",8690
"DUP",14117
"DUP",2573
"DUP",12952
"DUP",18476
"DUP",5304
"DUP",46649
"DUP",67195
"DUP",45072
"DUP",20408
"DUP",28288
"DUP",52545
"DUP",10780
"DUP",270563
"DUP",5576
"DUP",14494
"DUP",58930
"DUP",19098
"DUP",28608
"DUP",6713
"DUP",35044
"DUP",18987
"DUP",8721
"DUP",19731
"DUP",16182
"DUP",23918
"DUP",61639
"DUP",31589
"DUP",4101
"DUP",100184
"DUP",21918
"DUP",24108
"DUP",13191
"DUP",48812
"DUP",18297
"DUP",22166
"DUP",11109
"DUP",11548
"DUP",9167
"DUP",14207
"DUP",6895
"DUP",13614
"DUP",6516
"DUP",7886
"DUP",4680
"DUP",9559
"DUP",23100
"DUP",35875
"DUP",10542
"DUP",49109
"DUP",35959
"DUP",92621
"DUP",10114
"DUP",8024
"DUP",18667
"DUP",12647
"DUP",1772
"DUP",24014
"DUP",5500
"DUP",44584
"DUP",30146
"DUP",82825
"DUP",8929
"DUP",13190
"DUP",35561
"DUP",31808
"DUP",14431
"DUP",6895
"DUP",61421
"DUP",28543
"DUP",13142
"DUP",41747
"DUP",30330
"DUP",18017
"DUP",21785
"DUP",27799
"DUP",5943
"DUP",23957
"DUP",72926
"DUP",17600
"DUP",13932
"DUP",29705
"DUP",16524
"DUP",7027
"DUP",117269
"DUP",16642
"DUP",9108
"DUP",7628
"DUP",17532
"DUP",6372
"DUP",7914
"DUP",19998
"DUP",18203
"DUP",6806
"DUP",22165
"DUP",3800
"DUP",55128
"DUP",17039
"DUP",2753
"DUP",74385
"DUP",37699
"DUP",22703
"DUP",45385
"DUP",26301
"DUP",52103
"DUP",8400
"DUP",51496
"DUP",12995
"DUP",43011
"DUP",5481
"DUP",28291
"DUP",12809
"DUP",11181
"DUP",44204
"DUP",13617
"DUP",9662
"DUP",9945
"DUP",37688
"DUP",8368
"DUP",100937
"DUP",37544
"DUP",18770
"DUP",32068
"DUP",4727
"DUP",25261
"DUP",18892
"DUP",46295
"DUP",198447
"DUP",24786
"DUP",16843
"DUP",7346
"DUP",11928
"DUP",17358
"DUP",5515
"DUP",9736
"DUP",147295
"DUP",43890
"DUP",63979
"DUP",61073
"DUP",54334
"DUP",24886
"DUP",55730
"DUP",96574
"DUP",11905
"DUP",111194
"DUP",2523
"DUP",31875
"DUP",1962
"DUP",57829
"DUP",23449
"DUP",27988
"DUP",76157
"DUP",105000
"DUP",29980
"DUP",37127
"DUP",13692
"DUP",21317
"DUP",52189
"DUP",43753
"DUP",14228
"DUP",67328
"DUP",5191
"DUP",38211
"DUP",3561
"DUP",75084
"DUP",19373
"DUP",60561
"DUP",6556
"DUP",36388
"DUP",105644
"DUP",9691
"DUP",13592
"DUP",51868
"DUP",8366
"DUP",11275
"DUP",37809
"DUP",5211
"DUP",109643
"DUP",19344
"DUP",29490
"DUP",35091
"DUP",22907
"DUP",53723
"DUP",8199
"DUP",45998
"DUP",12567
"DUP",51510
"DUP",22093
"DUP",16036
"DUP",13186
"DUP",12411
"DUP",14601
"DUP",12940
"DUP",89134
"DUP",63042
"DUP",35131
"DUP",3383
"DUP",42819
"DUP",10498
"DUP",42859
"DUP",16920
"DUP",57561
"DUP",4981
"DUP",17394
"DUP",54991
"DUP",44752
"DUP",85327
"DUP",7365
"DUP",24015
"DUP",4529
"DUP",6195
"DUP",11481
"DUP",49129
"DUP",23706
"DUP",229434
"DUP",14201
"DUP",13070
"DUP",13213
"DUP",24726
"DUP",38786
"DUP",18047
"DUP",68380
"DUP",36697
"DUP",79626
"DUP",9816
"DUP",39136
"DUP",75315
"DUP",33576
"DUP",17302
"DUP",39217
"DUP",21805
"DUP",213014
"DUP",50545
"DUP",17847
"DUP",57232
"DUP",37193
"DUP",18199
"DUP",66176
"DUP",56554
"DUP",108089
"DUP",16094
"DUP",6715
"DUP",71405
"DUP",41026
"DUP",9059
"DUP",24816
"DUP",14324
"DUP",12733
"DUP",12178
"DUP",28562
"DUP",4316
"DUP",56351
"DUP",31664
"DUP",10626
"DUP",20134
"DUP",34437
"DUP",64169
"DUP",65417
"DUP",13002
"DUP",24307
"DUP",11372
"DUP",23628
"DUP",9512
"DUP",5605
"DUP",18108
"DUP",25253
"DUP",55647
"DUP",9149
"DUP",15981
"DUP",11493
"DUP",35935
"DUP",5497
"DUP",24455
"DUP",45166
"DUP",41108
"DUP",24855
"DUP",30754
"DUP",69719
"DUP",17171
"DUP",95380
"DUP",36782
"DUP",43725
"DUP",54889
"DUP",12226
"DUP",9764
"DUP",26714
"DUP",19708
"DUP",4441
"DUP",17502
"DUP",57821
"DUP",37773
"DUP",28460
"DUP",31381
"DUP",20648
"DUP",19779
"DUP",8242
"DUP",19042
"DUP",66081
"DUP",41436
"DUP",3774
"DUP",41257
"DUP",17074
"DUP",73402
"DUP",12616
"DUP",13548
"DUP",20084
"DUP",16658
"DUP",26222
"DUP",8888
"DUP",29509
"DUP",30480
"DUP",8485
"DUP",10934
"DUP",2577
"DUP",61777
"DUP",58524
"DUP",28105
"DUP",12241
"DUP",29825
"DUP",53277
"DUP",28032
"DUP",29961
"DUP",9187
"DUP",27514
"DUP",8985
"DUP",37698
"INV",42686
"INV",679942
"INV",738169
"INV",284321
"INV",1490813
"INV",176521
"INV",4636812
"INV",158480
"INV",175202
"INV",82169
"INV",127425
"INV",978492
"INV",1036260
"INV",78649
"INV",331388
"INV",1392236
"INV",94958
"INV",229999
"INV",4504092
"INV",474748
"INV",433710
"INV",587692
"INV",1827471
"INV",541741
"INV",249777
"INV",761751
"INV",950695
"INV",300704
"INV",6940366
"INV",4279815
"INV",1989799
"INV",2337175
"INV",910220
"INV",1926665
"INV",892080
"INV",244596
"INV",4140149
"INV",687781
"INV",314800
"INV",1480688
"INV",89327
"INV",1922044
"INV",3469305
"INV",764681
"INV",256635
"INV",124033
"INV",287736
"INV",576004
"INV",1142370
"INV",1250521
"INV",1239310
"INV",153862
"INV",212686
"INV",309069
"INV",589393
"INV",3267533
"INV",1483379
"INV",1665852
"INV",438584
"INV",1234851
"INV",332299
"INV",37992
"INV",136175
"INV",511980
"INV",736879
"INV",290147
"INV",162370
"INV",1931914
"INV",283558
"INV",2462721
"INV",391227
"INV",442892
"INV",215475
"INV",340286
"INV",1114800
"INV",111233
"INV",599906
"INV",527553
"INV",244275
"INV",2754767
"INV",1115504
"INV",331588
"INV",642566
"INV",414057
"INV",322237
"INV",276628
"INV",3651629
"INV",1768415
"INV",507543
"INV",1214833
"INV",2907672
"INV",140235
"INV",119581
"INV",144924
"INV",2562487
"INV",333447
"INV",1137427
"INV",101246
"INV",260319
"INV",179359
"INV",725114
"INV",363641
"INV",510365
"INV",461949
"INV",346928
"INV",379118
"INV",142657
"INV",1359592
"INV",5316895
"INV",177739
"INV",1263677
"INV",1856093
"INV",412971
"INV",229492
"INV",90188
"INV",401431
"INV",112406
"INV",302290
"INV",5791676
"INV",3134650
"INV",367958
"INV",617863
"INV",92458
"INV",8516023
"INV",91426
"INV",1190547
"INV",1022317
"INV",1861708
"INV",94170
"INV",1659017
"INV",376115
"INV",1342813
"INV",265319
"INV",333834
"INV",597254
"INV",3611387
"INV",3608720
"INV",28871
"INV",44022
"INV",71955
"INV",438275
"INV",898508
"INV",1470420
"INV",849332
"INV",308632
"INV",1204462
"INV",991180
"INV",45197
"INV",1005091
"INV",787313
"INV",576622
"INV",1374537
"INV",173247
"INV",882155
"INV",2737046
"INV",146709
"INV",115957
"INV",666262
"INV",467346
"INV",1726107
"INV",472889
"INV",797970
"INV",3519492
"INV",250123
"INV",280470
"INV",547464
"INV",109739
"INV",102939
"INV",2236835
"INV",665087
"INV",91831
"INV",179924
"INV",222589
"INV",266931
"INV",544881
"INV",450641
"INV",8449113
"INV",644575
"INV",491984
"INV",470350
"INV",420184
"INV",2184324
"INV",266283
"INV",258630
"INV",248128
"INV",63946
"INV",2034505
"INV",1685123
"INV",1083556
"INV",319551
"INV",223847
"INV",785475
"INV",223321
"INV",956142
"INV",336471
"INV",108521
"INV",1126886
"INV",317451
"INV",2067331
"INV",66641
"INV",1030852
"INV",456600
"INV",473404
"INV",762033
"INV",891425
"INV",278335
"INV",554700
"INV",317888
"INV",168448
"INV",1206876
"INV",12137625
"INV",106911
"INV",287195
"INV",46907
"INV",437268
"INV",159254
"INV",1452110
"INV",142377
"INV",102817
"INV",338308
"INV",434262
"INV",200121
"INV",244822
"INV",113203
"INV",446248
"INV",289222
"INV",142624
"INV",47969
"INV",223329
"INV",2909666
"INV",783910
"INV",471283
"INV",406997
"INV",547531
"INV",1453399
"INV",133388
"INV",15155967
"INV",376038
"INV",739307
"INV",658223
"INV",501345
"INV",789561
"INV",798712
"INV",567853
"INV",590485
"INV",506309
"INV",1772604
"INV",58864
"INV",263566
"INV",837988
"INV",203036
"INV",380087
"INV",1400707
"INV",78054
"INV",195003
"INV",2189636
"INV",1068352
"INV",176647
"INV",490949
"INV",1602131
"INV",762044
"INV",3634288
"INV",1592116
"INV",2178514
"INV",117245
"INV",61468
"INV",311756
"INV",735981
"INV",534789
"INV",706340
"INV",365009
"INV",480989
"INV",396781
"INV",872742
"INV",73299
"INV",2191620
"INV",748056
"INV",96216
"INV",428010
"INV",1688745
"INV",666373
"INV",322546
"INV",765378
"INV",535087
"INV",131474
"INV",407675
"INV",1605965
"INV",291560
"INV",414271
"INV",531440
"INV",77151
"INV",384845
"INV",250343
"INV",590464
"INV",205234
"INV",411239
"INV",137619
"INV",1126590
"INV",1309883
"INV",173966
"INV",294213
"INV",158090
"INV",1318853
"INV",635529
"INV",92117
"INV",3404708
"INV",643993
"INV",448486
"INV",272594
"INV",849305
"INV",758529
"INV",886587
"INV",1129830
"INV",271762
"INV",711994
"INV",452718
"INV",630486
"INV",594440
"INV",470784
"INV",1533042
"INV",309663
"INV",268096
"INV",384641
"INV",3508321
"INV",420585
"INV",230339
"INV",573449
"INV",385557
"INV",196213
"INV",295009
"INV",2787367
"INV",135349
"INV",342599
"INV",236320
"INV",201859
"INV",219741
"INV",147780
"INV",301603
"INV",1168273
"INV",475852
"INV",551212
"INV",191093
"INV",1464357
"INV",183070
"INV",346840
"INV",148641
"INV",196013
"INV",126092
"INV",2004764
"INV",349355
"INV",1304435
"INV",1221509
"INV",2324889
"INV",150329
"INV",163067
"INV",64526
"INV",837787
"INV",1477269
"INV",149450
"INV",535832
"INV",2258812
"INV",360502
"INV",2709646
"INV",1044720
"INV",3336264
"INV",524219
"INV",641031
"INV",197762
"INV",168841
"INV",249441
"INV",2947106
"INV",409725
"INV",2845553
"INV",650937
"INV",2005545
"INV",112363
"INV",1230145
"INV",275950
"INV",484703
"INV",347842
"INV",296267
"INV",164747
"INV",3561074
"INV",654908
"INV",8562027
"INV",285957
"INV",1120348
"INV",634690
"INV",62770
"INV",105219
"INV",166422
"INV",798729
"INV",172217
"INV",646331
"INV",219782
"INV",242425
"INV",720773
"INV",416672
"INV",288715
"INV",1628869
