item,group,axis,value
I33,Batch-C,Yield,87.534
I34,Batch-C,Biomass,3.333
I34,Batch-C,Purity,0.735
I34,Batch-C,Stability,0.516
I34,Batch-C,Cost,55.608
I34,Batch-C,Time,13.457
I34,Batch-C,Yield,79.937
I35,Batch-C,Biomass,3.211
I35,Batch-C,Purity,0.752
I35,Batch-C,Stability,0.506
I35,Batch-C,Cost,54.77
I35,Batch-C,Time,16.306
I35,Batch-C,Yield,72.39
I36,Batch-C,Biomass,3.215
I36,Batch-C,Purity,0.708
I36,Batch-C,Stability,0.627
I36,Batch-C,Cost,59.745
I36,Batch-C,Time,14.982
I36,Batch-C,Yield,83.933
I37,Batch-C,Biomass,3.092
I37,Batch-C,Purity,0.744
I37,Batch-C,Stability,0.561
I37,Batch-C,Cost,51.583
I37,Batch-C,Time,14.658
I37,Batch-C,Yield,83.571
I38,Batch-C,Biomass,3.227
I38,Batch-C,Purity,0.714
I38,Batch-C,Stability,0.595
I38,Batch-C,Cost,55.645
I38,Batch-C,Time,14.631
I38,Batch-C,Yield,83.717
I39,Batch-C,Biomass,3.263
I39,Batch-C,Purity,0.73
I39,Batch-C,Stability,0.568
I39,Batch-C,Cost,53.877
I39,Batch-C,Time,14.64
I39,Batch-C,Yield,80.261
I40,Batch-C,Biomass,3.123
I40,Batch-C,Purity,0.724
I40,Batch-C,Stability,0.538
I40,Batch-C,Cost,54.598
I40,Batch-C,Time,14.357
I40,Batch-C,Yield,88.563
