"row","col","value","size"
"B cell","P11",-0.636177438283674,0.588421050204921
"Plasma","P11",-1.37551191660264,0.144169593639691
"Mono","P11",-0.772081069927317,0.65809222850299
"Macro","P11",2.13453257603628,0.650514874846444
"cDC","P11",-0.729997043313497,0.158989486456279
"pDC","P11",-0.652447239495705,0.496396863794672
"Neutro","P11",-1.96508748933177,0.32137964152078
"Mast","P11",-1.4771585728947,0.218494198616668
"Fibro","P11",0.915383222359936,0.159773732838458
"Endo","P11",0.290726421349337,0.239003310720053
"Pericyte","P11",-2.02115536329621,0.170044568439885
"Epi","P11",0.554267303965371,0.468341575786626
"Malig","P11",-0.073925337913471,0.0598770439279125
"Keratin","P11",-2.27183023154749,0.625050691289721
"Melano","P11",-0.517809400851268,0.632823470541211
"Schwann","P11",0.0465479866441015,0.391573287680662
"CD4 T","P12",-0.961105165576036,0.0920551869803735
"CD8 T","P12",0.395079564666353,0.584443084297804
"Treg","P12",-0.452248262365811,0.0406735674436706
"NK","P12",-0.328589596945636,0.281114447829341
"B cell","P12",0.114638730590436,0.218384512864392
"Plasma","P12",1.33503200331202,0.751945383675345
"Mono","P12",0.311929554978098,0.461195941520561
"Macro","P12",1.74773219834691,0.735405868797002
"cDC","P12",-2.77921281957468,0.064462125940243
"pDC","P12",-0.962435391468508,0.30472837684465
"Neutro","P12",-0.135782802305761,0.426440139582194
"Mast","P12",-0.33225047090029,0.222747240146874
"Fibro","P12",-0.896093640612917,0.439729493530854
"Endo","P12",0.537066750367573,0.640747439413018
"Pericyte","P12",-1.24817526147062,0.122966389453124
"Epi","P12",1.4414696468344,0.296217853860561
"Malig","P12",-1.39930458660164,0.53345172945205
"Keratin","P12",0.485032207562593,0.192477599390709
"Melano","P12",-0.98366627769835,0.0500804547489627
"Schwann","P12",-1.48693537557278,0.0907138688146178
