"row","col","Lymphoid","Myeloid","Stromal","size"
"Mast","P02",0.422011501917512,0.521216836429962,0.056771661652526,0.262334212812136
"Fibro","P02",0.605661369878236,0.376785921837597,0.017552708284167,0.884798464424934
"Endo","P02",0.448054910048959,0.262477118843577,0.289467971107464,0.40856547514596
"Pericyte","P02",0.10250350131916,0.754123037632491,0.143373461048349,0.054113208673603
"Epi","P02",0.234073030684844,0.658563312769021,0.107363656546135,0.693660754306551
"Malig","P02",0.236932716925364,0.52059854637619,0.242468736698446,0.526046471737025
"Keratin","P02",0.101244778394622,0.343531627996598,0.55522359360878,0.782019385827701
"Melano","P02",0.18772477041257,0.768798851796037,0.0434763777913929,0.627868005008512
"Schwann","P02",0.303348476554357,0.677334810020986,0.019316713424657,0.245795370034457
"CD4 T","P03",0.604517724317188,0.116187890227511,0.279294385455301,0.22645298283998
"CD8 T","P03",0.344902454645636,0.186570381437755,0.468527163916609,0.539984437495311
"Treg","P03",0.625280239005545,0.225790759554081,0.148929001440374,0.642885824262076
"NK","P03",0.678065664715495,0.0186812441988317,0.303253091085673,0.236129924522887
"B cell","P03",0.623263006359303,0.265161390991746,0.111575602648951,0.605059796237986
"Plasma","P03",0.373709574707653,0.369298678760898,0.256991746531449,0.646236963729582
"Mono","P03",0.636790731847733,0.231214862542303,0.131994405609965,0.550861514592528
"Macro","P03",0.141360985666123,0.845607472791859,0.0130315415420176,0.454726747613313
"cDC","P03",0.614062595841132,0.370258990156609,0.0156784140022584,0.0923261615681552
"pDC","P03",0.412107778924863,0.506729404666034,0.0811628164091025,0.412842572303221
"Neutro","P03",0.872195812885544,0.112825146284102,0.0149790408303544,0.244101125755758
"Mast","P03",0.491635130141895,0.380015415901928,0.128349453956177,0.503143481461026
"Fibro","P03",0.486751753712049,0.466840659166437,0.0464075871215143,0.0660489474915026
"Endo","P03",0.146507711522178,0.68634611145612,0.167146177021702,0.33549868981897
"Pericyte","P03",0.514717753324038,0.383472867755268,0.101809378920694,0.571212192844523
"Epi","P03",0.130436522310456,0.20834099195233,0.661222485737214,0.335343390863737
"Malig","P03",0.0455053061042848,0.0972512680656926,0.857243425830023,0.0483558225421874
"Keratin","P03",0.487159790269525,0.432874186295091,0.0799660234353842,0.47747732550261
"Melano","P03",0.682617055735149,0.266481938011267,0.0509010062535846,0.221876499131163
"Schwann","P03",0.407373136466396,0.417458187020359,0.175168676513245,0.269983078825452
"CD4 T","P04",0.676417272907953,0.250784146759281,0.0727985803327665,0.103968754529436
"CD8 T","P04",0.467659099060609,0.0913374540825232,0.441003446856868,0.614672862997941
"Treg","P04",0.741048842251365,0.141843866111369,0.117107291637266,0.374406516540545
"NK","P04",0.852615431837748,0.0507566803461299,0.0966278878161223,0.471807159889202
"B cell","P04",0.38861811906624,0.199144984266927,0.412236896666833,0.35627826619805
"Plasma","P04",0.580288003738151,0.208644848138322,0.211067148123526,0.160192957181788
"Mono","P04",0.50213586307037,0.444558457920026,0.0533056790096037,0.149011292698935
"Macro","P04",0.848398234187624,0.0265139652011561,0.12508780061122,0.451212659059707
"cDC","P04",0.219703785217903,0.308238133216964,0.472058081565132,0.598835590095407
"pDC","P04",0.176004008145375,0.087171879501099,0.736824112353526,0.231217955904068
"Neutro","P04",0.571820058345014,0.20507618239084,0.223103759264146,0.677991962412564
"Mast","P04",0.120724586210774,0.237859768495845,0.641415645293382,0.291356070744465
"Fibro","P04",0.516322054897001,0.482011631005594,0.00166631409740488,0.2148945367837
"Endo","P04",0.318970739852717,0.665720220487093,0.0153090396601905,0.247922248078734
"Pericyte","P04",0.514988403280145,0.0555628677764374,0.429448728943418,0.608597109054383
"Epi","P04",0.538735820812131,0.23491530907192,0.226348870115949,0.802944955910381
"Malig","P04",0.190541337526468,0.049938835415803,0.759519827057729,0.127641991623489
"Keratin","P04",0.0566016393441382,0.118461400811816,0.824936959844046,0.123641127312334
"Melano","P04",0.362986643654681,0.595877436568001,0.0411359197773177,0.376733090455643
"Schwann","P04",0.127798468482353,0.307358190106421,0.564843341411226,0.128746614687751
"CD4 T","P05",0.729539272158917,0.164380608918056,0.106080118923028,0.135424398282783
"CD8 T","P05",0.0861688220279231,0.705966244667531,0.207864933304546,0.0772305432914819
"Treg","P05",0.405365169431919,0.163202319031731,0.43143251153635,0.414188664063954
"NK","P05",0.335664258853525,0.554153368513012,0.110182372633463,0.375446187811061
"B cell","P05",0.51155693442708,0.0226764990221849,0.465766566550736,0.233474418902818
"Plasma","P05",0.364123317836534,0.589644489284644,0.0462321928788223,0.217986994615779
"Mono","P05",0.524477537590311,0.472703753619916,0.00281870878977368,0.524021625071217
"Macro","P05",0.736158066543413,0.0363187308261559,0.227523202630431,0.118643268548975
"cDC","P05",0.518923565099147,0.221411014891287,0.259665420009566,0.611205346828709
"pDC","P05",0.489836062388792,0.407541822438631,0.102622115172578,0.258567775164234
"Neutro","P05",0.639799658059039,0.263922357979367,0.0962779839615934,0.676514450226208
"Mast","P05",0.55437369251509,0.0950435425470178,0.350582764937892,0.494045474005196
"Fibro","P05",0.357525328419935,0.196304502641032,0.446170168939034,0.0697304549246184
"Endo","P05",0.381893465322706,0.546872244696781,0.0712342899805126,0.662304839771463
"Pericyte","P05",0.132025066405513,0.241641521253772,0.626333412340715,0.425038231889463
"Epi","P05",0.345794536982942,0.369398564127301,0.284806898889757,0.164274877502023
"Malig","P05",0.417234377611122,0.543581461362815,0.0391841610260631,0.692376450831782
"Keratin","P05",0.258651069782727,0.646067907336205,0.0952810228810682,0.330953240660182
"Melano","P05",0.243752350019573,0.434852490211675,0.321395159768752,0.245774808493766
"Schwann","P05",0.502537971870589,0.359560730827465,0.137901297301946,0.354774020946664
"CD4 T","P06",0.259711108532501,0.614534147772556,0.125754743694942,0.0976151017742408
"CD8 T","P06",0.378474444272447,0.521060997524949,0.100464558202604,0.260987713783384
"Treg","P06",0.227015990926603,0.539850826641853,0.233133182431544,0.383168377707694
"NK","P06",0.413518033026799,0.107589108133456,0.478892858839746,0.93264566008119
"B cell","P06",0.804680811271878,0.0955268912395959,0.0997922974885265,0.160972130819898
"Plasma","P06",0.238255062136191,0.530106089951821,0.231638847911988,0.743399504497355
"Mono","P06",0.479799970757193,0.161415216530164,0.358784812712643,0.481382866449316
"Macro","P06",0.519829207016705,0.260172684893588,0.219998108089707,0.745740982781301
"cDC","P06",0.797709799499782,0.026115289649923,0.176174910850295,0.849225488066593
"pDC","P06",0.847814105377407,0.066887868539007,0.0852980260835855,0.682015027038343
"Neutro","P06",0.393367390125538,0.41665148885153,0.189981121022932,0.18072232812248
"Mast","P06",0.664617176712103,0.302422024741818,0.0329607985460791,0.257356566429327
"Fibro","P06",0.510611646280627,0.486803758797678,0.00258459492169397,0.366219508935502
"Endo","P06",0.115208172007044,0.153101838381701,0.731689989611255,0.375767163251117
"Pericyte","P06",0.132922763213229,0.50815547771467,0.3589217590721,0.651002318101057
"Epi","P06",0.646216390954136,0.337897086905911,0.0158865221399533,0.0953890787352577
"Malig","P06",0.323773549149838,0.53510072363516,0.141125727215001,0.536551194677797
"Keratin","P06",0.422633903583965,0.548249303179971,0.029116793236064,0.172547721779724
"Melano","P06",0.575861245579089,0.0579842622799273,0.366154492140983,0.693979892745187
"Schwann","P06",0.194036511064984,0.23571897663713,0.570244512297886,0.571967908835671
"CD4 T","P07",0.645453097106069,0.221389801333632,0.133157101560299,0.235225336210498
"CD8 T","P07",0.808690181279342,0.061539929442462,0.129769889278196,0.789884881106341
"Treg","P07",0.384068128259442,0.211115353491557,0.404816518249001,0.391239893140791
"NK","P07",0.455097265811647,0.54324381790776,0.00165891628059282,0.628810074359039
"B cell","P07",0.829741546517519,0.153735295046531,0.0165231584359496,0.505949986117682
"Plasma","P07",0.591358144766866,0.276063534901448,0.132578320331686,0.705282168880125
"Mono","P07",0.12183961792323,0.382374113233135,0.495786268843635,0.486368622306477
"Macro","P07",0.826595822630373,0.0638199214330261,0.109584255936601,0.579334596243834
"cDC","P07",0.116838913240907,0.246471166069691,0.636689920689402,0.0471261574270501
"pDC","P07",0.532657137114082,0.167903109164078,0.29943975372184,0.333011910231481
"Neutro","P07",0.138795539231469,0.453616377329229,0.407588083439302,0.841275969093498
"Mast","P07",0.437458400022342,0.397104010646119,0.165437589331539,0.73262535770623
"Fibro","P07",0.267549395701094,0.595345053161527,0.137105551137379,0.18862617104304
"Endo","P07",0.67847808686804,0.311395019142589,0.0101268939893716,0.0148814072920443
"Pericyte","P07",0.254555217700675,0.23445947550921,0.510985306790115,0.0453177822560649
"Epi","P07",0.799309106984544,0.0245694499676986,0.176121443047757,0.302538161734057
"Malig","P07",0.474483462530433,0.193314981835136,0.332201555634431,0.724768327900064
"Keratin","P07",0.400107052706469,0.50166570837821,0.0982272389153206,0.218220502402969
"Melano","P07",0.564749293075235,0.0789250979645081,0.356325608960257,0.426068588012861
"Schwann","P07",0.552646885182459,0.0133113005152842,0.434041814302257,0.678538846603297
"CD4 T","P08",0.307568307594274,0.176733692339326,0.515698000066401,0.614836453585468
"CD8 T","P08",0.296711409126049,0.461333108957223,0.241955481916728,0.19470920220478
"Treg","P08",0.20562347899032,0.750114449949779,0.0442620710599003,0.189096164404038
"NK","P08",0.293075487113769,0.455836939252825,0.251087573633406,0.388552641768829
"B cell","P08",0.448294097432794,0.510994340352679,0.0407115622145273,0.413707838714257
"Plasma","P08",0.115676478324316,0.56000515001991,0.324318371655774,0.555751207429098
"Mono","P08",0.215480904640616,0.275634167929923,0.508884927429462,0.464631680513507
"Macro","P08",0.852706382434834,0.112771098440177,0.0345225191249892,0.130408570285514
"cDC","P08",0.165901463595379,0.445379037339838,0.388719499064783,0.400508129466312
"pDC","P08",0.146674036125071,0.617371108709853,0.235954855165076,0.422166329942867
"Neutro","P08",0.0762521325515481,0.128959737438589,0.794788130009863,0.135107141618522
"Mast","P08",0.219609922064513,0.727228654318008,0.0531614236174789,0.2781499534984
"Fibro","P08",0.728464756208248,0.260856233651915,0.0106790101398369,0.500445630020224
"Endo","P08",0.776933904181096,0.219939641385165,0.0031264544337392,0.322956420790719
"Pericyte","P08",0.45855442209,0.114032460683903,0.427413117226096,0.692694907643449
"Epi","P08",0.736783335807913,0.261009007327121,0.00220765686496626,0.450116762663713
"Malig","P08",0.168401056069281,0.826024998343048,0.00557394558767153,0.153597953070886
"Keratin","P08",0.128269880818366,0.0217283530425019,0.850001766139132,0.20343194012836
"Melano","P08",0.630245661966362,0.335897190473665,0.0338571475599732,0.159408755235074
"Schwann","P08",0.372591117776203,0.392798871560417,0.23461001066338,0.671957573389415
"CD4 T","P09",0.693576085701888,0.213240121876486,0.0931837924216262,0.598605969220638
"CD8 T","P09",0.488370843705162,0.152849391433967,0.358779764860871,0.452084944906242
"Treg","P09",0.65654825995532,0.0756622666202265,0.267789473424453,0.281962095753961
"NK","P09",0.443564084320165,0.263520837993989,0.292915077685846,0.119322408773048
"B cell","P09",0.442856814694026,0.536080665283157,0.0210625200228167,0.7069114005031
"Plasma","P09",0.417257230659628,0.53388800465347,0.0488547646869017,0.705934700074881
"Mono","P09",0.739762268454233,0.132261583568996,0.127976147976771,0.400751041945889
"Macro","P09",0.298516861908358,0.25072321809014,0.450759920001502,0.289553462150893
"cDC","P09",0.358621035025688,0.0851688155476922,0.55621014942662,0.138895350010313
"pDC","P09",0.043278597424533,0.869421650855047,0.0872997517204205,0.391650205228972
"Neutro","P09",0.0829248889405273,0.106673288773064,0.810401822286409,0.06376691543119
"Mast","P09",0.39062855528631,0.426627191002217,0.182744253711473,0.465947760841822
"Fibro","P09",0.244951574450895,0.322277311996644,0.432771113552461,0.0525103008028046
"Endo","P09",0.496650723915404,0.123472223949238,0.379877052135357,0.647106010175501
"Pericyte","P09",0.258208003978434,0.437228231953707,0.304563764067859,0.768380328850392
"Epi","P09",0.253173337532026,0.740710290627131,0.0061163718408431,0.705865819563648
"Malig","P09",0.927728988239516,0.0610875377618945,0.0111834739985892,0.116129462408012
"Keratin","P09",0.726250851762529,0.0877796874183249,0.185969460819147,0.162851960232443
"Melano","P09",0.371536454782637,0.579383859747357,0.0490796854700051,0.203524577473012
"Schwann","P09",0.168452987463298,0.218655715046379,0.612891297490323,0.473099785294983
"CD4 T","P10",0.814471881178737,0.149117286191705,0.0364108326295579,0.0941909308871166
"CD8 T","P10",0.367925996189603,0.296107749923894,0.335966253886503,0.710790554388085
"Treg","P10",0.360151380804592,0.475755090917099,0.164093528278309,0.674317885958984
"NK","P10",0.191544284450485,0.275135396061426,0.533320319488088,0.609732876076571
"B cell","P10",0.304761728782552,0.537152977783457,0.158085293433991,0.648278684408166
"Plasma","P10",0.797408894363565,0.184363999066772,0.0182271065696625,0.06218445449977
"Mono","P10",0.307566837119613,0.167521794173566,0.52491136870682,0.183671269592681
"Macro","P10",0.572700919440565,0.15475378680501,0.272545293754425,0.27684217786611
"cDC","P10",0.220858425733836,0.175347426846842,0.603794147419322,0.563087195627375
"pDC","P10",0.259528618605315,0.520148886381636,0.220322495013049,0.155590982762582
"Neutro","P10",0.444189305279004,0.448544800447407,0.107265894273589,0.309563328906792
"Mast","P10",0.671381922182402,0.18509939719999,0.143518680617608,0.165416458460689
"Fibro","P10",0.618580480229744,0.315554009056119,0.0658655107141377,0.370005261846099
"Endo","P10",0.834809931103579,0.152470745545552,0.012719323350869,0.121975839798802
"Pericyte","P10",0.558316031033176,0.0493960591318131,0.392287909835011,0.59210820877787
"Epi","P10",0.886897666292044,0.0945801762299434,0.0185221574780125,0.78145445098849
"Malig","P10",0.330596451078887,0.328496723987873,0.34090682493324,0.54990631823056
"Keratin","P10",0.264606725693818,0.652912342663479,0.0824809316427032,0.227991142477995
"Melano","P10",0.221139200210525,0.24332357911391,0.535537220675564,0.431625366536335
"Schwann","P10",0.617137324130065,0.231743060341262,0.151119615528673,0.472142998971184
"CD4 T","P11",0.424135513148757,0.123916585042742,0.451947901808501,0.0563082316727073
"CD8 T","P11",0.0716261016839077,0.730346555900328,0.198027342415764,0.630944374669383
"Treg","P11",0.496755249312105,0.29093436385495,0.212310386832945,0.648015443207975
"NK","P11",0.497000754718946,0.26673207164354,0.236267173637514,0.225333207168985
"B cell","P11",0.22070432559711,0.127871697934602,0.651423976468288,0.588421050204921
"Plasma","P11",0.41311739205453,0.256625552254451,0.33025705569102,0.144169593639691
"Mono","P11",0.119598631272363,0.704509849606923,0.175891519120713,0.65809222850299
"Macro","P11",0.393192896489028,0.544587441247027,0.0622196622639447,0.650514874846444
"cDC","P11",0.561721057052066,0.159755523102298,0.278523419845636,0.158989486456279
"pDC","P11",0.350859124990374,0.625336354122959,0.0238045208866664,0.496396863794672
"Neutro","P11",0.287282460090112,0.694261021885288,0.0184565180245996,0.32137964152078
"Mast","P11",0.735574290132137,0.177123478755367,0.0873022311124957,0.218494198616668
"Fibro","P11",0.159432211619845,0.413632630223067,0.426935158157088,0.159773732838458
"Endo","P11",0.707664659492511,0.234994082352797,0.0573412581546925,0.239003310720053
"Pericyte","P11",0.0722632831512061,0.248769448019585,0.678967268829209,0.170044568439885
"Epi","P11",0.473880736340869,0.299125189210187,0.226994074448944,0.468341575786626
"Malig","P11",0.120760775381541,0.339637605858758,0.539601618759701,0.0598770439279125
"Keratin","P11",0.467568820616476,0.46711150211406,0.0653196772694644,0.625050691289721
"Melano","P11",0.773142176768964,0.121163599260464,0.105694223970571,0.632823470541211
"Schwann","P11",0.304930356109369,0.20705094653736,0.488018697353271,0.391573287680662
"CD4 T","P12",0.625221351088491,0.267609695908333,0.107168953003176,0.0920551869803735
"CD8 T","P12",0.37100633409399,0.373125505505319,0.255868160400691,0.584443084297804
"Treg","P12",0.651294074973906,0.0702287099324107,0.278477215093683,0.0406735674436706
"NK","P12",0.313371586984165,0.634799690517781,0.0518287224980536,0.281114447829341
"B cell","P12",0.65200106922987,0.246123284973598,0.101875645796531,0.218384512864392
"Plasma","P12",0.518537568337093,0.405324886476063,0.0761375451868443,0.751945383675345
"Mono","P12",0.641749179064837,0.316210683549369,0.0420401373857946,0.461195941520561
"Macro","P12",0.50040564167946,0.0109565317485571,0.488637826571983,0.735405868797002
"cDC","P12",0.747282928757273,0.212623592993842,0.0400934782488847,0.064462125940243
"pDC","P12",0.570380621762829,0.397478452922736,0.0321409253144352,0.30472837684465
"Neutro","P12",0.847639350034175,0.0208516069798269,0.131509042985998,0.426440139582194
"Mast","P12",0.109883601206195,0.302320931462672,0.587795467331133,0.222747240146874
"Fibro","P12",0.0399120097871486,0.512323471726548,0.447764518486303,0.439729493530854
"Endo","P12",0.422467616282319,0.0237800796834457,0.553752304034235,0.640747439413018
"Pericyte","P12",0.51281715124351,0.0991596760182379,0.388023172738252,0.122966389453124
"Epi","P12",0.144058016526465,0.7261505712282,0.129791412245335,0.296217853860561
"Malig","P12",0.383852948157462,0.455141284217348,0.161005767625191,0.53345172945205
"Keratin","P12",0.436098124441272,0.517555600697316,0.0463462748614123,0.192477599390709
"Melano","P12",0.193632779582449,0.561159270811448,0.245207949606103,0.0500804547489627
"Schwann","P12",0.33858484906572,0.337046506656675,0.324368644277605,0.0907138688146178
