"pop","kind","length_mb"
"Wild N","IBD",0.72
"Wild N","IBD",1.09
"Wild N","IBD",0.927
"Wild N","IBD",0.732
"Wild N","IBD",0.54
"Wild N","IBD",0.986
"Wild N","IBD",0.76
"Wild N","IBD",1.532
"Wild N","IBD",0.286
"Wild N","IBD",1.455
"Wild N","IBD",1.687
"Wild N","IBD",0.984
"Wild N","IBD",0.338
"Wild N","IBD",1.11
"Wild N","IBD",0.606
"Wild N","IBD",0.624
"Wild N","IBD",0.938
"Wild N","IBD",0.8
"Wild N","IBD",2.254
"Wild N","IBD",0.421
"Wild N","IBD",1.329
"Wild N","IBD",0.434
"Wild N","IBD",0.468
"Wild N","IBD",0.931
"Wild N","IBD",1.445
"Wild N","IBD",0.695
"Wild N","IBD",1.092
"Wild N","IBD",1.197
"Wild N","IBD",0.847
"Wild N","IBD",0.537
"Wild N","IBD",0.265
"Wild N","IBD",0.592
"Wild N","IBD",2.591
"Wild N","IBD",0.32
"Wild N","IBD",0.508
"Wild N","IBD",1.389
"Wild N","IBD",1.196
"Wild N","IBD",0.806
"Wild N","IBD",0.531
"Wild N","IBD",0.529
"Wild N","IBD",1.48
"Wild N","IBD",0.431
"Wild N","IBD",0.506
"Wild N","IBD",0.68
"Wild N","IBD",0.338
"Wild N","IBD",0.418
"Wild N","IBD",1.631
"Wild N","IBD",0.555
"Wild N","IBD",1.367
"Wild N","IBD",0.603
"Wild S","ROH",0.771
"Wild S","ROH",1.286
"Wild S","ROH",0.902
"Wild S","ROH",0.64
"Wild S","ROH",1.359
"Wild S","ROH",1.725
"Wild S","ROH",0.964
"Wild S","ROH",2.893
"Wild S","ROH",0.329
"Wild S","ROH",0.658
"Wild S","ROH",1.115
"Wild S","ROH",0.562
"Wild S","ROH",0.583
"Wild S","ROH",0.94
"Wild S","ROH",1.293
"Wild S","ROH",1.278
"Wild S","ROH",1.105
"Wild S","ROH",1.343
"Wild S","ROH",0.979
"Wild S","ROH",1.762
"Wild S","ROH",1.613
"Wild S","ROH",2.223
"Wild S","ROH",1.505
"Wild S","ROH",0.306
"Wild S","ROH",1.085
"Wild S","ROH",1.038
"Wild S","ROH",1.963
"Wild S","ROH",0.449
"Wild S","ROH",0.548
"Wild S","ROH",1.573
"Wild S","ROH",1.75
"Wild S","ROH",1.126
"Wild S","ROH",1.992
"Wild S","ROH",1.857
"Wild S","ROH",0.656
"Wild S","ROH",0.858
"Wild S","ROH",0.604
"Wild S","ROH",0.609
"Wild S","ROH",0.564
"Wild S","ROH",1.03
"Wild S","ROH",0.993
"Wild S","ROH",1.194
"Wild S","ROH",0.969
"Wild S","ROH",0.682
"Wild S","ROH",0.768
"Wild S","ROH",0.677
"Wild S","ROH",0.929
"Wild S","ROH",1.758
"Wild S","ROH",1.226
"Wild S","ROH",2.365
"Wild S","ROH",0.974
"Wild S","ROH",0.521
"Wild S","ROH",3.006
"Wild S","ROH",1.339
"Wild S","ROH",2.735
"Wild S","ROH",3.132
"Wild S","ROH",1.335
"Wild S","ROH",0.957
"Wild S","ROH",4.166
"Wild S","ROH",0.56
"Wild S","ROH",0.759
"Wild S","ROH",1.24
"Wild S","ROH",0.553
"Wild S","ROH",2.928
"Wild S","ROH",1.277
"Wild S","ROH",0.505
"Wild S","ROH",0.271
"Wild S","ROH",1.224
"Wild S","ROH",1.208
"Wild S","ROH",1.27
"Wild S","ROH",0.698
"Wild S","ROH",0.898
"Wild S","ROH",1.735
"Wild S","ROH",0.862
"Wild S","ROH",1.397
"Wild S","ROH",2.526
"Wild S","ROH",2.461
"Wild S","ROH",1.55
"Wild S","ROH",1.585
"Wild S","ROH",0.737
"Wild S","ROH",0.986
"Wild S","ROH",1.119
"Wild S","ROH",1.256
"Wild S","ROH",1.206
"Wild S","ROH",1.092
"Wild S","ROH",0.748
"Wild S","ROH",1.366
"Wild S","ROH",0.62
"Wild S","ROH",0.529
"Wild S","ROH",1.621
"Wild S","ROH",0.713
"Wild S","ROH",1.795
"Wild S","ROH",0.86
"Wild S","ROH",2.854
"Wild S","ROH",0.848
"Wild S","ROH",1.533
"Wild S","ROH",1.035
"Wild S","ROH",1.97
"Wild S","ROH",0.985
"Wild S","ROH",0.569
"Wild S","ROH",1.257
"Wild S","ROH",1.161
"Wild S","ROH",2.459
"Wild S","ROH",1.346
"Wild S","ROH",1.405
"Wild S","ROH",0.846
"Wild S","ROH",1.554
"Wild S","ROH",0.747
"Wild S","ROH",1.394
"Wild S","ROH",1.73
"Wild S","ROH",1.884
"Wild S","ROH",1.237
"Wild S","ROH",1.361
"Wild S","ROH",1.253
"Wild S","ROH",1.425
"Wild S","ROH",1.219
"Wild S","ROH",0.531
"Wild S","ROH",1.489
"Wild S","ROH",1.971
"Wild S","ROH",1.573
"Wild S","ROH",1.591
"Wild S","ROH",0.733
"Wild S","ROH",2.071
"Wild S","ROH",0.584
"Wild S","ROH",0.647
"Wild S","ROH",0.775
"Wild S","ROH",1.211
"Wild S","ROH",1.223
"Wild S","ROH",0.989
"Wild S","ROH",1.489
"Wild S","ROH",1.716
"Wild S","ROH",2.124
"Wild S","ROH",0.954
"Wild S","ROH",0.25
"Wild S","ROH",0.675
"Wild S","ROH",0.296
"Wild S","ROH",1.976
"Wild S","ROH",0.97
"Wild S","ROH",1.732
"Wild S","ROH",2.122
"Wild S","ROH",1.412
"Wild S","ROH",0.68
"Wild S","ROH",1.547
"Wild S","ROH",0.728
"Wild S","ROH",1.099
"Wild S","ROH",1.252
"Wild S","ROH",0.953
"Wild S","ROH",0.663
"Wild S","ROH",0.777
"Wild S","ROH",2.862
"Wild S","IBD",0.952
"Wild S","IBD",1.341
"Wild S","IBD",2.931
"Wild S","IBD",0.66
"Wild S","IBD",1.088
"Wild S","IBD",0.252
"Wild S","IBD",0.686
"Wild S","IBD",2.121
"Wild S","IBD",0.377
"Wild S","IBD",0.377
"Wild S","IBD",0.612
"Wild S","IBD",0.35
"Wild S","IBD",1.115
"Wild S","IBD",0.77
"Wild S","IBD",0.473
"Wild S","IBD",0.993
"Wild S","IBD",0.324
"Wild S","IBD",1.205
"Wild S","IBD",0.536
"Wild S","IBD",0.751
"Wild S","IBD",0.502
"Wild S","IBD",1.109
"Wild S","IBD",0.474
"Wild S","IBD",0.438
"Wild S","IBD",2.225
"Wild S","IBD",1.033
"Wild S","IBD",0.723
"Wild S","IBD",0.311
"Wild S","IBD",0.568
"Wild S","IBD",1.244
"Wild S","IBD",0.731
"Wild S","IBD",0.305
"Wild S","IBD",0.769
"Wild S","IBD",0.882
"Wild S","IBD",0.443
"Wild S","IBD",0.33
"Wild S","IBD",1.289
"Wild S","IBD",0.382
"Wild S","IBD",0.889
"Wild S","IBD",1.04
"Wild S","IBD",0.983
"Wild S","IBD",0.744
"Wild S","IBD",0.383
"Wild S","IBD",3.157
"Wild S","IBD",0.885
"Wild S","IBD",1.07
"Wild S","IBD",0.473
"Wild S","IBD",0.883
"Wild S","IBD",1.567
"Wild S","IBD",0.836
"Wild S","IBD",0.685
"Wild S","IBD",1.435
"Wild S","IBD",0.437
"Wild S","IBD",0.938
"Wild S","IBD",0.655
"Wild S","IBD",0.67
"Wild S","IBD",0.25
"Wild S","IBD",1.018
"Wild S","IBD",1.016
"Wild S","IBD",1.553
"Wild S","IBD",0.529
"Wild S","IBD",0.866
"Wild S","IBD",1.049
"Wild S","IBD",2.171
"Wild S","IBD",0.586
"Wild S","IBD",0.616
"Wild S","IBD",0.93
"Wild S","IBD",1.398
"Wild S","IBD",1.578
"Wild S","IBD",0.368
"Wild S","IBD",1.536
"Wild S","IBD",0.751
"Wild S","IBD",0.409
"Wild S","IBD",0.669
"Wild S","IBD",0.481
"Wild S","IBD",0.713
"Wild S","IBD",2.279
"Wild S","IBD",0.545
"Wild S","IBD",0.949
"Wild S","IBD",1.259
"Wild S","IBD",1.534
"Wild S","IBD",1.446
"Wild S","IBD",1.636
"Wild S","IBD",0.476
"Wild S","IBD",0.61
"Wild S","IBD",0.25
"Wild S","IBD",0.911
"Wild S","IBD",0.908
"Wild S","IBD",0.25
"Wild S","IBD",0.416
"Wild S","IBD",1.761
"Wild S","IBD",1.435
"Wild S","IBD",1.876
"Wild S","IBD",2.181
"Wild S","IBD",0.25
"Wild S","IBD",0.718
"Wild S","IBD",0.323
"Wild S","IBD",0.532
"Wild S","IBD",0.372
"Wild S","IBD",0.543
"Wild S","IBD",1.435
"Wild S","IBD",0.633
"Wild S","IBD",1.132
"Wild S","IBD",0.585
"Wild S","IBD",0.683
"Wild S","IBD",0.996
"Wild S","IBD",0.532
"Wild S","IBD",0.468
"Wild S","IBD",0.586
"Wild S","IBD",0.454
"Wild S","IBD",0.498
"Wild S","IBD",0.847
"Wild S","IBD",0.88
"Wild S","IBD",0.458
"Wild S","IBD",0.744
"Wild S","IBD",0.616
"Wild S","IBD",0.482
"Wild S","IBD",0.486
"Wild S","IBD",1.736
"Wild S","IBD",1.229
"Wild S","IBD",0.559
"Wild S","IBD",0.309
"Wild S","IBD",0.897
"Wild S","IBD",0.512
"Wild S","IBD",0.507
"Wild S","IBD",0.912
"Wild S","IBD",0.56
"Wild S","IBD",0.83
"Wild S","IBD",0.609
"Wild S","IBD",0.848
"Wild S","IBD",0.822
"Wild S","IBD",0.642
"Wild S","IBD",0.529
"Wild S","IBD",0.25
"Wild S","IBD",2.277
"Wild S","IBD",1.961
"Wild S","IBD",1.703
"Wild S","IBD",1.262
"Wild S","IBD",0.821
"Wild S","IBD",2.194
"Wild S","IBD",0.312
"Wild S","IBD",1.197
"Wild S","IBD",0.53
"Wild S","IBD",0.339
"Wild S","IBD",0.89
"Wild S","IBD",1.165
"Wild S","IBD",0.572
"Wild S","IBD",0.652
"Wild S","IBD",0.509
"Wild S","IBD",1.065
"Landrace E","ROH",1.18
"Landrace E","ROH",2.872
"Landrace E","ROH",1.628
"Landrace E","ROH",2.564
"Landrace E","ROH",0.977
"Landrace E","ROH",1.401
"Landrace E","ROH",1.08
"Landrace E","ROH",1.521
"Landrace E","ROH",0.871
"Landrace E","ROH",0.622
"Landrace E","ROH",7.825
"Landrace E","ROH",1.58
"Landrace E","ROH",1.361
"Landrace E","ROH",2.327
"Landrace E","ROH",2.457
"Landrace E","ROH",1.238
"Landrace E","ROH",1.331
"Landrace E","ROH",2.095
"Landrace E","ROH",1.103
"Landrace E","ROH",1.364
"Landrace E","ROH",2.363
"Landrace E","ROH",3.318
"Landrace E","ROH",1.588
"Landrace E","ROH",1.036
"Landrace E","ROH",0.924
"Landrace E","ROH",0.803
"Landrace E","ROH",3.112
"Landrace E","ROH",1.16
"Landrace E","ROH",2.343
"Landrace E","ROH",1.921
"Landrace E","ROH",1.34
"Landrace E","ROH",2.018
"Landrace E","ROH",0.918
"Landrace E","ROH",2.121
"Landrace E","ROH",1.864
"Landrace E","ROH",3.532
"Landrace E","ROH",3.159
"Landrace E","ROH",1.949
"Landrace E","ROH",1.499
"Landrace E","ROH",2.184
"Landrace E","ROH",1.418
"Landrace E","ROH",4.776
"Landrace E","ROH",3.097
"Landrace E","ROH",4.399
"Landrace E","ROH",1.08
"Landrace E","ROH",1.843
"Landrace E","ROH",1.787
"Landrace E","ROH",2.496
"Landrace E","ROH",2.659
"Landrace E","ROH",1.411
"Landrace E","ROH",1.139
"Landrace E","ROH",0.933
"Landrace E","ROH",3.243
"Landrace E","ROH",2.847
"Landrace E","ROH",0.889
"Landrace E","ROH",2.247
"Landrace E","ROH",3.048
"Landrace E","ROH",0.954
"Landrace E","ROH",1.349
"Landrace E","ROH",1.126
"Landrace E","ROH",2.454
"Landrace E","ROH",2.683
"Landrace E","ROH",3.838
"Landrace E","ROH",0.555
"Landrace E","ROH",3.493
"Landrace E","ROH",3.065
"Landrace E","ROH",2.419
"Landrace E","ROH",3.849
"Landrace E","ROH",0.865
"Landrace E","ROH",3.066
"Landrace E","ROH",1.08
"Landrace E","ROH",1.288
"Landrace E","ROH",1.038
"Landrace E","ROH",3.37
"Landrace E","ROH",0.493
"Landrace E","ROH",0.73
"Landrace E","ROH",1.594
"Landrace E","ROH",3.069
"Landrace E","ROH",1.74
"Landrace E","ROH",1.319
"Landrace E","ROH",0.985
"Landrace E","ROH",4.078
"Landrace E","ROH",0.666
"Landrace E","ROH",4.126
"Landrace E","ROH",4.22
"Landrace E","ROH",0.892
"Landrace E","ROH",1.419
"Landrace E","ROH",1.624
"Landrace E","ROH",2.435
"Landrace E","ROH",2.056
"Landrace E","ROH",1.99
"Landrace E","ROH",3.318
"Landrace E","ROH",1.381
"Landrace E","ROH",0.903
"Landrace E","ROH",3.962
"Landrace E","ROH",4.026
"Landrace E","ROH",1.397
"Landrace E","ROH",2.94
"Landrace E","ROH",4.372
"Landrace E","ROH",1.032
"Landrace E","ROH",1.387
"Landrace E","ROH",2.702
"Landrace E","ROH",1.409
"Landrace E","ROH",1.231
"Landrace E","ROH",3.212
"Landrace E","ROH",2.859
"Landrace E","ROH",1.541
"Landrace E","ROH",5.261
"Landrace E","ROH",1.84
"Landrace E","ROH",3.356
"Landrace E","ROH",2.141
"Landrace E","ROH",0.943
"Landrace E","ROH",1.289
"Landrace E","ROH",1.34
"Landrace E","ROH",1.097
"Landrace E","ROH",5.979
"Landrace E","ROH",2.857
"Landrace E","ROH",1.312
"Landrace E","ROH",0.951
"Landrace E","ROH",1.278
"Landrace E","ROH",1.331
"Landrace E","ROH",2.17
"Landrace E","ROH",1.023
"Landrace E","ROH",2.227
"Landrace E","ROH",2.029
"Landrace E","ROH",1.947
"Landrace E","ROH",1.174
"Landrace E","ROH",1.057
"Landrace E","ROH",1.3
"Landrace E","ROH",9.236
"Landrace E","ROH",0.786
"Landrace E","ROH",0.8
"Landrace E","ROH",2.745
"Landrace E","ROH",1.418
"Landrace E","ROH",2.459
"Landrace E","ROH",1.204
"Landrace E","ROH",0.862
"Landrace E","ROH",2.083
"Landrace E","ROH",1.852
"Landrace E","ROH",0.331
"Landrace E","ROH",5.068
"Landrace E","ROH",1.505
"Landrace E","ROH",2.032
"Landrace E","ROH",2.965
"Landrace E","ROH",2.496
"Landrace E","ROH",0.664
"Landrace E","ROH",2.41
"Landrace E","ROH",0.993
"Landrace E","ROH",2.029
"Landrace E","ROH",1.054
"Landrace E","IBD",0.936
"Landrace E","IBD",0.717
"Landrace E","IBD",2.063
"Landrace E","IBD",0.898
"Landrace E","IBD",0.619
"Landrace E","IBD",1.353
"Landrace E","IBD",1.276
"Landrace E","IBD",1.486
"Landrace E","IBD",2.179
"Landrace E","IBD",1.123
"Landrace E","IBD",1.751
"Landrace E","IBD",1.449
"Landrace E","IBD",1.134
"Landrace E","IBD",0.559
"Landrace E","IBD",1.413
"Landrace E","IBD",1.813
"Landrace E","IBD",0.894
"Landrace E","IBD",1.039
"Landrace E","IBD",1.242
"Landrace E","IBD",1.145
"Landrace E","IBD",0.489
"Landrace E","IBD",2.189
"Landrace E","IBD",1.378
"Landrace E","IBD",2.182
"Landrace E","IBD",1.101
"Landrace E","IBD",0.655
"Landrace E","IBD",0.435
"Landrace E","IBD",0.725
"Landrace E","IBD",0.878
"Landrace E","IBD",0.474
"Landrace E","IBD",0.48
"Landrace E","IBD",0.368
"Landrace E","IBD",0.516
"Landrace E","IBD",0.422
"Landrace E","IBD",0.671
"Landrace E","IBD",1.089
"Landrace E","IBD",1.047
"Landrace E","IBD",0.648
"Landrace E","IBD",0.909
"Landrace E","IBD",0.831
"Landrace E","IBD",1.327
"Landrace E","IBD",1.239
"Landrace E","IBD",1.557
"Landrace E","IBD",1.429
"Landrace E","IBD",1.389
"Landrace E","IBD",0.92
"Landrace E","IBD",1.879
"Landrace E","IBD",0.531
"Landrace E","IBD",1.676
"Landrace E","IBD",0.942
"Landrace E","IBD",0.753
"Landrace E","IBD",1.697
"Landrace E","IBD",0.863
"Landrace E","IBD",0.693
"Landrace E","IBD",2.655
"Landrace E","IBD",0.787
"Landrace E","IBD",0.557
"Landrace E","IBD",0.508
"Landrace E","IBD",2.269
"Landrace E","IBD",0.454
"Landrace E","IBD",1.715
"Landrace E","IBD",1.947
"Landrace E","IBD",1.071
"Landrace E","IBD",1.461
"Landrace E","IBD",1.704
"Landrace E","IBD",1.676
"Landrace E","IBD",0.931
"Landrace E","IBD",1.771
"Landrace E","IBD",0.842
"Landrace E","IBD",0.449
"Landrace E","IBD",0.986
"Landrace E","IBD",1.843
"Landrace E","IBD",0.484
"Landrace E","IBD",1.202
"Landrace E","IBD",1.377
"Landrace E","IBD",1.576
"Landrace E","IBD",1.521
"Landrace E","IBD",2.063
"Landrace E","IBD",1.306
"Landrace E","IBD",0.736
"Landrace E","IBD",0.416
"Landrace E","IBD",0.775
"Landrace E","IBD",1.365
"Landrace E","IBD",1.22
"Landrace E","IBD",0.977
"Landrace E","IBD",0.887
"Landrace E","IBD",0.529
"Landrace E","IBD",0.873
"Landrace E","IBD",1.275
"Landrace E","IBD",0.624
"Landrace E","IBD",1.045
"Landrace E","IBD",1.024
"Landrace E","IBD",0.619
"Landrace E","IBD",0.874
"Landrace E","IBD",0.444
"Landrace E","IBD",0.426
"Landrace E","IBD",0.656
"Landrace E","IBD",0.754
"Landrace E","IBD",1.222
"Landrace E","IBD",1.168
"Landrace E","IBD",1.112
"Landrace E","IBD",1.227
"Landrace E","IBD",0.44
"Landrace E","IBD",0.793
"Landrace E","IBD",0.986
"Landrace E","IBD",0.839
"Landrace E","IBD",0.89
"Landrace E","IBD",2.326
"Landrace E","IBD",0.391
"Landrace E","IBD",0.862
"Landrace E","IBD",1.166
"Landrace E","IBD",0.569
"Landrace E","IBD",1.003
"Landrace E","IBD",1.418
"Landrace E","IBD",0.798
"Landrace E","IBD",0.643
"Landrace E","IBD",0.712
"Landrace E","IBD",0.514
"Landrace E","IBD",0.839
"Landrace E","IBD",1.76
"Landrace E","IBD",1.309
"Landrace E","IBD",1.045
"Landrace E","IBD",1.267
"Landrace E","IBD",0.531
"Landrace E","IBD",0.719
"Landrace E","IBD",0.398
"Landrace E","IBD",0.868
"Landrace E","IBD",0.528
"Landrace E","IBD",1.103
"Landrace E","IBD",0.825
"Landrace E","IBD",2.304
"Landrace E","IBD",0.311
"Landrace E","IBD",1.258
"Landrace E","IBD",0.939
"Landrace E","IBD",1.692
"Landrace E","IBD",1.082
"Landrace E","IBD",0.884
"Landrace E","IBD",1.331
"Landrace E","IBD",2.118
"Landrace E","IBD",0.387
"Landrace E","IBD",0.936
"Landrace E","IBD",0.54
"Landrace E","IBD",1.31
"Landrace E","IBD",1.975
"Landrace E","IBD",0.597
"Landrace E","IBD",0.317
"Landrace E","IBD",1.216
"Landrace E","IBD",0.783
"Landrace E","IBD",1.253
"Landrace E","IBD",1.687
"Landrace W","ROH",1.654
"Landrace W","ROH",0.829
"Landrace W","ROH",0.726
"Landrace W","ROH",2.332
"Landrace W","ROH",2.504
"Landrace W","ROH",2.401
"Landrace W","ROH",2.22
"Landrace W","ROH",2.11
"Landrace W","ROH",1.539
"Landrace W","ROH",1.269
"Landrace W","ROH",1.675
"Landrace W","ROH",1.388
"Landrace W","ROH",0.997
"Landrace W","ROH",1.665
"Landrace W","ROH",1.592
"Landrace W","ROH",1.275
"Landrace W","ROH",0.662
"Landrace W","ROH",2.71
"Landrace W","ROH",0.365
"Landrace W","ROH",2.24
"Landrace W","ROH",1.042
"Landrace W","ROH",2.429
"Landrace W","ROH",1.219
"Landrace W","ROH",0.746
"Landrace W","ROH",2.618
"Landrace W","ROH",1.341
"Landrace W","ROH",2.636
"Landrace W","ROH",2.383
"Landrace W","ROH",2.364
"Landrace W","ROH",1.067
"Landrace W","ROH",1.519
"Landrace W","ROH",1.144
"Landrace W","ROH",1.452
"Landrace W","ROH",0.73
"Landrace W","ROH",1.625
"Landrace W","ROH",1.501
"Landrace W","ROH",1.284
"Landrace W","ROH",1.688
"Landrace W","ROH",1.904
"Landrace W","ROH",0.793
"Landrace W","ROH",1.461
"Landrace W","ROH",2.105
"Landrace W","ROH",2.002
"Landrace W","ROH",3.423
"Landrace W","ROH",1.446
"Landrace W","ROH",3.331
"Landrace W","ROH",2.058
"Landrace W","ROH",1.863
"Landrace W","ROH",2.827
"Landrace W","ROH",0.64
"Landrace W","ROH",1.617
"Landrace W","ROH",1.391
"Landrace W","ROH",0.502
"Landrace W","ROH",0.881
"Landrace W","ROH",0.461
"Landrace W","ROH",1.828
"Landrace W","ROH",2.838
"Landrace W","ROH",1.589
"Landrace W","ROH",1.178
"Landrace W","ROH",2.984
"Landrace W","ROH",2.764
"Landrace W","ROH",0.965
"Landrace W","ROH",2.933
"Landrace W","ROH",3.812
"Landrace W","ROH",0.918
"Landrace W","ROH",1.015
"Landrace W","ROH",2.663
"Landrace W","ROH",0.501
"Landrace W","ROH",1.483
"Landrace W","ROH",1.104
"Landrace W","ROH",0.711
