"sample","group","facet","value"
"S078","Treated","Adjacent",1.36651294990495
"S079","Treated","Adjacent",0.555566598108075
"S080","Treated","Adjacent",0.926127554270733
"S081","Treated","Adjacent",0.442238553929244
"S082","Treated","Adjacent",0.372613983293565
"S083","Treated","Adjacent",1.40453086327991
"S084","Treated","Adjacent",1.34628150529783
"S085","Treated","Adjacent",1.60129317027319
"S086","Treated","Adjacent",1.9876180771301
"S087","Treated","Adjacent",1.12528571439821
"S088","Treated","Adjacent",1.34913846533032
"S089","Treated","Adjacent",1.31371019317196
"S090","Treated","Adjacent",2.25366469042837
"S091","Control","Tumor",-0.507409151972656
"S092","Control","Tumor",1.40145052215183
"S093","Control","Tumor",1.22746450147151
"S094","Control","Tumor",0.898107172367769
"S095","Control","Tumor",0.0828355834699108
"S096","Control","Tumor",0.21179125523934
"S097","Control","Tumor",0.371055761130131
"S098","Control","Tumor",1.35341854571842
"S099","Control","Tumor",0.529575951073156
"S100","Control","Tumor",-0.469401877414587
"S101","Control","Tumor",1.01875946058174
"S102","Control","Tumor",0.746742429393858
"S103","Control","Tumor",0.518296362180981
"S104","Control","Tumor",1.09757964839062
"S105","Control","Tumor",0.318359862751986
"S106","Control","Tumor",0.431393406503164
"S107","Control","Tumor",0.595819997630327
"S108","Control","Tumor",0.484527700260369
"S109","Control","Tumor",0.536715802495655
"S110","Control","Tumor",0.823712681800107
"S111","Control","Tumor",0.0517484794836335
"S112","Control","Tumor",-0.0132682514489888
"S113","Control","Tumor",1.08126586417714
"S114","Control","Tumor",0.484997976913972
"S115","Control","Tumor",0.92499790477482
"S116","Control","Tumor",1.24058790324778
"S117","Control","Tumor",0.287869753763438
"S118","Control","Tumor",0.11081159077908
"S119","Control","Tumor",0.389738784588716
"S120","Control","Tumor",0.265876838351988
"S121","Control","Tumor",0.913912240897102
"S122","Control","Tumor",1.16172854268914
"S123","Control","Tumor",0.682111228764517
"S124","Control","Tumor",0.186125611968234
"S125","Control","Tumor",-0.240669864311667
"S126","Control","Tumor",0.230357191570462
"S127","Control","Tumor",0.807376553744305
"S128","Control","Tumor",0.408051023952241
"S129","Control","Tumor",0.419731471878293
"S130","Control","Tumor",1.31573105314421
"S131","Control","Tumor",0.392385778380876
"S132","Control","Tumor",1.26403919319445
"S133","Control","Tumor",-0.142903587574314
"S134","Control","Tumor",0.476334519868478
"S135","Control","Tumor",0.261554338374944
"S136","Treated","Tumor",0.88586317315704
"S137","Treated","Tumor",1.62503470925778
"S138","Treated","Tumor",1.70272323122643
"S139","Treated","Tumor",1.56225936301253
"S140","Treated","Tumor",1.74073372020844
"S141","Treated","Tumor",1.55385134344472
"S142","Treated","Tumor",0.798367885914326
"S143","Treated","Tumor",1.29857772171705
"S144","Treated","Tumor",1.89526879591433
"S145","Treated","Tumor",1.98561979864269
"S146","Treated","Tumor",1.78593420660656
"S147","Treated","Tumor",0.202050602943559
"S148","Treated","Tumor",0.427900898295055
"S149","Treated","Tumor",1.32031835449355
"S150","Treated","Tumor",1.53153579355678
"S151","Treated","Tumor",1.43488058627796
"S152","Treated","Tumor",1.49145961186708
"S153","Treated","Tumor",0.424481843610144
"S154","Treated","Tumor",2.28651827248206
"S155","Treated","Tumor",0.744218235507636
"S156","Treated","Tumor",1.67542684473573
"S157","Treated","Tumor",1.38179961081532
"S158","Treated","Tumor",2.10451686510253
"S159","Treated","Tumor",1.10976526666946
"S160","Treated","Tumor",1.92819359883379
"S161","Treated","Tumor",0.825875836798293
"S162","Treated","Tumor",1.14540370465694
"S163","Treated","Tumor",2.33615821670498
"S164","Treated","Tumor",1.20028876877969
"S165","Treated","Tumor",1.83305988635016
"S166","Treated","Tumor",1.68160926592013
"S167","Treated","Tumor",1.28760531234535
"S168","Treated","Tumor",1.37437061973038
"S169","Treated","Tumor",1.01145878362788
"S170","Treated","Tumor",1.6053631920934
"S171","Treated","Tumor",1.18502848555231
"S172","Treated","Tumor",0.969938824726665
"S173","Treated","Tumor",1.6934402217035
"S174","Treated","Tumor",1.3774405541642
"S175","Treated","Tumor",2.79675383067373
"S176","Treated","Tumor",1.49059284622187
"S177","Treated","Tumor",1.26130582018495
"S178","Treated","Tumor",2.02174740234723
"S179","Treated","Tumor",1.21187853870364
"S180","Treated","Tumor",1.77487648775679
