"sample","group","depth","richness"
"Gr_3","Grassland",5044,58
"Gr_3","Grassland",6352,58
"Gr_3","Grassland",8000,58
"Fo_1","Forest",100,50.28
"Fo_1","Forest",126,55.95
"Fo_1","Forest",159,61.46
"Fo_1","Forest",200,66.58
"Fo_1","Forest",252,71.27
"Fo_1","Forest",317,75.4
"Fo_1","Forest",399,78.96
"Fo_1","Forest",503,81.92
"Fo_1","Forest",633,84.27
"Fo_1","Forest",797,86.06
"Fo_1","Forest",1004,87.34
"Fo_1","Forest",1264,88.18
"Fo_1","Forest",1592,88.66
"Fo_1","Forest",2005,88.89
"Fo_1","Forest",2525,88.98
"Fo_1","Forest",3180,89
"Fo_1","Forest",4005,89
"Fo_1","Forest",5044,89
"Fo_1","Forest",6352,89
"Fo_1","Forest",8000,89
"Fo_2","Forest",100,48.74
"Fo_2","Forest",126,54.1
"Fo_2","Forest",159,59.3
"Fo_2","Forest",200,64.12
"Fo_2","Forest",252,68.55
"Fo_2","Forest",317,72.45
"Fo_2","Forest",399,75.8
"Fo_2","Forest",503,78.59
"Fo_2","Forest",633,80.79
"Fo_2","Forest",797,82.44
"Fo_2","Forest",1004,83.61
"Fo_2","Forest",1264,84.34
"Fo_2","Forest",1592,84.75
"Fo_2","Forest",2005,84.93
"Fo_2","Forest",2525,84.98
"Fo_2","Forest",3180,85
"Fo_2","Forest",4005,85
"Fo_2","Forest",5044,85
"Fo_2","Forest",6352,85
"Fo_2","Forest",8000,85
"Fo_3","Forest",100,56.98
"Fo_3","Forest",126,64.51
"Fo_3","Forest",159,72.08
"Fo_3","Forest",200,79.31
"Fo_3","Forest",252,86.13
"Fo_3","Forest",317,92.24
"Fo_3","Forest",399,97.57
"Fo_3","Forest",503,102.05
"Fo_3","Forest",633,105.61
"Fo_3","Forest",797,108.32
"Fo_3","Forest",1004,110.27
"Fo_3","Forest",1264,111.56
"Fo_3","Forest",1592,112.35
"Fo_3","Forest",2005,112.76
"Fo_3","Forest",2525,112.93
"Fo_3","Forest",3180,112.99
"Fo_3","Forest",4005,113
"Fo_3","Forest",5044,113
"Fo_3","Forest",6352,113
"Fo_3","Forest",8000,113
"We_1","Wetland",100,31.96
"We_1","Wetland",126,33.63
"We_1","Wetland",159,34.93
"We_1","Wetland",200,35.86
"We_1","Wetland",252,36.45
"We_1","Wetland",317,36.78
"We_1","Wetland",399,36.93
"We_1","Wetland",503,36.98
"We_1","Wetland",633,37
"We_1","Wetland",797,37
"We_1","Wetland",1004,37
"We_1","Wetland",1264,37
"We_1","Wetland",1592,37
"We_1","Wetland",2005,37
"We_1","Wetland",2525,37
"We_1","Wetland",3180,37
"We_1","Wetland",4005,37
"We_1","Wetland",5044,37
"We_1","Wetland",6352,37
"We_1","Wetland",8000,37
"We_2","Wetland",100,19.55
"We_2","Wetland",126,20.19
"We_2","Wetland",159,20.61
"We_2","Wetland",200,20.85
"We_2","Wetland",252,20.95
"We_2","Wetland",317,20.99
"We_2","Wetland",399,21
"We_2","Wetland",503,21
"We_2","Wetland",633,21
"We_2","Wetland",797,21
"We_2","Wetland",1004,21
"We_2","Wetland",1264,21
"We_2","Wetland",1592,21
"We_2","Wetland",2005,21
"We_2","Wetland",2525,21
"We_2","Wetland",3180,21
"We_2","Wetland",4005,21
"We_2","Wetland",5044,21
"We_2","Wetland",6352,21
"We_2","Wetland",8000,21
"We_3","Wetland",100,30.06
"We_3","Wetland",126,31.67
"We_3","Wetland",159,32.94
"We_3","Wetland",200,33.85
"We_3","Wetland",252,34.44
"We_3","Wetland",317,34.77
"We_3","Wetland",399,34.93
"We_3","Wetland",503,34.98
"We_3","Wetland",633,35
"We_3","Wetland",797,35
"We_3","Wetland",1004,35
"We_3","Wetland",1264,35
"We_3","Wetland",1592,35
"We_3","Wetland",2005,35
"We_3","Wetland",2525,35
"We_3","Wetland",3180,35
"We_3","Wetland",4005,35
"We_3","Wetland",5044,35
"We_3","Wetland",6352,35
"We_3","Wetland",8000,35
"Cr_1","Cropland",100,48.11
"Cr_1","Cropland",126,53.52
"Cr_1","Cropland",159,58.73
"Cr_1","Cropland",200,63.47
"Cr_1","Cropland",252,67.71
"Cr_1","Cropland",317,71.29
"Cr_1","Cropland",399,74.22
"Cr_1","Cropland",503,76.48
"Cr_1","Cropland",633,78.07
"Cr_1","Cropland",797,79.09
"Cr_1","Cropland",1004,79.64
"Cr_1","Cropland",1264,79.89
"Cr_1","Cropland",1592,79.98
"Cr_1","Cropland",2005,80
"Cr_1","Cropland",2525,80
"Cr_1","Cropland",3180,80
"Cr_1","Cropland",4005,80
"Cr_1","Cropland",5044,80
"Cr_1","Cropland",6352,80
"Cr_1","Cropland",8000,80
"Cr_2","Cropland",100,45.61
"Cr_2","Cropland",126,49.95
"Cr_2","Cropland",159,53.92
"Cr_2","Cropland",200,57.33
"Cr_2","Cropland",252,60.21
"Cr_2","Cropland",317,62.49
"Cr_2","Cropland",399,64.23
"Cr_2","Cropland",503,65.47
"Cr_2","Cropland",633,66.26
"Cr_2","Cropland",797,66.7
"Cr_2","Cropland",1004,66.9
"Cr_2","Cropland",1264,66.98
"Cr_2","Cropland",1592,67
"Cr_2","Cropland",2005,67
"Cr_2","Cropland",2525,67
"Cr_2","Cropland",3180,67
"Cr_2","Cropland",4005,67
"Cr_2","Cropland",5044,67
"Cr_2","Cropland",6352,67
"Cr_2","Cropland",8000,67
"Cr_3","Cropland",100,46.35
"Cr_3","Cropland",126,51.29
"Cr_3","Cropland",159,56.02
"Cr_3","Cropland",200,60.29
"Cr_3","Cropland",252,64.06
"Cr_3","Cropland",317,67.19
"Cr_3","Cropland",399,69.67
"Cr_3","Cropland",503,71.5
"Cr_3","Cropland",633,72.72
"Cr_3","Cropland",797,73.45
"Cr_3","Cropland",1004,73.81
"Cr_3","Cropland",1264,73.95
"Cr_3","Cropland",1592,73.99
"Cr_3","Cropland",2005,74
"Cr_3","Cropland",2525,74
"Cr_3","Cropland",3180,74
"Cr_3","Cropland",4005,74
"Cr_3","Cropland",5044,74
"Cr_3","Cropland",6352,74
"Cr_3","Cropland",8000,74
