"sample","group","taxon","abundance"
"S31","G3","T02",0.985121263032757
"S32","G3","T02",1.13992935906997
"S33","G3","T02",1.04236828940521
"S34","G3","T02",2.38903726331864
"S35","G3","T02",0.974699610111073
"S36","G3","T02",1.15341980766971
"S01","G1","T03",0.85513789274492
"S02","G1","T03",0.915165712337425
"S03","G1","T03",0.966318997352584
"S04","G1","T03",1.53413895449021
"S05","G1","T03",0.540467306233541
"S06","G1","T03",1.90478540878723
"S07","G1","T03",0.302380335982889
"S08","G1","T03",0.338716521393508
"S09","G1","T03",1.88743252601455
"S10","G1","T03",1.35279620083267
"S11","G1","T03",0.603345484705642
"S12","G1","T03",0.712404735598198
"S13","G2","T03",3.32875024851815
"S14","G2","T03",2.55164195188619
"S15","G2","T03",2.60449899350996
"S16","G2","T03",3.3767176339914
"S17","G2","T03",2.97796331949294
"S18","G2","T03",2.97248571889174
"S19","G2","T03",4.07977072402256
"S20","G2","T03",2.74367899866775
"S21","G2","T03",3.2303423997736
"S22","G2","T03",3.09442694436521
"S23","G2","T03",2.60199258907929
"S24","G2","T03",2.90781521469117
"S25","G3","T03",1.1025624742293
"S26","G3","T03",2.72067612447663
"S27","G3","T03",1.07651403092314
"S28","G3","T03",1.54600204560202
"S29","G3","T03",1.26499278109986
"S30","G3","T03",1.2611183981644
"S31","G3","T03",1.12190751812886
"S32","G3","T03",1.05107432568911
"S33","G3","T03",1.25951688492205
"S34","G3","T03",1.25544400734361
"S35","G3","T03",1.04484421538655
"S36","G3","T03",1.82872820396898
"S01","G1","T04",1.05087106789224
"S02","G1","T04",0.676313041243702
"S03","G1","T04",0.754289707846424
"S04","G1","T04",0.947734307243905
"S05","G1","T04",1.00563473275625
"S06","G1","T04",0.454446195159107
"S07","G1","T04",0.836004544230006
"S08","G1","T04",0.458747737063254
"S09","G1","T04",0.729528444916538
"S10","G1","T04",0.684730791253969
"S11","G1","T04",0.691545727429911
"S12","G1","T04",0.518621942783026
"S13","G2","T04",3.19066326917129
"S14","G2","T04",1.57079150789068
"S15","G2","T04",1.83406721474603
"S16","G2","T04",1.77948691952042
"S17","G2","T04",2.37897977275298
"S18","G2","T04",1.70490147848614
"S19","G2","T04",1.69621109683067
"S20","G2","T04",1.56626850832254
"S21","G2","T04",1.52853694765613
"S22","G2","T04",1.66726769087836
"S23","G2","T04",1.80527499845325
"S24","G2","T04",2.74351812659981
"S25","G3","T04",2.24155411089924
"S26","G3","T04",2.70462079202281
"S27","G3","T04",3.50795520204445
"S28","G3","T04",2.15651095006615
"S29","G3","T04",1.88237756979652
"S30","G3","T04",1.96112303611584
"S31","G3","T04",2.27857979245246
"S32","G3","T04",3.08072837668689
"S33","G3","T04",2.18233373388648
"S34","G3","T04",1.91250932402909
"S35","G3","T04",2.18643873347901
"S36","G3","T04",3.33392850627171
"S01","G1","T05",1.38981942541724
"S02","G1","T05",0.89317882200703
"S03","G1","T05",0.859158279607072
"S04","G1","T05",1.00773173687048
"S05","G1","T05",1.18320441057668
"S06","G1","T05",1.24096281451867
"S07","G1","T05",2.17903879092293
"S08","G1","T05",2.38158318298849
"S09","G1","T05",1.33573820731716
"S10","G1","T05",1.50329559292169
"S11","G1","T05",1.63755130304906
"S12","G1","T05",1.94155221484864
"S13","G2","T05",3.60291080447825
"S14","G2","T05",2.30912529723719
"S15","G2","T05",3.17693676420705
"S16","G2","T05",2.29552931455388
"S17","G2","T05",2.21759876608849
"S18","G2","T05",2.49388895926759
"S19","G2","T05",2.20266909128986
"S20","G2","T05",2.18377576535568
"S21","G2","T05",2.21713563869707
"S22","G2","T05",2.13235673657618
"S23","G2","T05",2.22322445292511
"S24","G2","T05",2.29325089068152
"S25","G3","T05",1.02582107565831
"S26","G3","T05",0.977828105905543
"S27","G3","T05",1.00461998893667
"S28","G3","T05",2.67753859438877
"S29","G3","T05",1.43709379234579
"S30","G3","T05",1.45969257595615
"S31","G3","T05",1.00373017637617
"S32","G3","T05",2.50624333395137
"S33","G3","T05",1.32080129552361
"S34","G3","T05",1.13674294870037
"S35","G3","T05",1.20006472931709
"S36","G3","T05",0.925856700516306
"S01","G1","T06",1.26397626516743
"S02","G1","T06",1.36960918445811
"S03","G1","T06",1.53347151049175
"S04","G1","T06",1.13992960867472
"S05","G1","T06",1.23811548249796
"S06","G1","T06",0.998599759303033
"S07","G1","T06",1.05807501962408
"S08","G1","T06",1.51237237046562
"S09","G1","T06",1.0327631207183
"S10","G1","T06",1.79656729214349
"S11","G1","T06",1.17290128674358
"S12","G1","T06",1.60131535467454
"S13","G2","T06",2.54284315765835
"S14","G2","T06",2.41927041028993
"S15","G2","T06",3.92714125238761
"S16","G2","T06",2.51174195273779
"S17","G2","T06",2.50175160192885
"S18","G2","T06",3.05294816413671
"S19","G2","T06",2.64022502908483
"S20","G2","T06",2.49183062254451
"S21","G2","T06",2.85392115588993
"S22","G2","T06",2.61171722272411
"S23","G2","T06",2.77703694857419
"S24","G2","T06",2.44446054450236
"S25","G3","T06",1.38340127409901
"S26","G3","T06",1.17677730682838
"S27","G3","T06",2.00879311908446
"S28","G3","T06",1.32165201113094
"S29","G3","T06",1.62748198104319
"S30","G3","T06",1.952394157024
"S31","G3","T06",2.05776009553102
"S32","G3","T06",1.49495341035072
"S33","G3","T06",1.51380581162166
"S34","G3","T06",1.75495257773664
"S35","G3","T06",1.34775460243691
"S36","G3","T06",1.35323875370414
"S01","G1","T07",3.409458638996
"S02","G1","T07",1.22900258307345
"S03","G1","T07",1.49380767157063
"S04","G1","T07",1.04035751055926
"S05","G1","T07",1.15525899641216
"S06","G1","T07",1.80476718112351
"S07","G1","T07",1.57438362946496
"S08","G1","T07",1.73881923403115
"S09","G1","T07",1.05187572014999
"S10","G1","T07",0.987315870588645
"S11","G1","T07",1.83148066415907
"S12","G1","T07",1.89863222181321
"S13","G2","T07",2.11846184493498
"S14","G2","T07",2.3509719906676
"S15","G2","T07",1.50363790080883
"S16","G2","T07",1.36205612744835
"S17","G2","T07",1.35237764916383
"S18","G2","T07",1.75769337245763
"S19","G2","T07",1.29612533468753
"S20","G2","T07",1.69703047021986
"S21","G2","T07",2.20745958465308
"S22","G2","T07",1.56811153842136
"S23","G2","T07",2.57743755675139
"S24","G2","T07",1.31087259309673
"S25","G3","T07",1.33039978984382
"S26","G3","T07",1.70677028675791
"S27","G3","T07",1.54863975790795
"S28","G3","T07",1.33649064425845
"S29","G3","T07",1.30324955272954
"S30","G3","T07",1.5344063116936
"S31","G3","T07",1.77811745214504
"S32","G3","T07",1.31373449286912
"S33","G3","T07",1.46935399144422
"S34","G3","T07",1.29619044128131
"S35","G3","T07",1.29693242243957
"S36","G3","T07",1.37867081973385
"S01","G1","T08",1.0783197293058
"S02","G1","T08",1.63461202040802
"S03","G1","T08",1.16226286181638
"S04","G1","T08",0.880734901642427
"S05","G1","T08",4.00545900831653
"S06","G1","T08",0.973729714285582
"S07","G1","T08",0.83583445311524
"S08","G1","T08",0.892724759178236
"S09","G1","T08",1.43808932157927
"S10","G1","T08",0.87572366228786
"S11","G1","T08",0.970159061253071
"S12","G1","T08",1.40887382182055
"S13","G2","T08",3.8479799522971
"S14","G2","T08",2.54865958937444
"S15","G2","T08",2.7717391139565
"S16","G2","T08",2.7496566651179
"S17","G2","T08",2.71992145990953
"S18","G2","T08",2.82054995510489
"S19","G2","T08",3.08107881385595
"S20","G2","T08",4.02217217014151
"S21","G2","T08",2.47566456464962
"S22","G2","T08",3.07534102953733
"S23","G2","T08",2.77584481420722
"S24","G2","T08",3.72630995645406
"S25","G3","T08",0.973398102868323
"S26","G3","T08",0.741605243412778
"S27","G3","T08",3.26625420386539
"S28","G3","T08",1.62622311916658
"S29","G3","T08",1.34679773564213
"S30","G3","T08",1.55049010105887
"S31","G3","T08",0.836987896703241
"S32","G3","T08",1.43804983534375
"S33","G3","T08",1.02218598639593
"S34","G3","T08",1.90446976775521
"S35","G3","T08",0.707289469413383
"S36","G3","T08",0.82318564876914
"S01","G1","T09",1.344890700273
"S02","G1","T09",1.46505610687183
"S03","G1","T09",0.595447378698736
"S04","G1","T09",0.590115319006145
"S05","G1","T09",0.535223131766543
"S06","G1","T09",1.02476141692833
"S07","G1","T09",2.01037297986545
"S08","G1","T09",0.959820908007628
"S09","G1","T09",0.873532040244611
"S10","G1","T09",0.564874464645982
"S11","G1","T09",0.881361016051328
"S12","G1","T09",0.631310351891443
"S13","G2","T09",2.94869392321909
"S14","G2","T09",3.22996050235815
"S15","G2","T09",3.58332598719508
"S16","G2","T09",3.51639466311545
"S17","G2","T09",4.30663255559621
"S18","G2","T09",3.03198327613063
"S19","G2","T09",3.09018538249164
"S20","G2","T09",3.94612458763168
"S21","G2","T09",2.96355018207464
"S22","G2","T09",3.26738054004027
"S23","G2","T09",3.40974544778228
"S24","G2","T09",3.36765980858118
"S25","G3","T09",2.33674026534655
"S26","G3","T09",2.0018861007411
"S27","G3","T09",2.19689080258831
"S28","G3","T09",2.35694443019227
"S29","G3","T09",2.75329029346341
"S30","G3","T09",2.04237048793584
"S31","G3","T09",2.44127727088281
"S32","G3","T09",2.3225268508847
"S33","G3","T09",1.97646441147663
"S34","G3","T09",2.34042810250767
"S35","G3","T09",2.37149524011411
"S36","G3","T09",2.3207445410285
"S01","G1","T10",0.591122514314434
"S02","G1","T10",0.487630547867911
"S03","G1","T10",0.225834649056196
"S04","G1","T10",0.522390657316378
"S05","G1","T10",0.445612620925786
"S06","G1","T10",0.328994784038514
"S07","G1","T10",0.743230519096783
"S08","G1","T10",1.05777542079323
"S09","G1","T10",0.255268042208627
"S10","G1","T10",0.479498614768913
"S11","G1","T10",0.114463579218978
"S12","G1","T10",0.209382329834625
"S13","G2","T10",2.69707093411125
"S14","G2","T10",2.66999210714488
"S15","G2","T10",3.38051460818843
"S16","G2","T10",3.838099965297
"S17","G2","T10",3.69390579448537
"S18","G2","T10",2.94542681914754
"S19","G2","T10",2.87216535280459
"S20","G2","T10",2.7815659546759
"S21","G2","T10",3.27956054497272
"S22","G2","T10",3.84304626914874
"S23","G2","T10",3.06459872422502
"S24","G2","T10",2.7665919016581
"S25","G3","T10",1.9179249224253
"S26","G3","T10",1.83983505680226
"S27","G3","T10",2.09497258507409
"S28","G3","T10",1.89052493823692
"S29","G3","T10",2.27501696136542
"S30","G3","T10",2.42981367955582
"S31","G3","T10",3.29483925240094
"S32","G3","T10",1.99267907601543
"S33","G3","T10",2.48428912340188
"S34","G3","T10",1.6466578131076
"S35","G3","T10",1.79970030090772
"S36","G3","T10",2.07715562717408
"S01","G1","T11",1.25048188717531
"S02","G1","T11",0.863483522134659
"S03","G1","T11",1.02246915475835
"S04","G1","T11",0.944529388651548
"S05","G1","T11",1.35842019402082
"S06","G1","T11",0.827021753415465
"S07","G1","T11",1.63281337982499
"S08","G1","T11",0.776437314788866
"S09","G1","T11",1.5239677413587
"S10","G1","T11",0.7336430684709
"S11","G1","T11",1.3791720305615
"S12","G1","T11",0.834835610506397
"S13","G2","T11",1.97830607383098
"S14","G2","T11",1.67860918210582
"S15","G2","T11",1.33182001589503
"S16","G2","T11",1.49708822602406
"S17","G2","T11",1.32342652868085
"S18","G2","T11",2.04324462912501
"S19","G2","T11",1.54520519939251
"S20","G2","T11",1.25346089107916
"S21","G2","T11",1.25247234222479
"S22","G2","T11",1.28731200983748
"S23","G2","T11",1.30249457689933
"S24","G2","T11",1.97429511178621
"S25","G3","T11",0.764933270635083
"S26","G3","T11",1.20766353465379
"S27","G3","T11",1.77750971441375
"S28","G3","T11",0.853865075856447
"S29","G3","T11",0.756788164014718
"S30","G3","T11",0.972566723823547
"S31","G3","T11",0.732566621425852
"S32","G3","T11",1.8039272111888
"S33","G3","T11",0.918943815631792
"S34","G3","T11",1.19749161543793
"S35","G3","T11",2.36888313285055
"S36","G3","T11",1.68843269064547
"S01","G1","T12",1.58907774880291
"S02","G1","T12",1.22580895433202
"S03","G1","T12",1.24172017164528
"S04","G1","T12",1.29194595491583
"S05","G1","T12",1.26289278472275
"S06","G1","T12",1.19506497425027
"S07","G1","T12",1.33916319299251
"S08","G1","T12",2.18747699347543
"S09","G1","T12",2.19076835823463
"S10","G1","T12",1.218109884765
"S11","G1","T12",1.24133950169198
"S12","G1","T12",0.976825775345787
"S13","G2","T12",2.07232179168038
"S14","G2","T12",1.98111934259296
"S15","G2","T12",2.23180984049163
"S16","G2","T12",1.57413338543847
"S17","G2","T12",1.65107008535415
"S18","G2","T12",1.51615162717509
"S19","G2","T12",1.75190422848781
"S20","G2","T12",1.95714783293889
"S21","G2","T12",1.79904712899588
"S22","G2","T12",1.53858886961609
"S23","G2","T12",1.49489676579833
"S24","G2","T12",1.84878086263088
"S25","G3","T12",3.23328613949226
"S26","G3","T12",2.07837879792936
"S27","G3","T12",2.83744080733032
"S28","G3","T12",2.15154282003641
"S29","G3","T12",2.31328255796316
"S30","G3","T12",4.19012291799034
"S31","G3","T12",3.72868070647794
"S32","G3","T12",1.97112555196509
"S33","G3","T12",2.11282263114117
"S34","G3","T12",3.33950843356071
"S35","G3","T12",2.28152693992243
"S36","G3","T12",2.69033832307787
