"var_a","var_b","r","p","mantel_r"
"NO3","Clay",0.504,0.0121,NA
"NO3","NPP",-0.084,0.697,NA
"NO3","Elevation",-0.043,0.841,NA
"Salinity","Salinity",1,0,NA
"Salinity","Clay",0.457,0.0249,NA
"Salinity","NPP",-0.125,0.559,NA
"Salinity","Elevation",0.042,0.845,NA
"Clay","Clay",1,0,NA
"Clay","NPP",-0.17,0.426,NA
"Clay","Elevation",0.263,0.214,NA
"NPP","NPP",1,0,NA
"NPP","Elevation",-0.528,0.00804,NA
"Elevation","Elevation",1,0,NA
"Bacteria","pH",NA,0.005,0.518
"Bacteria","SOC",NA,0.005,0.55
"Bacteria","TN",NA,0.005,0.524
"Bacteria","TP",NA,0.5,-0.005
"Bacteria","Moisture",NA,0.695,-0.061
"Bacteria","Temp",NA,0.565,-0.028
"Bacteria","NH4",NA,0.4,0.031
"Bacteria","NO3",NA,0.775,-0.074
"Bacteria","Salinity",NA,0.505,-0.011
"Bacteria","Clay",NA,0.48,-0.012
"Bacteria","NPP",NA,0.025,0.224
"Bacteria","Elevation",NA,0.48,-0.005
"Fungi","pH",NA,0.135,0.096
"Fungi","SOC",NA,0.03,0.196
"Fungi","TN",NA,0.03,0.211
"Fungi","TP",NA,0.18,0.071
"Fungi","Moisture",NA,0.005,0.586
"Fungi","Temp",NA,0.015,0.268
"Fungi","NH4",NA,0.185,0.099
"Fungi","NO3",NA,1,-0.208
"Fungi","Salinity",NA,0.875,-0.114
"Fungi","Clay",NA,0.77,-0.098
"Fungi","NPP",NA,0.005,0.536
"Fungi","Elevation",NA,0.07,0.18
"Archaea","pH",NA,0.045,0.152
"Archaea","SOC",NA,0.01,0.288
"Archaea","TN",NA,0.22,0.089
"Archaea","TP",NA,0.155,0.097
"Archaea","Moisture",NA,0.86,-0.115
"Archaea","Temp",NA,0.43,0.028
"Archaea","NH4",NA,0.7,-0.066
"Archaea","NO3",NA,0.18,0.074
"Archaea","Salinity",NA,0.005,0.368
"Archaea","Clay",NA,0.34,0.028
"Archaea","NPP",NA,0.74,-0.064
"Archaea","Elevation",NA,0.07,0.186
"Protist","pH",NA,0.215,0.071
"Protist","SOC",NA,0.62,-0.028
"Protist","TN",NA,0.285,0.058
"Protist","TP",NA,0.365,0.016
"Protist","Moisture",NA,0.21,0.046
"Protist","Temp",NA,0.215,0.062
"Protist","NH4",NA,0.365,0.032
"Protist","NO3",NA,0.115,0.089
"Protist","Salinity",NA,0.275,0.06
"Protist","Clay",NA,0.835,-0.091
"Protist","NPP",NA,0.655,-0.025
"Protist","Elevation",NA,0.795,-0.09
"Nematode","pH",NA,0.23,0.077
"Nematode","SOC",NA,0.22,0.066
"Nematode","TN",NA,0.01,0.295
"Nematode","TP",NA,0.51,-0.001
"Nematode","Moisture",NA,0.005,0.383
"Nematode","Temp",NA,0.08,0.164
"Nematode","NH4",NA,0.705,-0.075
"Nematode","NO3",NA,0.845,-0.087
"Nematode","Salinity",NA,0.645,-0.046
"Nematode","Clay",NA,0.13,0.124
"Nematode","NPP",NA,0.005,0.579
"Nematode","Elevation",NA,0.05,0.236
"AMF","pH",NA,0.005,0.31
"AMF","SOC",NA,0.005,0.315
"AMF","TN",NA,0.565,-0.02
"AMF","TP",NA,0.01,0.24
"AMF","Moisture",NA,0.185,0.076
"AMF","Temp",NA,0.8,-0.077
"AMF","NH4",NA,0.015,0.242
"AMF","NO3",NA,0.05,0.121
"AMF","Salinity",NA,0.435,-0.007
"AMF","Clay",NA,0.23,0.085
"AMF","NPP",NA,0.205,0.068
"AMF","Elevation",NA,0.44,-0.003
"Enzyme","pH",NA,0.015,0.244
"Enzyme","SOC",NA,0.01,0.24
"Enzyme","TN",NA,0.015,0.277
"Enzyme","TP",NA,0.51,-0.014
"Enzyme","Moisture",NA,0.495,-0.006
"Enzyme","Temp",NA,0.01,0.264
"Enzyme","NH4",NA,0.08,0.177
"Enzyme","NO3",NA,0.595,-0.028
"Enzyme","Salinity",NA,0.55,-0.018
"Enzyme","Clay",NA,0.84,-0.092
"Enzyme","NPP",NA,0.32,0.029
"Enzyme","Elevation",NA,0.925,-0.121
"Metabolite","pH",NA,0.005,0.439
"Metabolite","SOC",NA,0.01,0.378
"Metabolite","TN",NA,0.04,0.199
"Metabolite","TP",NA,0.095,0.134
"Metabolite","Moisture",NA,0.59,-0.018
"Metabolite","Temp",NA,0.635,-0.046
"Metabolite","NH4",NA,0.04,0.185
"Metabolite","NO3",NA,0.01,0.337
"Metabolite","Salinity",NA,0.12,0.127
"Metabolite","Clay",NA,0.155,0.088
"Metabolite","NPP",NA,0.45,0.004
"Metabolite","Elevation",NA,0.69,-0.051
